# saved_at_kr,2026-07-27 15:15:19 KST
# provider,yahoo(yfinance)
# group: kr_foreign_naver_auto
ticker,premarket
402340.KS,1083000.0
207940.KS,1552000.0
032830.KS,310500.0
252670.KS,101.0
133690.KS,185530.0
055550.KS,105300.0
086790.KS,131200.0
068270.KS,180000.0
229200.KS,12890.0
004170.KS,520000.0
003490.KS,26450.0
039490.KS,301500.0
003230.KS,1231000.0
353200.KS,107200.0
015760.KS,36100.0
486290.KS,11085.0
071050.KS,212500.0
064350.KS,132800.0
000990.KS,98200.0
028260.KS,338000.0
000660.KS,1799000.0
005930.KS,252500.0
009150.KS,1315000.0
069500.KS,107130.0
475150.KS,57400.0
096770.KS,118000.0
105560.KS,173300.0
042660.KS,89900.0
278470.KS,358500.0
006800.KS,36950.0
# group: kr_strong_stocks_auto
ticker,premarket
181710.KS,40650.0
035420.KS,225500.0
192820.KS,193900.0
270660.KQ,12700.0
003230.KS,1231000.0
018260.KS,219000.0
377300.KS,44600.0
214450.KQ,371000.0
316140.KS,33250.0
200710.KQ,29550.0
259960.KS,249500.0
058610.KQ,75000.0
319400.KQ,22050.0
207940.KS,1552000.0
090430.KS,123700.0
455900.KQ,17450.0
277810.KQ,441000.0
004370.KS,378000.0
009540.KS,382000.0
087010.KQ,130000.0
# group: kr_sector_rotation_auto
ticker,premarket
488080.KS,35740.0
494310.KS,81900.0
267770.KS,88255.0
122630.KS,114955.0
005930.KS,252500.0
000660.KS,1799000.0
009150.KS,1315000.0
000990.KS,98200.0
278470.KS,358500.0
271560.KS,130600.0
090430.KS,123700.0
003230.KS,1231000.0
051910.KS,261000.0
329180.KS,489000.0
# group: kr_tactical_leverage
ticker,premarket
122630.KS,114955.0
233740.KS,6215.0
252670.KS,101.0
251340.KS,2775.0
# group: macro_watch_yahoo_korea
ticker,premarket
069500.KS,107130.0
102110.KS,107235.0
122630.KS,114955.0
252670.KS,101.0
233740.KS,6215.0
251340.KS,2775.0
364970.KS,6845.0
091170.KS,16220.0
266420.KS,16230.0
091230.KS,129885.0
471460.KS,45605.0
091160.KS,123425.0
364980.KS,9160.0
266370.KS,65160.0
005930.KS,252500.0
000660.KS,1799000.0
012450.KS,903000.0
042660.KS,89900.0
034020.KS,70900.0
329180.KS,489000.0
035420.KS,225500.0
015760.KS,36100.0
# group: tickers_core_korea
ticker,premarket
005930.KS,252500.0
000660.KS,1799000.0
009150.KS,1315000.0
005935.KS,179800.0
011070.KS,611000.0
042700.KS,203500.0
000990.KS,98200.0
039030.KQ,307000.0
058470.KQ,69600.0
089030.KQ,44650.0
222800.KQ,90800.0
240810.KQ,105200.0
403870.KQ,37450.0
066570.KS,172400.0
277810.KQ,441000.0
455900.KQ,17450.0
058610.KQ,75000.0
117730.KQ,12740.0
012450.KS,903000.0
042660.KS,89900.0
329180.KS,489000.0
010140.KS,22800.0
034020.KS,70900.0
267260.KS,796000.0
064350.KS,132800.0
079550.KS,702000.0
047810.KS,147300.0
015760.KS,36100.0
278470.KS,358500.0
090430.KS,123700.0
192820.KS,193900.0
161890.KS,102300.0
051900.KS,257500.0
003230.KS,1231000.0
097950.KS,194400.0
271560.KS,130600.0
004370.KS,378000.0
282330.KS,126000.0
008770.KS,47600.0
207940.KS,1552000.0
068270.KS,180000.0
000100.KS,72400.0
326030.KS,82200.0
196170.KQ,313000.0
000250.KQ,149700.0
214150.KQ,45500.0
145720.KS,40050.0
005380.KS,401000.0
000270.KS,130600.0
012330.KS,464000.0
035420.KS,225500.0
035720.KS,36800.0
105560.KS,173300.0
055550.KS,105300.0
086790.KS,131200.0
316140.KS,33250.0
051910.KS,261000.0
006400.KS,432000.0
003670.KS,144000.0
086520.KQ,80200.0
247540.KQ,110900.0
011170.KS,60600.0
009830.KS,26300.0
010060.KS,205500.0
112610.KS,40300.0
297090.KQ,3640.0
322000.KS,131400.0
307950.KS,390000.0
204320.KS,45000.0
305720.KS,13260.0
305540.KS,16730.0
445290.KS,28985.0
132030.KS,23005.0
411060.KS,26785.0
006800.KS,36950.0
016360.KS,101400.0
005940.KS,29300.0
071050.KS,212500.0
024110.KS,21450.0
000810.KS,643000.0
003550.KS,97900.0
034730.KS,624000.0
000880.KS,94000.0
028260.KS,338000.0
000720.KS,103100.0
006360.KS,29050.0
047040.KS,15070.0
298040.KS,2622000.0
357780.KS,270000.0
060280.KQ,8380.0
373220.KS,333000.0
353200.KQ,109500.0
195870.KS,52900.0
005385.KS,195600.0
005387.KS,194600.0
005389.KS,190800.0
051915.KS,120000.0
006405.KS,184400.0
078935.KS,58200.0
003555.KS,64800.0
005945.KS,25000.0
071055.KS,147700.0
000815.KS,393000.0
010955.KS,65000.0
000885.KS,
001045.KS,69000.0
475150.KS,57400.0
010120.KS,198900.0
103590.KS,62700.0
033100.KQ,45300.0
001440.KS,28350.0
000500.KS,181300.0
062040.KS,165500.0
018260.KS,219000.0
064400.KS,67000.0
030200.KS,54500.0
032640.KS,14730.0
181710.KS,40650.0
022100.KS,19460.0
028050.KS,47550.0
375500.KS,64000.0
053690.KS,17530.0
294870.KS,20900.0
007660.KS,84900.0
007810.KS,56200.0
356860.KQ,28750.0
454320.KS,39980.0
336260.KS,30000.0
036460.KS,35250.0
096770.KS,118000.0
199820.KQ,6800.0
017510.KS,6590.0
009155.KS,451500.0
066575.KS,61900.0
003545.KS,19660.0
003547.KS,19150.0
00680K.KS,12040.0
009835.KS,16310.0
00088K.KS,33200.0
000155.KS,415000.0
000157.KS,346500.0
000105.KS,60100.0
000145.KS,9400.0
000087.KS,12290.0
000725.KS,49300.0
000215.KS,21300.0
097955.KS,124900.0
006805.KS,13200.0
03473K.KS,351500.0
010950.KS,136000.0
071320.KS,65700.0
005090.KS,43600.0
229640.KS,44600.0
009410.KS,1692.0
097230.KS,16080.0
009540.KS,382000.0
267250.KS,213000.0
267270.KS,134700.0
042670.KS,
272210.KS,63000.0
103140.KS,64300.0
005490.KS,317500.0
047050.KS,52900.0
306200.KS,135200.0
038500.KQ,7410.0
300720.KS,14150.0
001120.KS,37900.0
227840.KS,12200.0
211270.KQ,7375.0
099320.KQ,75200.0
189300.KQ,61000.0
451760.KQ,7270.0
274090.KQ,9160.0
295310.KQ,39750.0
225190.KS,601.0
066970.KQ,
005070.KS,34950.0
078600.KQ,75300.0
278280.KQ,33450.0
121600.KQ,42500.0
011790.KS,81100.0
141080.KQ,97300.0
087010.KQ,130000.0
298380.KQ,72600.0
310210.KQ,125600.0
028300.KQ,31450.0
039200.KQ,31550.0
950160.KQ,16200.0
214370.KQ,58700.0
011780.KS,121300.0
006650.KS,96700.0
120110.KS,54300.0
298000.KS,65200.0
004000.KS,46250.0
010130.KS,1037000.0
060370.KQ,30100.0
361610.KS,14080.0
348370.KQ,18620.0
078930.KS,92200.0
018670.KS,242500.0
017940.KS,89800.0
443060.KS,206500.0
082740.KS,47900.0
017960.KS,22700.0
033500.KQ,16810.0
005870.KS,4405.0
003570.KS,33600.0
010820.KS,5520.0
052690.KS,97700.0
051600.KS,46850.0
105840.KS,14050.0
083650.KQ,44350.0
032820.KQ,10070.0
# group: tickers_indices_fill_korea
ticker,premarket
000020.KS,4935.0
000030.KS,
000040.KS,
000050.KS,8480.0
000060.KS,
000070.KS,58800.0
000080.KS,15330.0
000120.KS,75200.0
000140.KS,8300.0
000150.KS,1195500.0
000210.KS,48550.0
000240.KS,25150.0
000670.KS,34950.0
001040.KS,133500.0
001060.KS,24100.0
001230.KS,1768.0
001250.KS,2680.0
001430.KS,36100.0
001450.KS,39950.0
001470.KS,
001520.KS,1101.0
001570.KS,
001680.KS,17900.0
001740.KS,7790.0
001800.KS,26100.0
001940.KS,25800.0
002020.KS,25500.0
002150.KS,5000.0
002240.KS,16960.0
002270.KS,
002320.KS,14990.0
002350.KS,6840.0
002380.KS,416500.0
002790.KS,24950.0
002840.KS,126400.0
002960.KS,507000.0
003000.KS,4065.0
003090.KS,17120.0
003240.KS,889000.0
003300.KS,17980.0
003410.KS,
003470.KS,4495.0
003520.KS,1219.0
003540.KS,26000.0
003620.KS,2810.0
003850.KS,8230.0
003920.KS,43000.0
004020.KS,27800.0
004150.KS,3070.0
004270.KS,6230.0
004430.KS,12870.0
004490.KS,52600.0
004710.KS,7360.0
004800.KS,151800.0
004990.KS,23600.0
005180.KS,67600.0
005250.KS,9680.0
005390.KS,
005830.KS,163500.0
006040.KS,35150.0
006120.KS,51900.0
006260.KS,304000.0
006280.KS,124600.0
007070.KS,25600.0
007310.KS,318500.0
008560.KS,
008930.KS,35700.0
009240.KS,38750.0
009420.KS,47550.0
010100.KS,3580.0
010620.KS,
010780.KS,18810.0
011200.KS,20650.0
011210.KS,55900.0
012750.KS,73300.0
014820.KS,20125.0
017800.KS,71100.0
020150.KS,29100.0
021240.KS,92400.0
028670.KS,5260.0
029780.KS,50200.0
030000.KS,19160.0
031430.KS,11270.0
033780.KS,183100.0
039490.KS,301500.0
069260.KS,15220.0
069620.KS,128100.0
073240.KS,6160.0
081660.KS,44650.0
086280.KS,206000.0
088350.KS,4585.0
093050.KS,22700.0
093370.KS,10010.0
100590.KS,3150.0
108320.KS,38050.0
111770.KS,87200.0
115390.KS,
128940.KS,391500.0
137310.KS,6290.0
138040.KS,125700.0
138930.KS,18160.0
139130.KS,18150.0
139480.KS,82900.0
145990.KS,44350.0
161390.KS,69800.0
175330.KS,28800.0
180640.KS,111800.0
185750.KS,68900.0
192080.KS,61400.0
241560.KS,64000.0
285130.KS,40200.0
298020.KS,326500.0
298050.KS,161500.0
302440.KS,35000.0
352820.KS,226500.0
003380.KQ,9740.0
004540.KQ,1231.0
004650.KQ,9360.0
006220.KQ,9250.0
007390.KQ,24000.0
011560.KQ,21650.0
014620.KQ,27850.0
023160.KQ,22750.0
024800.KQ,4255.0
025900.KQ,5840.0
031510.KQ,1108.0
031980.KQ,109900.0
032500.KQ,15570.0
033640.KQ,17940.0
035600.KQ,9510.0
035760.KQ,31800.0
035900.KQ,46900.0
036490.KQ,
036830.KQ,31150.0
036890.KQ,13650.0
036930.KQ,150700.0
040420.KQ,5800.0
041190.KQ,4575.0
041510.KQ,74100.0
041960.KQ,6940.0
042000.KQ,17850.0
046890.KQ,8810.0
048260.KQ,
048410.KQ,6150.0
048530.KQ,2475.0
051900.KQ,248500.0
053030.KQ,6740.0
056190.KQ,20700.0
060250.KQ,12660.0
064290.KQ,31450.0
064550.KQ,6460.0
065350.KQ,27950.0
065660.KQ,16170.0
067310.KQ,35200.0
