ticker,price,gap_pct,rsi14,sma10,sma40,sma50,sma200,px_vs_sma10,px_vs_sma40,px_vs_sma50,px_vs_sma200,sma10_slope,sma40_slope,weekly_up,weekly_r1,weekly_s1,room_to_weekly_r1_pct,daily_break_level,daily_breakout,daily_retest,in_daily_box_middle,grade,score
000050.KS,9860.0,0.0,54.97,10051.0,9574.75,9583.2,8342.8,-1.9,2.98,2.89,18.19,UP,UP,True,15210.0,8810.0,54.26,15210.0,False,False,False,C,9.0
001230.KS,39229.18,0.0,61.15,39163.8,36559.7,35735.03,28657.95,0.17,7.3,9.78,36.89,UP,UP,True,41121.82,32037.16,4.82,41121.82,False,False,False,C,9.0
001430.KS,69400.0,0.0,52.22,71870.0,69012.5,68164.0,46644.25,-3.44,0.56,1.81,48.79,DN,UP,True,74000.0,62000.0,6.63,89100.0,False,False,False,C,9.0
002380.KS,586000.0,0.0,58.9,568800.0,531837.5,541000.0,447732.5,3.02,10.18,8.32,30.88,UP,UP,True,692000.0,452000.0,18.09,692000.0,False,False,True,C,9.0
003160.KS,34250.0,0.0,63.13,34000.0,32858.75,33065.0,24229.2,0.74,4.23,3.58,41.36,UP,UP,True,39000.0,26850.0,13.87,39000.0,False,False,False,C,9.0
003490.KS,26150.0,0.0,62.39,24860.0,24641.25,24829.0,23664.75,5.19,6.12,5.32,10.5,DN,UP,True,29750.0,22800.0,13.77,29750.0,False,False,True,C,9.0
003540.KS,39700.0,0.0,53.06,39350.0,38545.0,39204.0,30947.0,0.89,3.0,1.27,28.28,UP,UP,True,51400.0,34900.0,29.47,51400.0,False,False,True,C,9.0
003620.KS,4305.0,0.0,56.41,4277.5,3808.0,3795.4,3597.42,0.64,13.05,13.43,19.67,UP,UP,True,4565.0,3300.0,6.04,4635.0,False,False,False,C,9.0
004020.KS,42150.0,0.0,57.49,42690.0,38211.25,38261.0,34226.0,-1.26,10.31,10.16,23.15,UP,UP,True,50400.0,33050.0,19.57,50400.0,False,False,False,C,9.0
005070.KS,63000.0,0.0,64.81,62560.0,54808.75,54548.0,48789.25,0.7,14.95,15.49,29.13,UP,UP,True,66400.0,46600.0,5.4,66400.0,False,False,False,C,9.0
005090.KS,60100.0,0.0,62.35,61450.0,57790.0,55831.0,32036.0,-2.2,4.0,7.65,87.6,UP,UP,True,70700.0,49100.0,17.64,70700.0,False,False,False,C,9.0
005290.KQ,60600.0,0.0,58.72,59710.0,51915.0,52004.0,41600.0,1.49,16.73,16.53,45.67,UP,UP,True,64400.0,41850.0,6.27,64400.0,False,False,False,C,9.0
007070.KS,23300.0,0.0,53.23,23315.0,21852.5,21596.6,19709.95,-0.06,6.62,7.89,18.21,DN,UP,True,24100.0,17800.0,3.43,24450.0,False,False,False,C,9.0
007660.KS,145800.0,0.0,63.42,151380.0,124582.5,122374.0,102569.25,-3.69,17.03,19.14,42.15,UP,UP,True,164400.0,96300.0,12.76,164400.0,False,False,False,C,9.0
009830.KS,47325.0,0.0,62.15,48727.5,44540.0,45474.0,34427.62,-2.88,6.25,4.07,37.46,UP,DN,True,56800.0,33600.0,20.02,59300.0,False,False,True,C,9.0
009835.KS,27850.0,0.0,62.94,27980.0,26287.5,26793.0,24177.75,-0.46,5.94,3.95,15.19,UP,DN,True,35100.0,21550.0,26.03,35100.0,False,False,True,C,9.0
010820.KS,13000.0,0.0,53.16,14283.0,10288.0,9758.6,5722.22,-8.98,26.36,33.22,127.18,DN,UP,True,18730.0,6570.0,44.08,18730.0,False,False,False,C,9.0
010950.KS,118100.0,0.0,50.57,122530.0,115420.0,116920.0,86059.75,-3.62,2.32,1.01,37.23,UP,DN,True,177100.0,103600.0,49.96,177100.0,False,False,False,C,9.0
012330.KS,441500.0,0.0,58.55,437050.0,413137.5,421390.0,360257.5,1.02,6.87,4.77,22.55,UP,UP,True,472000.0,372000.0,6.91,531000.0,False,False,True,C,9.0
017940.KS,100700.0,0.0,59.09,103320.0,99570.0,99690.0,87026.5,-2.54,1.13,1.01,15.71,UP,UP,True,111300.0,93800.0,10.53,114500.0,False,False,True,C,9.0
022100.KS,34650.0,0.0,60.44,35300.0,32513.75,33008.0,28889.75,-1.84,6.57,4.97,19.94,UP,UP,True,45600.0,28900.0,31.6,41950.0,False,False,True,C,9.0
023160.KQ,45400.0,0.0,50.95,45880.0,39793.75,37311.0,28016.5,-1.05,14.09,21.68,62.05,UP,UP,True,51300.0,23150.0,13.0,51300.0,False,False,False,C,9.0
025900.KQ,11910.0,0.0,55.71,12045.0,10939.0,10712.4,9724.95,-1.12,8.88,11.18,22.47,DN,UP,True,12980.0,7850.0,8.98,12980.0,False,False,False,C,9.0
031980.KQ,125400.0,0.0,58.06,122860.0,109582.5,107180.0,62343.0,2.07,14.43,17.0,101.15,UP,UP,True,129200.0,89600.0,3.03,139100.0,False,False,False,C,9.0
033780.KS,175400.0,0.0,62.25,175920.0,163962.5,163556.0,147245.0,-0.3,6.98,7.24,19.12,UP,UP,True,181500.0,148000.0,3.48,181800.0,False,False,False,C,9.0
035600.KQ,11250.0,0.0,54.67,11378.0,10782.0,10816.6,10685.95,-1.12,4.34,4.01,5.28,DN,UP,True,11970.0,10000.0,6.4,12280.0,False,False,True,C,9.0
041960.KQ,9290.0,0.0,53.88,9638.0,8836.5,8788.4,7089.25,-3.61,5.13,5.71,31.04,DN,UP,True,10790.0,7630.0,16.15,10790.0,False,False,True,C,9.0
051600.KS,59950.0,0.0,54.59,62215.0,59966.25,59529.0,54255.0,-3.64,-0.03,0.71,10.5,UP,UP,True,69000.0,54800.0,15.1,69000.0,False,False,True,C,9.0
052690.KS,183400.0,0.0,54.58,188200.0,173012.5,169924.0,118659.25,-2.55,6.0,7.93,54.56,UP,UP,True,198000.0,145600.0,7.96,198000.0,False,False,False,C,9.0
058470.KQ,112800.0,0.0,50.0,117080.0,111980.0,111702.0,72919.25,-3.66,0.73,0.98,54.69,DN,DN,True,129000.0,94200.0,14.36,129000.0,False,False,True,C,9.0
058610.KQ,125200.0,0.0,64.37,125680.0,117345.0,120692.0,72204.5,-0.38,6.69,3.74,73.4,UP,DN,True,155000.0,101300.0,23.8,155900.0,False,False,True,C,9.0
064350.KS,235000.0,0.0,61.79,248000.0,210885.0,213238.0,204662.0,-5.24,11.44,10.21,14.82,UP,UP,True,274000.0,166600.0,16.6,282000.0,False,False,False,C,9.0
071050.KS,276500.0,0.0,60.7,261400.0,238200.0,238740.0,183229.5,5.78,16.08,15.82,50.9,UP,UP,True,300500.0,200500.0,8.68,300500.0,False,False,False,C,9.0
078600.KQ,151100.0,0.0,56.76,159750.0,131787.5,125624.0,85858.5,-5.41,14.65,20.28,75.99,UP,UP,True,183300.0,76100.0,21.31,183300.0,False,False,False,C,9.0
