ticker,name,market,asset_type,sector,industry,source
001450.KS,현대해상,,STOCK,Financial Services,Insurance,existing
001800.KS,오리온홀딩스,,STOCK,Industrials,Holding company,existing
033780.KS,KT&G,KOSPI,STOCK,Consumer Staples,Tobacco,builtin
055550.KS,신한지주,,STOCK,Holding Company,Holding company,existing
073240.KS,금호타이어,,STOCK,Consumer Discretionary,Auto parts,existing
096770.KS,SK이노베이션,,STOCK,Other,Other / Needs review,existing
105560.KS,KB금융,,STOCK,Financial Services,Financial services,existing
139130.KS,iM금융지주,,STOCK,Financial Services,Financial services,existing
143240.KQ,사람인,,STOCK,Communication Services,HR platform,existing
161390.KS,한국타이어앤테크놀로지,,STOCK,Consumer Discretionary,Auto parts,existing
161890.KS,한국콜마,,STOCK,Other,Other / Needs review,existing
298000.KS,효성화학,,STOCK,Materials,Chemicals,existing
475150.KS,SK이터닉스,,STOCK,Energy,Renewable energy,existing
031510.KQ,오스템,,STOCK,Industrials,Auto parts / Machinery,existing
192440.KQ,슈피겐코리아,,STOCK,Consumer Discretionary,Mobile accessories,existing
001940.KS,KISCO홀딩스,,STOCK,Industrials,Holding company,existing
003300.KS,한일홀딩스,,STOCK,Industrials,Holding company,existing
021240.KS,코웨이,,STOCK,Consumer Discretionary,Home appliances / Rental,existing
078130.KQ,국일제지,,STOCK,Materials,Paper,existing
081660.KS,미스토홀딩스,,STOCK,Industrials,Holding company,existing
091170.KS,KODEX 은행,,ETF,ETF,KODEX 은행,existing
111770.KS,영원무역,,STOCK,Consumer Discretionary,Apparel / Fashion OEM,existing
138040.KS,메리츠금융지주,,STOCK,Financial Services,Financial services,existing
138930.KS,BNK금융지주,,ETF,ETF,BNK금융지주,existing
175330.KS,JB금융지주,,STOCK,Financial Services,Financial services,existing
002790.KS,아모레퍼시픽홀딩스,,STOCK,Industrials,Holding company,existing
005940.KS,NH투자증권,,STOCK,Financial Services,Securities,existing
005945.KS,NH투자증권우,,PREFERRED,Preferred Stock,Preferred / Special share,existing
006120.KS,SK디스커버리,,STOCK,Holding Company,Holding company,existing
006360.KS,GS건설,,STOCK,Industrials,Construction,existing
011200.KS,HMM,,STOCK,Industrials,Shipping,existing
024110.KS,기업은행,,STOCK,Financial Services,Banks,existing
024800.KQ,유성티엔에스,,STOCK,Other,Other / Needs review,existing
028670.KS,팬오션,,STOCK,Industrials,Shipping / Marine transportation,existing
078935.KS,GS우,,PREFERRED,Preferred Stock,Preferred / Special share,existing
089970.KQ,브이엠,,STOCK,Industrials,Semiconductor / Display equipment,existing
090430.KS,아모레퍼시픽,,STOCK,Consumer Staples,Cosmetics,existing
093050.KS,LF,,STOCK,Consumer Discretionary,Apparel / Fashion,existing
095610.KQ,테스,,STOCK,Information Technology,Semiconductor equipment,existing
145990.KS,삼양사,,STOCK,Materials,Food ingredients / Chemicals,existing
282330.KS,BGF리테일,,STOCK,Consumer Staples,Retail / Convenience stores,existing
316140.KS,우리금융지주,,PREFERRED,Preferred Stock,Preferred / Special share,existing
000020.KS,동화약품,,STOCK,Healthcare,Pharmaceuticals,existing
000050.KS,경방,,STOCK,Consumer Discretionary,Textiles / Apparel,existing
000070.KS,삼양홀딩스,,STOCK,Industrials,Holding company,existing
000140.KS,하이트진로홀딩스,,STOCK,Industrials,Holding company,existing
000240.KS,한국앤컴퍼니,,STOCK,Holding Company,Holding company / Auto parts,existing
000250.KQ,삼천당제약,,STOCK,Healthcare,Pharmaceuticals,existing
000500.KS,가온전선,,STOCK,Industrials,Electric wire / Power equipment,existing
000660.KS,SK하이닉스,KOSPI,STOCK,Information Technology,Semiconductors / Memory,builtin
000810.KS,삼성화재,,STOCK,Financial Services,Insurance,existing
001120.KS,LX인터내셔널,,STOCK,Industrials,Trading / Holding,existing
004170.KS,신세계,,STOCK,Other,Other / Needs review,existing
004370.KS,농심,KOSPI,STOCK,Consumer Staples,Food / Noodles,builtin
004490.KS,세방전지,,STOCK,Materials,Battery materials,existing
007070.KS,GS리테일,,STOCK,Consumer Staples,Retail / Convenience stores,existing
009150.KS,삼성전기,KOSPI,STOCK,Information Technology,Electronic components / MLCC,builtin
009155.KS,삼성전기우,KOSPI,PREFERRED,Information Technology,Electronic components preferred,builtin
018670.KS,SK가스,,STOCK,Utilities,Gas / Utilities,existing
029780.KS,삼성카드,,STOCK,Financial Services,Consumer finance,existing
030000.KS,제일기획,,STOCK,Communication Services,Advertising / Marketing,existing
030200.KS,KT,,STOCK,Communication Services,Telecommunication,existing
031980.KQ,피에스케이홀딩스,,STOCK,Industrials,Holding company,existing
034730.KS,SK,,STOCK,Other,Other / Needs review,existing
036930.KQ,주성엔지니어링,,STOCK,Industrials,Engineering,existing
051900.KQ,LG생활건강,,STOCK,Consumer Staples,Consumer goods,existing
051900.KS,LG생활건강,,STOCK,Consumer Staples,Consumer goods,existing
060370.KQ,레고켐바이오,KOSDAQ,STOCK,Health Care,Biotech / ADC,builtin
064290.KQ,인텍플러스,,STOCK,Other,Other / Needs review,existing
069960.KS,현대백화점,,STOCK,Consumer Discretionary,Retail,existing
081580.KQ,성우전자,,PREFERRED,Preferred Stock,Preferred / Special share,existing
133690.KS,TIGER 미국나스닥100,,ETF,ETF,TIGER 미국나스닥100,existing
140860.KQ,파크시스템스,,STOCK,Information Technology,IT Systems,existing
192080.KS,더블유게임즈,,STOCK,Communication Services,Gaming / Contents,existing
192820.KS,코스맥스,,STOCK,Consumer Staples,Cosmetics ODM,existing
222800.KQ,심텍,,STOCK,Information Technology,PCB / semiconductor substrate,existing
253840.KQ,수젠텍,,STOCK,Healthcare,Diagnostics,existing
