# saved_at_kr,2026-09-18 08:38:06 KST
# mode,last price (regular/extended)
# provider,yahoo(yfinance)
# group: finviz_manual
ticker,premarket
APA,45.48
CNQ,50.76
COP,133.46
EQNR,43.6
FANG,197.0
LNG,269.81
TTE,91.57
VG,14.45
CRAK,
MPC,423.08
VLO,413.33
PSX,275.32
USO,155.24
BNO,60.84
UCO,52.3
BATL,1.24
RCAT,7.12
TGT,160.01
ZD,59.49
NPT,
KTB,65.89
SEM,
SRRK,49.46
LWLG,5.04
TDW,88.76
GTE,10.24
IDYA,38.61
ASTS,62.7
CNR,94.52
DEC,14.05
INGM,
CF,134.7
CHRD,146.27
WDS,23.51
FLNG,33.0
SU,69.68
CVX,212.12
EOG,146.67
HAFN,9.8
KOS,2.84
FBF,
PARR,87.0
IYE,
XLE,64.62
XOP,193.3
FCX,70.84
GLNG,50.9
IOT,39.74
MRVL,239.89
PBR,20.99
PAA,
NVDA,219.25
AVGO,348.13
AMD,545.4
TSM,429.7
ASML,1628.99
MU,980.54
ANET,199.79
VRT,241.75
SMCI,40.38
AMAT,416.2
KLAC,168.25
LRCX,268.67
TER,352.2
VST,143.5
CEG,262.79
NRG,107.0
GEV,926.11
ETN,411.0
PWR,617.12
EME,734.08
HWM,227.24
PH,922.37
ROK,410.45
ABB,
IR,72.75
DE,684.5
CAT,798.03
SYM,44.53
RTX,193.68
LMT,538.06
NOC,528.54
GE,313.52
URI,995.0
LLY,1151.73
ABBV,264.04
ISRG,382.81
BSX,43.6
VRTX,515.0
TMO,660.89
DHR,212.89
HIMS,27.89
COST,894.5
WMT,106.63
PG,147.42
PM,190.5
KO,88.08
MDLZ,61.64
COIN,172.6
HOOD,109.14
MSTR,131.71
CME,270.0
QETH,24.35
LIN,458.75
APD,286.12
ECL,271.7
SHW,324.03
LYB,64.31
DD,129.0
NUE,257.0
FSLR,201.08
NXT,83.35
ENPH,36.01
AES,14.88
NEE,81.25
TSLA,365.74
UBER,71.03
LYFT,15.47
GM,86.57
MBLY,8.03
AUR,6.48
ON,68.58
NXPI,227.59
ARRY,4.27
LUNR,14.82
RDW,11.54
PL,16.99
SPIR,11.97
SATL,5.54
GSAT,82.98
VSAT,72.8
VIASAT,
BA,197.5
GLD,398.01
IAU,81.72
GLDM,85.94
SLV,59.07
SIVR,62.15
AAPL,336.37
MSFT,496.2
GOOGL,346.75
META,680.85
AMZN,250.64
BRK-B,509.35
JPM,349.45
V,369.01
MA,566.0
QCOM,188.35
TXN,257.36
RIVN,15.48
F,13.62
CHPT,9.86
BE,279.67
QS,5.19
SLDP,2.53
ENVX,2.94
ALB,115.76
SQM,71.73
LTHM,
GS,951.9
MS,203.52
BAC,58.23
WFC,87.0
SCHW,104.8
KKR,97.82
BX,125.4
APO,125.07
FLR,54.94
MTZ,208.38
ACM,63.26
IRDM,47.88
DAL,79.48
UAL,107.38
AAL,12.98
LUV,40.26
ALK,40.24
JBLU,4.47
ULCC,5.88
CCL,22.26
RCL,250.49
NCLH,14.43
VIK,85.84
BKNG,170.5
EXPE,289.45
ABNB,165.66
MAR,333.87
HLT,302.02
MGM,38.44
LVS,40.8
WYNN,83.54
CZR,29.67
HD,303.0
LOW,194.15
TJX,127.15
ROST,229.48
ULTA,544.2
NKE,36.37
LULU,99.13
CMG,33.57
MCD,249.11
SBUX,96.57
AMKR,47.95
JBL,296.85
FLEX,109.87
SANM,198.22
APH,78.95
TEL,201.76
GLW,148.1
SQ,
PYPL,53.06
UNG,10.32
BOIL,19.64
KOLD,29.46
# group: macro_watch_yahoo
ticker,premarket
CL=F,
WTI,
CRUDE,
OIL,
BZ=F,
BRENT,
RB=F,
GASOLINE,
RBOB,
NG=F,
GAS,
ES=F,
NQ=F,
NASDAQ,26418.3
^VIX,
VIX,
^TNX,4.95
GC=F,
GOLD,
# group: tickers_core
ticker,premarket
AEM,201.41
AUX,
BBH,
BDH,
BHH,
BIX,
BOIL,19.64
CCJ,93.2
CVE,33.61
CWX,
DIG,72.16
ERX,109.66
FCX,70.84
FPP,
GAX,
GIP,
GSM,
GUSH,47.0
HAL,34.03
HCX,
HHH,61.54
IAH,
IDU,
IH,
IUX,
IXF,
IYD,
IYE,
IYG,
IYH,
IYM,
IYR,
IYV,
IYW,
IYZ,
LNG,269.81
MPC,423.08
OIH,400.7
PPH,111.67
PSX,275.32
RLX,
RMS,
SP,
SCCO,197.0
SHEL,96.04
SLB,52.15
SMH,560.84
SOURCE,
TRX,1.27
TTH,
UCO,52.3
UTH,
UYM,
XLB,50.51
XLE,64.62
XLK,187.97
XLU,41.69
XOP,193.3
NVDA,219.25
AVGO,348.13
AMD,545.4
TSM,429.7
ASML,1628.99
MU,980.54
ANET,199.79
VRT,241.75
SMCI,40.38
MRVL,239.89
AMAT,416.2
KLAC,168.25
LRCX,268.67
TER,352.2
QCOM,188.35
TXN,257.36
MSFT,496.2
GOOGL,346.75
META,680.85
AMZN,250.64
BRK-B,509.35
JPM,349.45
V,369.01
MA,566.0
COST,894.5
WMT,106.63
VST,143.5
CEG,262.79
NRG,107.0
GEV,926.11
ETN,411.0
PWR,617.12
HWM,227.24
PH,922.37
EME,734.08
CAT,798.03
DE,684.5
RTX,193.68
LMT,538.06
NOC,528.54
GE,313.52
ABB,
URI,995.0
ROK,410.45
IR,72.75
LLY,1151.73
ABBV,264.04
JNJ,270.01
ISRG,382.81
ABT,102.21
BSX,43.6
SYK,281.8
TMO,660.89
DHR,212.89
VRTX,515.0
PG,147.42
KO,88.08
PM,190.5
PEP,133.85
CL,87.77
MDLZ,61.64
XOM,163.54
CVX,212.12
COP,133.46
LIN,458.75
NUE,257.0
COIN,172.6
HOOD,109.14
MSTR,131.71
CME,270.0
APD,286.12
ECL,271.7
SHW,324.03
LYB,64.31
DD,129.0
FSLR,201.08
NXT,83.35
ENPH,36.01
AES,14.88
NEE,81.25
SYM,44.53
TSLA,365.74
UBER,71.03
LYFT,15.47
GM,86.57
MBLY,8.03
AUR,6.48
ON,68.58
NXPI,227.59
ARRY,4.27
ASTS,62.7
LUNR,14.82
RDW,11.54
PL,16.99
SPIR,11.97
SATL,5.54
GSAT,82.98
VSAT,72.8
VIASAT,
BA,197.5
GLD,398.01
IAU,81.72
GLDM,85.94
SLV,59.07
SIVR,62.15
AAPL,336.37
RIVN,15.48
F,13.62
CHPT,9.86
BE,279.67
QS,5.19
SLDP,2.53
ENVX,2.94
ALB,115.76
SQM,71.73
LTHM,
GS,951.9
MS,203.52
BAC,58.23
WFC,87.0
SCHW,104.8
KKR,97.82
BX,125.4
APO,125.07
FLR,54.94
MTZ,208.38
ACM,63.26
IRDM,47.88
DAL,79.48
UAL,107.38
AAL,12.98
LUV,40.26
ALK,40.24
JBLU,4.47
ULCC,5.88
CCL,22.26
RCL,250.49
NCLH,14.43
VIK,85.84
BKNG,170.5
EXPE,289.45
ABNB,165.66
MAR,333.87
HLT,302.02
MGM,38.44
LVS,40.8
WYNN,83.54
CZR,29.67
HD,303.0
LOW,194.15
TJX,127.15
ROST,229.48
ULTA,544.2
NKE,36.37
LULU,99.13
CMG,33.57
MCD,249.11
SBUX,96.57
AMKR,47.95
JBL,296.85
FLEX,109.87
SANM,198.22
APH,78.95
TEL,201.76
GLW,148.1
QETH,24.35
SQ,
PYPL,53.06
UGL,50.2
AGQ,79.18
PALL,23.35
NUGT,178.0
JNUG,177.69
DBC,33.1
PDBC,20.0
GSG,36.34
COM,35.52
COPX,86.8
DRLL,41.62
PPLT,16.04
RIO,97.5
RKLB,68.04
HUBB,443.26
EMR,147.73
AME,234.5
DOV,189.24
JCI,143.26
LIT,72.39
BATT,14.5
MP,49.78
PLL,
LAAC,
GDX,95.77
GDXJ,123.45
NEM,124.61
GOLD,
FNV,266.0
WPM,152.0
PAAS,49.65
HL,19.04
AG,19.49
SIL,95.17
SILJ,30.19
OXY,59.31
EOG,146.67
FANG,197.0
DVN,48.95
APA,45.48
MRO,
EQT,50.49
AR,35.69
RRC,39.1
CNQ,50.76
SU,69.68
KMI,31.3
WMB,72.58
TRGP,284.0
ET,21.06
EPD,38.46
PAA,
VLO,413.33
PBF,77.88
HII,277.8
BWXT,146.0
OKLO,39.67
SMR,9.02
LEU,149.75
MMM,164.72
AOS,57.03
ACN,190.3
ADBE,252.32
AFL,115.53
A,158.56
AKAM,107.33
ARE,55.97
ALGN,149.84
ALLE,153.63
LNT,66.27
ALL,252.0
GOOG,343.19
MO,69.62
AMCR,42.38
AEE,103.9
AEP,121.0
AXP,311.89
AIG,75.15
AMT,175.5
AWK,136.93
AMP,545.7
AMGN,378.22
ADI,361.14
AON,296.17
APP,320.44
APTV,44.02
ACGL,96.68
ADM,88.05
ARES,125.5
AJG,241.41
AIZ,283.81
T,25.43
ATO,162.03
ADSK,219.24
ADP,271.6
AZO,2866.12
AVB,
AVY,170.45
AXON,453.0
BKR,56.6
BALL,60.75
BAX,23.08
BDX,181.38
BBY,94.3
TECH,72.41
BIIB,217.01
BLK,1054.87
XYZ,76.58
BK,
BMY,62.91
BR,165.73
BRO,65.4
BF-B,26.0
BLDR,57.89
BG,120.02
BXP,63.85
CHRW,153.82
CDNS,279.81
CPT,100.93
CPB,21.22
COF,202.25
CAH,226.25
CARR,54.69
CVNA,65.85
CASY,608.21
CBOE,266.0
CBRE,139.32
CDW,148.5
COR,310.0
CNC,66.62
CNP,38.56
CF,134.7
CRL,281.67
CHTR,133.99
CB,340.0
CHD,94.87
CIEN,345.97
CI,276.79
CINF,170.0
CTAS,196.74
CSCO,110.01
C,132.61
CFG,67.76
CLX,85.0
CMS,66.68
CTSH,61.8
COHR,295.9
CMCSA,23.02
FIX,1575.0
CAG,15.2
ED,107.05
STZ,122.75
COO,55.0
CPRT,29.84
CPAY,402.65
CTVA,81.53
CSGP,29.54
CTRA,
CRH,87.13
CRWD,245.7
CCI,74.05
CSX,48.03
CMI,528.84
CVS,90.38
DRI,207.15
DDOG,235.33
DVA,184.8
DECK,80.05
DELL,589.0
DXCM,88.05
DLR,182.5
DG,125.05
DLTR,115.21
D,64.0
DPZ,297.96
DASH,192.67
DOW,29.5
DHI,140.5
DTE,131.5
DUK,118.42
EBAY,112.39
SATS,
EIX,55.63
EW,88.25
EA,
ELV,412.35
ETR,103.31
EPAM,117.65
EFX,162.66
EQIX,1025.94
EQR,
ERIE,244.39
ESS,270.8
EL,94.0
EG,378.25
EVRG,80.91
ES,68.81
EXC,43.0
EXE,89.0
EXPD,191.87
EXR,139.03
FFIV,430.02
FDS,279.0
FICO,966.3
FAST,49.18
FRT,112.2
FDX,305.8
FIS,36.54
FITB,53.26
FE,45.66
FISV,49.48
FTNT,171.98
FTV,55.07
FOXA,65.92
FOX,58.42
BEN,32.65
GRMN,275.8
IT,187.88
GEHC,64.44
GEN,30.1
GNRC,208.72
GD,356.6
GIS,36.71
GPC,132.46
GILD,150.45
GPN,85.8
GL,171.57
GDDY,98.14
HIG,133.33
HAS,88.76
HCA,432.95
DOC,20.26
HSIC,85.04
HSY,169.0
HPE,61.05
HON,205.54
HRL,21.09
HST,21.9
HPQ,34.68
HUM,385.75
HBAN,15.87
IBM,237.81
IEX,218.98
IDXX,506.79
ITW,267.29
INCY,127.62
PODD,141.55
INTC,109.35
IBKR,88.55
ICE,154.0
IFF,84.91
IP,35.55
INTU,313.55
IVZ,30.27
INVH,27.27
IQV,269.44
IRM,114.5
JBHT,237.25
JKHY,156.21
J,144.16
KVUE,17.87
KDP,32.0
KEY,20.85
KEYS,328.46
KMB,98.29
KIM,22.69
KHC,24.76
KR,60.49
LHX,251.4
LH,322.73
LDOS,130.02
LEN,79.51
LII,359.79
LYV,168.34
L,108.36
LITE,896.5
MTB,227.88
