ticker,price,gap_pct,rsi14,sma10,sma40,sma50,sma200,px_vs_sma10,px_vs_sma40,px_vs_sma50,px_vs_sma200,sma10_slope,sma40_slope,weekly_up,weekly_r1,weekly_s1,room_to_weekly_r1_pct,daily_break_level,daily_breakout,daily_retest,in_daily_box_middle,grade,score
BBH,208.03,0.0,56.96,205.74,200.31,197.48,191.45,1.11,3.85,5.35,8.66,UP,UP,True,212.54,200.73,2.17,212.54,False,True,False,A,9.0
URI,1150.13,0.0,63.05,1100.46,1084.53,1069.13,904.61,4.51,6.05,7.58,27.14,UP,UP,True,1177.67,994.86,2.39,1177.67,False,True,False,A,9.0
LYV,183.7,0.0,57.38,179.9,177.53,175.18,156.38,2.11,3.47,4.87,17.47,UP,UP,True,188.0,158.02,2.34,188.0,False,True,False,A,9.0
SHEL,89.84,0.0,66.17,88.84,83.67,84.01,81.21,1.12,7.38,6.94,10.63,UP,UP,True,94.9,76.26,5.63,92.07,False,True,False,A,8.0
CZR,30.12,0.0,49.7,29.87,29.8,29.64,25.45,0.84,1.07,1.63,18.36,DN,UP,True,30.83,29.45,2.36,30.83,False,True,False,A,6.0
GPC,132.55,0.0,65.83,126.23,117.93,114.0,119.11,5.01,12.4,16.27,11.29,UP,UP,False,135.44,109.5,2.18,135.44,False,True,False,A,5.0
RCL,325.74,0.0,74.44,310.39,300.38,296.39,286.47,4.95,8.44,9.9,13.71,UP,UP,False,333.39,277.8,2.35,334.0,False,True,False,A,1.0
REGN,760.66,0.0,79.23,703.77,654.69,648.23,711.59,8.08,16.19,17.34,6.9,UP,UP,False,781.21,594.9,2.7,772.75,False,True,False,A,1.0
CTSH,56.13,0.0,80.88,50.55,46.17,47.73,63.94,11.03,21.58,17.61,-12.22,UP,UP,False,57.65,37.08,2.71,57.65,False,True,False,A,0.0
GE,377.28,0.0,59.58,358.11,355.27,348.05,315.82,5.35,6.2,8.4,19.46,UP,UP,True,382.97,336.53,1.51,382.97,False,True,False,B,9.0
ET,20.33,0.0,62.07,20.27,19.62,19.6,18.4,0.31,3.62,3.75,10.49,UP,UP,True,20.7,18.46,1.82,20.7,False,True,False,B,9.0
RF,31.95,0.0,54.6,31.06,30.26,29.8,27.71,2.88,5.59,7.21,15.3,UP,UP,True,32.47,26.16,1.63,32.47,False,True,False,B,9.0
HWM,288.2,0.0,57.61,283.79,274.23,270.4,237.24,1.55,5.09,6.58,21.48,UP,UP,True,290.63,243.68,0.84,295.28,False,True,False,B,8.0
