# tickers_core.txt (KRX core - healthcare/pharma/food/cosmetics/staples/semis)
# Semiconductors / electronics
005930.KS  # 삼성전자
000660.KS  # SK하이닉스
009150.KS  # 삼성전기
000990.KS  # DB하이텍
042700.KS  # 한미반도체

# Healthcare / pharma / biotech
207940.KS  # 삼성바이오로직스
068270.KS  # 셀트리온
000100.KS  # 유한양행
051910.KS  # LG화학(바이오/소재)
326030.KS  # SK바이오팜

# Food / staples / consumer
097950.KS  # CJ제일제당
271560.KS  # 오리온
004370.KS  # 농심
003230.KS  # 삼양식품
282330.KS  # BGF리테일

# Cosmetics
090430.KS  # 아모레퍼시픽
051900.KS  # LG생활건강
192820.KS  # 코스맥스
161890.KS  # 한국콜마
278470.KS  # 에이피알(화장품/소비)
