symbol,is_2x,status,status_rank,pattern,pattern_score,break_level,breakout_date,vol_confirmed,hold_confirmed,last_close,diag_touches,diag_slope_low,diag_depth,diag_vol_ratio_10_60,diag_db_score
CVX,False,ENTRY_READY,0,DOUBLE_BOTTOM,8.0,187.9,2026-03-02,True,True,188.77,2,0.774257,0.2348,0.596,3.0
IYE,False,ENTRY_READY,0,DOUBLE_BOTTOM,8.0,59.29,2026-03-02,True,True,59.7,2,0.22391,0.2439,0.764,3.0
XLE,False,ENTRY_READY,0,DOUBLE_BOTTOM,8.0,56.15,2026-03-02,True,True,56.52,2,0.21632,0.2438,0.745,3.0
APA,False,ENTRY_READY,0,DOUBLE_BOTTOM,7.0,30.42,2026-03-02,True,True,31.85,2,0.069507,0.2901,0.987,3.0
CHRD,False,ENTRY_READY,0,DOUBLE_BOTTOM,7.0,108.9,2026-03-02,True,True,112.34,1,0.217675,0.2323,0.819,3.0
CRAK,False,ENTRY_READY,0,DOUBLE_BOTTOM,7.0,45.57,2026-03-02,True,True,45.72,1,0.12723,0.1958,0.896,3.0
EOG,False,ENTRY_READY,0,DOUBLE_BOTTOM,7.0,126.2,2026-03-02,True,True,128.01,1,0.295836,0.2114,0.897,3.0
FANG,False,ENTRY_READY,0,DOUBLE_BOTTOM,6.0,177.25,2026-03-02,True,True,177.53,1,0.383355,0.2397,1.075,3.0
CNQ,False,ENTRY_READY,0,DOUBLE_BOTTOM,5.0,44.04,2026-03-02,True,True,44.13,1,0.194566,0.3429,0.534,3.0
DIG,True,ENTRY_READY,0,DOUBLE_BOTTOM,5.0,55.85,2026-03-02,True,True,56.66,2,0.371011,0.4218,0.745,3.0
ERX,True,ENTRY_READY,0,DOUBLE_BOTTOM,5.0,86.58,2026-03-02,True,True,87.75,2,0.5758,0.4229,0.74,3.0
EQNR,False,ENTRY_READY,0,DOUBLE_BOTTOM,3.5,29.94,2026-03-02,True,True,31.25,1,0.130647,0.3168,1.259,3.0
GUSH,True,ENTRY_READY,0,DOUBLE_BOTTOM,3.0,31.9,2026-03-02,True,True,33.92,1,0.147451,0.4022,0.964,3.0
HAFN,False,ENTRY_READY,0,BASE,2.5,7.725,2026-03-02,True,True,7.8,1,0.031926,0.3447,0.834,0.0
TGT,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,7.5,118.98,2026-03-03,True,False,120.8,3,0.413162,0.2421,1.317,3.0
COP,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,7.0,113.8,2026-03-02,True,False,118.52,1,0.386672,0.2393,0.761,3.0
FLNG,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,7.0,28.27,2026-03-03,True,False,29.26,2,0.039963,0.1461,1.183,3.0
