symbol,status,break_level,breakout_date,vol_confirmed,hold_confirmed,last_close
APA,BREAKOUT(vol_ok)_WAIT_HOLD,30.42,2026-03-02,True,False,31.69
CNQ,BREAKOUT(vol_ok)_WAIT_HOLD,44.04,2026-03-02,True,False,44.35
COP,BREAKOUT(vol_ok)_WAIT_HOLD,113.8,2026-03-02,True,False,118.24
EQNR,BREAKOUT(vol_ok)_WAIT_HOLD,29.94,2026-03-02,True,False,32.07
FANG,BREAKOUT(vol_ok)_WAIT_HOLD,177.25,2026-03-02,True,False,178.96
IYE,BREAKOUT(vol_ok)_WAIT_HOLD,59.29,2026-03-02,True,False,60.29
LNG,BREAKOUT(vol_ok)_WAIT_HOLD,236.63,2026-03-02,True,False,248.93
SHEL,BREAKOUT(vol_ok)_WAIT_HOLD,83.665,2026-03-02,True,False,84.22
TTE,BREAKOUT(vol_ok)_WAIT_HOLD,80.36,2026-03-02,True,False,81.07
VG,BREAKOUT(vol_ok)_WAIT_HOLD,10.43,2026-03-02,True,False,11.38
XLE,BREAKOUT(vol_ok)_WAIT_HOLD,56.15,2026-03-02,True,False,57.04
XOP,BREAKOUT(vol_ok)_WAIT_HOLD,154.0,2026-03-02,True,False,159.56
AEM,BREAKOUT_WAIT_VOL,246.78,2026-02-27,False,True,252.19
CVE,BREAKOUT_WAIT_VOL,22.57,2026-02-19,False,True,22.88
IYM,BREAKOUT_WAIT_VOL,188.81,2026-03-02,False,False,189.59
OIH,BREAKOUT_WAIT_VOL,400.44,2026-02-24,False,False,395.43
CCJ,NO_BREAKOUT,,,False,False,125.74
FCX,NO_BREAKOUT,,,False,False,68.29
HAL,NO_BREAKOUT,,,False,False,35.97
MPC,NO_BREAKOUT,,,False,False,209.82
PSX,NO_BREAKOUT,,,False,False,160.18
SCCO,NO_BREAKOUT,,,False,False,218.85
SLB,NO_BREAKOUT,,,False,False,51.27
XLB,NO_BREAKOUT,,,False,False,53.25
