symbol,is_2x,status,break_level,breakout_date,vol_confirmed,hold_confirmed,last_close
EQNR,False,ENTRY_READY,29.94,2026-03-02,True,True,31.25
FANG,False,ENTRY_READY,177.25,2026-03-02,True,True,177.53
XLE,False,ENTRY_READY,56.15,2026-03-02,True,True,56.52
BATL,False,BREAKOUT(vol_ok)_WAIT_HOLD,13.61,2026-03-03,True,False,27.68
BNO,False,BREAKOUT(vol_ok)_WAIT_HOLD,37.87,2026-03-03,True,False,38.61
COP,False,BREAKOUT(vol_ok)_WAIT_HOLD,113.8,2026-03-02,True,False,118.52
LNG,False,BREAKOUT(vol_ok)_WAIT_HOLD,236.63,2026-03-02,True,False,246.07
TDW,False,BREAKOUT(vol_ok)_WAIT_HOLD,82.0,2026-03-03,True,False,87.67
TGT,False,BREAKOUT(vol_ok)_WAIT_HOLD,118.98,2026-03-03,True,False,120.8
TTE,False,BREAKOUT(vol_ok)_WAIT_HOLD,80.36,2026-03-02,True,False,78.34
USO,False,BREAKOUT(vol_ok)_WAIT_HOLD,88.64,2026-03-03,True,False,90.2
XOP,False,BREAKOUT(vol_ok)_WAIT_HOLD,154.0,2026-03-02,True,False,158.99
ZD,False,BREAKOUT(vol_ok)_WAIT_HOLD,41.07,2026-03-03,True,False,41.48
UCO,True,BREAKOUT(vol_ok)_WAIT_HOLD,28.52,2026-03-03,True,False,28.69
CVE,False,BREAKOUT_WAIT_VOL,22.57,2026-02-19,False,True,22.37
OIH,False,BREAKOUT_WAIT_VOL,400.44,2026-02-24,False,False,384.56
SHEL,False,BREAKOUT_WAIT_VOL,83.665,2026-03-02,False,False,82.33
KTB,False,NO_BREAKOUT,,,False,False,78.18
RCAT,False,NO_BREAKOUT,,,False,False,14.7
