symbol,is_2x,status,break_level,breakout_date,vol_confirmed,vol_ratio,hold_confirmed,breakout_pct,last_close
ZD,False,ENTRY_READY,41.07,2026-03-03,True,11.211,True,6.55,43.76
BATL,False,ENTRY_READY,13.61,2026-03-03,True,5.3,True,44.342,19.645
UCO,True,ENTRY_READY,28.52,2026-03-03,True,4.817,True,6.295,30.3153
BNO,False,ENTRY_READY,37.87,2026-03-03,True,4.248,True,5.44,39.93
EQNR,False,ENTRY_READY,29.94,2026-03-02,True,2.693,True,6.112,31.77
LNG,False,ENTRY_READY,236.63,2026-03-02,True,2.682,True,6.092,251.045
TDW,False,ENTRY_READY,82.0,2026-03-03,True,2.635,True,1.561,83.28
CL=F,False,ENTRY_READY,67.83,2026-03-02,True,2.591,True,14.89,77.93
XLE,False,ENTRY_READY,56.15,2026-03-02,True,2.489,True,0.748,56.57
BZ=F,False,ENTRY_READY,72.99,2026-03-02,True,2.485,True,14.906,83.87
COP,False,ENTRY_READY,113.8,2026-03-02,True,2.467,True,3.304,117.56
TGT,False,ENTRY_READY,118.98,2026-03-03,True,2.438,True,1.16,120.36
FANG,False,ENTRY_READY,177.25,2026-03-02,True,2.235,True,0.502,178.14
KOS,False,ENTRY_READY,2.55,2026-03-03,True,1.794,True,3.922,2.65
CVX,False,ENTRY_READY,187.9,2026-03-02,True,1.409,True,-0.197,187.53
TTE,False,BREAKOUT(vol_ok)_WAIT_HOLD,80.36,2026-03-02,True,1.594,False,-3.385,77.64
AEM,False,BREAKOUT_WAIT_VOL,246.78,2026-02-27,False,0.855,True,-9.766,222.68
NPT,False,BREAKOUT_WAIT_VOL,13.48,2026-03-04,False,0.39,True,3.13,13.9019
RB=F,False,BREAKOUT_WAIT_VOL,2.5427,2026-03-05,False,1.193,False,1.317,2.5762
SMH,False,BREAKOUT_WAIT_VOL,421.67,2026-02-25,False,0.959,False,-5.175,399.85
OIH,False,BREAKOUT_WAIT_VOL,400.44,2026-02-24,False,0.817,False,-5.099,380.02
USO,False,BREAKOUT_WAIT_VOL,94.37,2026-03-05,False,0.385,False,0.27,94.625
XOP,False,BREAKOUT_WAIT_VOL,162.46,2026-03-05,False,0.333,False,1.053,164.17
PARR,False,BREAKOUT_WAIT_VOL,50.22,2026-03-05,False,0.181,False,1.693,51.07
SHEL,False,BREAKOUT_WAIT_VOL,83.665,2026-03-02,False,0.012,False,-0.831,82.97
ASTS,False,NO_BREAKOUT,,,False,,False,,99.8
CCJ,False,NO_BREAKOUT,,,False,,False,,117.67
CVE,False,NO_BREAKOUT,,,False,,False,,23.0
ES=F,False,NO_BREAKOUT,,,False,,False,,6871.0
FCX,False,NO_BREAKOUT,,,False,,False,,63.365
GC=F,False,NO_BREAKOUT,,,False,,False,,5114.8999
HAL,False,NO_BREAKOUT,,,False,,False,,34.115
NG=F,False,NO_BREAKOUT,,,False,,False,,2.95
NQ=F,False,NO_BREAKOUT,,,False,,False,,25181.25
RCAT,False,NO_BREAKOUT,,,False,,False,,15.07
SCCO,False,NO_BREAKOUT,,,False,,False,,196.475
SLB,False,NO_BREAKOUT,,,False,,False,,47.275
SRRK,False,NO_BREAKOUT,,,False,,False,,47.68
TRX,False,NO_BREAKOUT,,,False,,False,,1.6999
XLK,False,NO_BREAKOUT,,,False,,False,,141.03
^TNX,False,NO_BREAKOUT,,,False,,False,,4.148
BOIL,True,NO_BREAKOUT,,,False,,False,,17.2101
