symbol,is_2x,status,break_level,breakout_date,vol_confirmed,hold_confirmed,last_close
000250.KQ,False,ENTRY_READY,757000.0,2026-02-27,True,True,767000.0
471990.KS,False,ENTRY_READY,24665.0,2026-02-27,True,True,24235.0
051910.KS,False,BREAKOUT(vol_ok)_WAIT_HOLD,402500.0,2026-02-27,True,False,300000.0
091160.KS,False,BREAKOUT(vol_ok)_WAIT_HOLD,105185.0,2026-02-27,True,False,93250.0
396500.KS,False,BREAKOUT(vol_ok)_WAIT_HOLD,35335.0,2026-02-27,True,False,31380.0
469150.KS,False,BREAKOUT(vol_ok)_WAIT_HOLD,48250.0,2026-02-27,True,False,44045.0
471760.KS,False,BREAKOUT(vol_ok)_WAIT_HOLD,20785.0,2026-03-06,True,False,19360.0
475310.KS,False,BREAKOUT(vol_ok)_WAIT_HOLD,31680.0,2026-03-06,True,False,29690.0
488080.KS,False,BREAKOUT(vol_ok)_WAIT_HOLD,51095.0,2026-02-27,True,False,38755.0
494310.KS,False,BREAKOUT(vol_ok)_WAIT_HOLD,80770.0,2026-02-27,True,False,61465.0
000660.KS,False,BREAKOUT_WAIT_VOL,1038000.0,2026-02-26,False,True,836000.0
005930.KS,False,BREAKOUT_WAIT_VOL,206000.0,2026-02-26,False,True,173500.0
009150.KS,False,BREAKOUT_WAIT_VOL,449000.0,2026-02-25,False,True,382000.0
042700.KS,False,BREAKOUT_WAIT_VOL,332500.0,2026-03-06,False,False,305000.0
068270.KS,False,BREAKOUT_WAIT_VOL,246000.0,2026-02-24,False,False,204000.0
091230.KS,False,BREAKOUT_WAIT_VOL,110165.0,2026-02-27,False,False,98360.0
122630.KS,False,BREAKOUT_WAIT_VOL,106200.0,2026-02-26,False,True,72850.0
267770.KS,False,BREAKOUT_WAIT_VOL,80600.0,2026-02-26,False,True,55500.0
278470.KS,False,BREAKOUT_WAIT_VOL,306500.0,2026-02-26,False,True,296500.0
395160.KS,False,BREAKOUT_WAIT_VOL,29020.0,2026-02-27,False,False,25905.0
395270.KS,False,BREAKOUT_WAIT_VOL,34547.0,2026-02-26,False,False,31660.0
000100.KS,False,NO_BREAKOUT,,,False,False,96400.0
000990.KS,False,NO_BREAKOUT,,,False,False,83200.0
003230.KS,False,NO_BREAKOUT,,,False,False,1022000.0
004370.KS,False,NO_BREAKOUT,,,False,False,386500.0
051900.KS,False,NO_BREAKOUT,,,False,False,249000.0
090430.KS,False,NO_BREAKOUT,,,False,False,128100.0
097950.KS,False,NO_BREAKOUT,,,False,False,190000.0
161890.KS,False,NO_BREAKOUT,,,False,False,66300.0
192820.KS,False,NO_BREAKOUT,,,False,False,164000.0
207940.KS,False,NO_BREAKOUT,,,False,False,1579000.0
233160.KS,False,NO_BREAKOUT,,,False,False,18750.0
233740.KS,False,NO_BREAKOUT,,,False,False,16965.0
251340.KS,False,NO_BREAKOUT,,,False,False,2065.0
252670.KS,False,NO_BREAKOUT,,,False,False,314.0
271560.KS,False,NO_BREAKOUT,,,False,False,126000.0
282330.KS,False,NO_BREAKOUT,,,False,False,115500.0
326030.KS,False,NO_BREAKOUT,,,False,False,98100.0
329180.KS,False,NO_BREAKOUT,,,False,False,576000.0
381180.KS,False,NO_BREAKOUT,,,False,False,28795.0
390390.KS,False,NO_BREAKOUT,,,False,False,37900.0
409820.KS,False,NO_BREAKOUT,,,False,False,14195.0
