symbol  score_total  score_breakout  score_double_bottom  last_close
  SHEL          7.5             7.5                  0.0   89.430000
   PSX          2.5             2.5                  0.0  172.740005
   HAL          2.5             2.5                  0.0   33.689999
   XOP          2.5             2.5                  0.0  167.889999
   CVE          2.5             2.5                  0.0   23.200001
   TRX          1.5             1.5                  0.0    1.600000
   XLU          1.5             1.5                  0.0   46.959999
   XLE          1.5             1.5                  0.0   57.700001
   AEM          1.5             1.5                  0.0  207.539993
   OIH          1.5             1.5                  0.0  371.130005
