ticker,is_2x,status,status_rank,pattern,pattern_score,break_level,break_level_src,breakout_date,vol_confirmed,hold_confirmed,last_close,breakout_strength,diag_db_l1,diag_db_l2,diag_db_peak,diag_db_diff_pct
TGT,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,8.99,118.98,pattern:DOUBLE_BOTTOM_neckline,2026-03-04,True,False,120.08,0.009245,487.0,497.0,492.0,0.67
LWLG,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,8.64,3.71,pattern:DOUBLE_BOTTOM_neckline,2026-03-04,True,False,5.6,0.509434,474.0,491.0,480.0,0.91
VG,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,8.5,10.43,pattern:DOUBLE_BOTTOM_neckline,2026-03-04,True,False,11.16,0.06999,257.0,271.0,263.0,1.0
FANG,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,8.44,177.25,pattern:DOUBLE_BOTTOM_neckline,2026-03-03,True,False,176.71,-0.003047,485.0,496.0,493.0,1.04
UUP,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,8.15,27.09,pattern:DOUBLE_BOTTOM_neckline,2026-03-04,True,False,27.41,0.011812,475.0,485.0,482.0,1.23
TTE,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,6.1,66.69,pattern:DOUBLE_BOTTOM_neckline,2026-03-04,True,False,76.92,0.153396,448.0,463.0,459.0,2.6
DEC,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,5.47,14.085,pattern:DOUBLE_BOTTOM_neckline,2026-03-04,True,False,14.57,0.034434,482.0,495.0,491.0,3.02
RCAT,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,4.73,13.83,pattern:DOUBLE_BOTTOM_neckline,2026-03-04,True,False,14.73,0.065076,482.0,497.0,492.0,3.52
WDS,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,3.46,18.82,pattern:DOUBLE_BOTTOM_neckline,2026-03-04,True,False,21.92,0.164718,479.0,489.0,486.0,4.36
FLNG,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,3.29,28.16,pattern:DOUBLE_BOTTOM_neckline,2026-03-04,True,False,29.47,0.04652,487.0,497.0,494.0,4.47
