ticker,is_2x,status,status_rank,pattern,pattern_score,break_level,break_level_src,breakout_date,vol_confirmed,hold_confirmed,last_close,breakout_strength,diag_db_l1,diag_db_l2,diag_db_peak,diag_db_diff_pct
390390.KS,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,6.79,41110.0,pattern:DOUBLE_BOTTOM_neckline,2026-02-26,True,False,40265.0,-0.020555,453.0,467.0,466.0,2.14
251340.KS,True,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,4.98,2415.0,pattern:DOUBLE_BOTTOM_neckline,2026-03-04,True,False,1996.0,-0.173499,457.0,475.0,462.0,3.35
051910.KS,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,3.41,369000.0,pattern:DOUBLE_BOTTOM_neckline,2026-02-27,True,False,320500.0,-0.131436,444.0,460.0,454.0,4.39
097950.KS,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,10.0,214000.0,pattern:DOUBLE_BOTTOM_neckline,2026-02-26,False,True,201500.0,-0.058411,431.0,450.0,447.0,0.0
004370.KS,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,9.81,419500.0,pattern:DOUBLE_BOTTOM_neckline,2026-02-27,False,False,403500.0,-0.038141,443.0,460.0,447.0,0.12
381180.KS,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,5.82,31485.0,pattern:DOUBLE_BOTTOM_neckline,2026-02-26,False,False,30575.0,-0.028903,453.0,467.0,466.0,2.79
122630.KS,True,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,3.59,80380.0,pattern:DOUBLE_BOTTOM_neckline,2026-03-11,False,False,87725.0,0.091378,450.0,462.0,460.0,4.28
267770.KS,True,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,3.11,60960.0,pattern:DOUBLE_BOTTOM_neckline,2026-03-11,False,False,67005.0,0.099163,450.0,462.0,460.0,4.59
005930.KS,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,0.3,169400.0,pattern:DOUBLE_BOTTOM_neckline,2026-03-11,False,False,192900.0,0.138725,452.0,464.0,462.0,6.46
042700.KS,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,0.0,224500.0,pattern:DOUBLE_BOTTOM_neckline,2026-03-11,False,False,318500.0,0.418708,456.0,473.0,468.0,16.31
