import time: self [us] | cumulative | imported package
import time:        65 |         65 |   _io
import time:        15 |         15 |   marshal
import time:        97 |         97 |   posix
import time:       293 |        469 | _frozen_importlib_external
import time:      1162 |       1162 |   time
import time:       171 |       1333 | zipimport
import time:        79 |         79 |     _codecs
import time:       863 |        942 |   codecs
import time:       806 |        806 |   encodings.aliases
import time:      3224 |       4971 | encodings
import time:       387 |        387 | encodings.utf_8
import time:        37 |         37 | _signal
import time:        17 |         17 |     _abc
import time:       332 |        348 |   abc
import time:       606 |        953 | io
import time:        19 |         19 |       _stat
import time:       476 |        495 |     stat
import time:       729 |        729 |     _collections_abc
import time:       312 |        312 |       genericpath
import time:       324 |        636 |     posixpath
import time:       583 |       2441 |   os
import time:       376 |        376 |   _sitebuiltins
import time:       957 |        957 |   _distutils_hack
import time:        27 |         27 |   sitecustomize
import time:        20 |         20 |   usercustomize
import time:      2297 |       6116 | site
import time:       712 |        712 | __future__
import time:       350 |        350 |       types
import time:       601 |        950 |     enum
import time:        27 |         27 |       _sre
import time:       299 |        299 |         sre_constants
import time:       421 |        720 |       sre_parse
import time:       701 |       1447 |     sre_compile
import time:        31 |         31 |         itertools
import time:       272 |        272 |         keyword
import time:        28 |         28 |           _operator
import time:       326 |        354 |         operator
import time:       282 |        282 |         reprlib
import time:        19 |         19 |         _collections
import time:       608 |       1564 |       collections
import time:        49 |         49 |       _functools
import time:       442 |       2054 |     functools
import time:        23 |         23 |     _locale
import time:       271 |        271 |     copyreg
import time:       468 |       5212 |   re
import time:       565 |        565 |   gettext
import time:       658 |       6434 | argparse
import time:      3583 |       3583 |   _hashlib
import time:       206 |        206 |   _blake2
import time:       344 |       4132 | hashlib
import time:       298 |        298 |   math
import time:       266 |        266 |   _datetime
import time:       570 |       1134 | datetime
import time:       264 |        264 |   fnmatch
import time:        24 |         24 |     _winapi
import time:        21 |         21 |     nt
import time:        19 |         19 |     nt
import time:        18 |         18 |     nt
import time:        17 |         17 |     nt
import time:       320 |        417 |   ntpath
import time:       362 |        362 |   warnings
import time:        20 |         20 |   errno
import time:      1270 |       1270 |     urllib
import time:       762 |        762 |     ipaddress
import time:       695 |       2726 |   urllib.parse
import time:       563 |       4350 | pathlib
import time:       200 |        200 |         numpy._utils._convertions
import time:       262 |        462 |       numpy._utils
import time:       786 |       1247 |     numpy._globals
import time:       270 |        270 |     numpy.exceptions
import time:       218 |        218 |     numpy.version
import time:        13 |         13 |       numpy._distributor_init_local
import time:       164 |        177 |     numpy._distributor_init
import time:       238 |        238 |               numpy._utils._inspect
import time:       328 |        328 |                 numpy.core._exceptions
import time:       199 |        199 |                 numpy.dtypes
import time:      4010 |       4535 |               numpy.core._multiarray_umath
import time:       241 |       5013 |             numpy.core.overrides
import time:       670 |       5682 |           numpy.core.multiarray
import time:       317 |        317 |           numpy.core.umath
import time:       403 |        403 |             numbers
import time:       155 |        155 |             numpy.core._string_helpers
import time:        31 |         31 |                   pickle5
import time:       364 |        364 |                       _struct
import time:       244 |        608 |                     struct
import time:       248 |        248 |                     _compat_pickle
import time:       372 |        372 |                     _pickle
import time:        55 |         55 |                         org
import time:         6 |         60 |                       org.python
import time:         6 |         66 |                     org.python.core
import time:       636 |       1928 |                   pickle
import time:       131 |       2089 |                 numpy.compat.py3k
import time:       267 |       2356 |               numpy.compat
import time:       320 |        320 |               numpy.core._dtype
import time:       167 |       2843 |             numpy.core._type_aliases
import time:       287 |       3686 |           numpy.core.numerictypes
import time:       461 |        461 |                   contextlib
import time:       319 |        319 |                     collections.abc
import time:       388 |        388 |                       _contextvars
import time:       250 |        638 |                     contextvars
import time:       199 |       1155 |                   numpy.core._ufunc_config
import time:       108 |       1723 |                 numpy.core._methods
import time:       530 |       2253 |               numpy.core.fromnumeric
