name,ticker,amount,qty,status,code,page_url,selection_mode,selected_date
한미반도체,042700.KS,419.0,158864.0,ok,042700,https://finance.naver.com/sise/sise_deal_rank_iframe.naver?sosok=01&investor_gubun=9000&type=buy,date_anchor,2026-04-30
TIGER MSCI Korea TR,310970.KS,3600.0,157438.0,ok,310970,https://finance.naver.com/sise/sise_deal_rank_iframe.naver?sosok=01&investor_gubun=9000&type=buy,date_anchor,2026-04-30
한화솔루션,009830.KS,2150.0,111930.0,ok,009830,https://finance.naver.com/sise/sise_deal_rank_iframe.naver?sosok=01&investor_gubun=9000&type=buy,date_anchor,2026-04-30
현대로템,064350.KS,288.0,78895.0,ok,064350,https://finance.naver.com/sise/sise_deal_rank_iframe.naver?sosok=01&investor_gubun=9000&type=buy,date_anchor,2026-04-30
한화비전,489790.KS,464.0,41667.0,ok,489790,https://finance.naver.com/sise/sise_deal_rank_iframe.naver?sosok=01&investor_gubun=9000&type=buy,date_anchor,2026-04-30
대한전선,001440.KS,578.0,36100.0,ok,001440,https://finance.naver.com/sise/sise_deal_rank_iframe.naver?sosok=01&investor_gubun=9000&type=buy,date_anchor,2026-04-30
한화오션,042660.KS,232.0,30561.0,ok,042660,https://finance.naver.com/sise/sise_deal_rank_iframe.naver?sosok=01&investor_gubun=9000&type=buy,date_anchor,2026-04-30
LG전자,066570.KS,190.0,29491.0,ok,066570,https://finance.naver.com/sise/sise_deal_rank_iframe.naver?sosok=01&investor_gubun=9000&type=buy,date_anchor,2026-04-30
이수페타시스,007660.KS,152.0,23153.0,ok,007660,https://finance.naver.com/sise/sise_deal_rank_iframe.naver?sosok=01&investor_gubun=9000&type=buy,date_anchor,2026-04-30
SK이노베이션,096770.KS,158.0,23086.0,ok,096770,https://finance.naver.com/sise/sise_deal_rank_iframe.naver?sosok=01&investor_gubun=9000&type=buy,date_anchor,2026-04-30
한화,000880.KS,140.0,18813.0,ok,000880,https://finance.naver.com/sise/sise_deal_rank_iframe.naver?sosok=01&investor_gubun=9000&type=buy,date_anchor,2026-04-30
LG이노텍,011070.KS,32.0,18610.0,ok,011070,https://finance.naver.com/sise/sise_deal_rank_iframe.naver?sosok=01&investor_gubun=9000&type=buy,date_anchor,2026-04-30
HD현대에너지솔루션,322000.KS,79.0,18518.0,ok,322000,https://finance.naver.com/sise/sise_deal_rank_iframe.naver?sosok=01&investor_gubun=9000&type=buy,date_anchor,2026-04-30
호텔신라,008770.KS,248.0,16193.0,ok,008770,https://finance.naver.com/sise/sise_deal_rank_iframe.naver?sosok=01&investor_gubun=9000&type=buy,date_anchor,2026-04-30
KB금융,105560.KS,90.0,14943.0,ok,105560,https://finance.naver.com/sise/sise_deal_rank_iframe.naver?sosok=01&investor_gubun=9000&type=buy,date_anchor,2026-04-30
삼성전기,009150.KS,16.0,14618.0,ok,009150,https://finance.naver.com/sise/sise_deal_rank_iframe.naver?sosok=01&investor_gubun=9000&type=buy,date_anchor,2026-04-30
KODEX 200선물인버스2X,252670.KS,2002.0,75470.0,ok,252670,https://finance.naver.com/sise/sise_deal_rank_iframe.naver?sosok=01&investor_gubun=9000&type=buy,date_anchor,2026-04-30
삼성E&A,028050.KS,212.0,11248.0,ok,028050,https://finance.naver.com/sise/sise_deal_rank_iframe.naver?sosok=01&investor_gubun=9000&type=buy,date_anchor,2026-04-30
HD건설기계,267270.KS,61.0,11237.0,ok,267270,https://finance.naver.com/sise/sise_deal_rank_iframe.naver?sosok=01&investor_gubun=9000&type=buy,date_anchor,2026-04-30
TIGER 미국S&P500,360750.KS,500.0,424.0,ok,360750,https://finance.naver.com/sise/sise_deal_rank_iframe.naver?sosok=01&investor_gubun=9000&type=buy,date_anchor,2026-04-30
삼성전자,005930.KS,2029.0,455321.0,ok,005930,https://finance.naver.com/sise/sise_deal_rank_iframe.naver?sosok=01&investor_gubun=9000&type=buy,date_anchor,2026-04-30
삼성SDI,006400.KS,201.0,141431.0,ok,006400,https://finance.naver.com/sise/sise_deal_rank_iframe.naver?sosok=01&investor_gubun=9000&type=buy,date_anchor,2026-04-30
LIG디펜스앤에어로스페이스,079550.KS,53.0,52120.0,ok,079550,https://finance.naver.com/sise/sise_deal_rank_iframe.naver?sosok=01&investor_gubun=9000&type=buy,date_anchor,2026-04-30
S-Oil,010950.KS,256.0,32663.0,ok,010950,https://finance.naver.com/sise/sise_deal_rank_iframe.naver?sosok=01&investor_gubun=9000&type=buy,date_anchor,2026-04-30
두산에너빌리티,034020.KS,238.0,30641.0,ok,034020,https://finance.naver.com/sise/sise_deal_rank_iframe.naver?sosok=01&investor_gubun=9000&type=buy,date_anchor,2026-04-30
하나금융지주,086790.KS,226.0,28866.0,ok,086790,https://finance.naver.com/sise/sise_deal_rank_iframe.naver?sosok=01&investor_gubun=9000&type=buy,date_anchor,2026-04-30
한화엔진,082740.KS,257.0,22300.0,ok,082740,https://finance.naver.com/sise/sise_deal_rank_iframe.naver?sosok=01&investor_gubun=9000&type=buy,date_anchor,2026-04-30
NC,036570.KS,75.0,21331.0,ok,036570,https://finance.naver.com/sise/sise_deal_rank_iframe.naver?sosok=01&investor_gubun=9000&type=buy,date_anchor,2026-04-30
SK,034730.KS,48.0,20547.0,ok,034730,https://finance.naver.com/sise/sise_deal_rank_iframe.naver?sosok=01&investor_gubun=9000&type=buy,date_anchor,2026-04-30
LG화학,051910.KS,47.0,18928.0,ok,051910,https://finance.naver.com/sise/sise_deal_rank_iframe.naver?sosok=01&investor_gubun=9000&type=buy,date_anchor,2026-04-30
