ticker,status,rows,sector,industry
122630.KS,ok,58,UNKNOWN,
233740.KS,ok,58,UNKNOWN,
252670.KS,ok,58,UNKNOWN,
251340.KS,ok,58,UNKNOWN,
000250.KQ,ok,58,UNKNOWN,
329180.KS,ok,58,Industrials,Aerospace & Defense
005930.KS,ok,58,Technology,Consumer Electronics
000660.KS,ok,58,Technology,Semiconductors
009150.KS,ok,58,Technology,Electronic Components
000990.KS,ok,58,Technology,Semiconductors
042700.KS,ok,58,Technology,Semiconductor Equipment & Materials
207940.KS,ok,58,Healthcare,Biotechnology
068270.KS,ok,58,Healthcare,Biotechnology
000100.KS,ok,58,Healthcare,Drug Manufacturers - Specialty & Generic
051910.KS,ok,58,Basic Materials,Chemicals
326030.KS,ok,58,Healthcare,Biotechnology
097950.KS,ok,58,Consumer Defensive,Packaged Foods
271560.KS,ok,58,Consumer Defensive,Confectioners
004370.KS,ok,58,Consumer Defensive,Packaged Foods
003230.KS,ok,58,Consumer Defensive,Packaged Foods
282330.KS,ok,58,Consumer Defensive,Grocery Stores
090430.KS,ok,58,Consumer Defensive,Household & Personal Products
051900.KS,ok,58,Consumer Defensive,Household & Personal Products
192820.KS,ok,58,Consumer Defensive,Household & Personal Products
161890.KS,ok,58,Consumer Defensive,Household & Personal Products
278470.KS,ok,58,Consumer Defensive,Household & Personal Products
267770.KS,ok,58,UNKNOWN,
233160.KS,ok,58,UNKNOWN,
409820.KS,ok,58,UNKNOWN,
488080.KS,ok,58,UNKNOWN,
494310.KS,ok,58,UNKNOWN,
091230.KS,ok,58,UNKNOWN,
396500.KS,ok,58,UNKNOWN,
469150.KS,ok,58,UNKNOWN,
395270.KS,ok,58,UNKNOWN,
475310.KS,ok,58,UNKNOWN,
091160.KS,ok,58,UNKNOWN,
395160.KS,ok,58,UNKNOWN,
471760.KS,ok,58,UNKNOWN,
471990.KS,ok,58,UNKNOWN,
381180.KS,ok,58,UNKNOWN,
390390.KS,ok,58,UNKNOWN,
