ticker,status,rows
042700.KS,ok,59
310970.KS,too_short,1
009830.KS,ok,59
064350.KS,ok,59
489790.KS,ok,59
001440.KS,ok,59
042660.KS,ok,59
066570.KS,ok,59
007660.KS,ok,59
096770.KS,ok,59
000880.KS,ok,59
011070.KS,ok,59
322000.KS,ok,59
008770.KS,ok,59
105560.KS,ok,59
009150.KS,ok,59
252670.KS,ok,59
028050.KS,ok,59
267270.KS,ok,59
360750.KS,ok,59
005930.KS,ok,59
006400.KS,ok,59
079550.KS,ok,59
010950.KS,ok,59
034020.KS,ok,59
086790.KS,ok,59
082740.KS,ok,59
036570.KS,ok,59
034730.KS,ok,59
051910.KS,ok,59
122630.KS,ok,59
233740.KS,ok,59
251340.KS,ok,59
000660.KS,ok,59
005935.KS,ok,59
039030.KQ,ok,59
058470.KQ,ok,59
089030.KQ,ok,59
222800.KQ,ok,59
240810.KQ,ok,59
403870.KQ,ok,59
277810.KQ,ok,59
455900.KQ,ok,59
058610.KQ,ok,59
117730.KQ,ok,59
005380.KS,ok,59
000270.KS,ok,59
091160.KS,ok,59
091230.KS,ok,59
396500.KS,ok,59
488080.KS,ok,59
494310.KS,ok,59
469150.KS,ok,59
395270.KS,ok,59
395160.KS,ok,59
471990.KS,ok,59
471760.KS,ok,59
390390.KS,ok,59
381180.KS,ok,59
012450.KS,ok,59
329180.KS,ok,59
010140.KS,ok,59
267260.KS,ok,59
047810.KS,ok,59
015760.KS,ok,59
278470.KS,ok,59
090430.KS,ok,59
192820.KS,ok,59
161890.KS,ok,59
051900.KS,ok,59
003230.KS,ok,59
097950.KS,ok,59
271560.KS,ok,59
282330.KS,ok,59
207940.KS,ok,59
068270.KS,ok,59
000100.KS,ok,59
326030.KS,ok,59
196170.KQ,ok,59
000250.KQ,ok,59
214150.KQ,ok,59
145720.KS,ok,59
035420.KS,ok,59
055550.KS,ok,59
003670.KS,ok,59
086520.KQ,ok,59
247540.KQ,ok,59
011170.KS,ok,59
010060.KS,ok,59
112610.KS,ok,59
297090.KQ,ok,59
307950.KS,ok,59
204320.KS,ok,59
305720.KS,ok,59
305540.KS,ok,59
445290.KS,ok,59
132030.KS,ok,59
411060.KS,ok,59
006800.KS,ok,59
016360.KS,ok,59
005940.KS,ok,59
071050.KS,ok,59
316140.KS,ok,59
024110.KS,ok,59
000810.KS,ok,59
003550.KS,ok,59
028260.KS,ok,59
000720.KS,ok,59
006360.KS,ok,59
047040.KS,ok,59
298040.KS,ok,59
357780.KS,ok,58
060280.KQ,ok,59
003490.KS,ok,59
020560.KS,ok,59
272450.KS,ok,59
089590.KS,ok,59
298690.KS,ok,59
091810.KS,ok,59
039130.KQ,ok,58
080160.KQ,ok,59
094850.KQ,ok,59
114090.KS,ok,59
034230.KQ,no_data_or_no_close,0
069960.KS,ok,59
023530.KS,ok,59
004170.KS,ok,59
383220.KS,ok,59
259960.KS,ok,59
241560.KQ,ok,58
005385.KS,ok,59
373220.KS,ok,59
353200.KQ,ok,58
195870.KS,ok,59
005387.KS,ok,59
005389.KS,ok,59
051915.KS,ok,59
006405.KS,ok,59
078935.KS,ok,59
003555.KS,ok,59
005945.KS,ok,59
071055.KS,ok,59
000815.KS,ok,59
010955.KS,ok,59
000885.KS,no_data_or_no_close,0
001045.KS,ok,59
087010.KS,ok,58
036010.KQ,ok,59
0167A0.KS,ok,34
005290.KQ,ok,59
377300.KS,ok,59
353200.KS,ok,59
119850.KQ,ok,59
425040.KQ,ok,59
417500.KQ,ok,59
003160.KS,ok,59
