ticker,change,perf_week,perf_month,status,name,bucket
069500.KS,4.999749762274153,7.040816326530619,34.16037856503389,ok,KODEX 200,broad
102110.KS,4.921476442932882,7.0033154807447096,34.001916320664314,ok,TIGER 200,broad
122630.KS,9.961022087483752,15.183958626321292,78.56389338209438,ok,KODEX Leverage,broad
252670.KS,-9.467455621301779,-13.559322033898303,-47.05882352941176,ok,KODEX 200 Inverse 2X,broad
229200.KQ,,,,no_data,KODEX KOSDAQ150,broad
233740.KS,3.1597953656334665,-1.0392609699769073,23.353724361281024,ok,KODEX KOSDAQ150 Leverage,broad
251340.KS,-1.7526289434151243,0.20429009193054792,-11.22171945701358,ok,KODEX KOSDAQ150 Futures Inverse,broad
091160.KS,4.767864352038753,8.495338433881017,44.00421730203652,ok,KODEX Semiconductor,semiconductor
091230.KS,4.6891871047354705,7.8371400198609775,43.37470293108001,ok,TIGER Semiconductor,semiconductor
396500.KS,4.312601271344874,9.498887871254746,41.34436750548893,ok,TIGER Semiconductor TOP10,semiconductor
488080.KS,8.80571909167367,20.422600763287726,95.06936067551266,ok,TIGER Semiconductor TOP10 Leverage,semiconductor
494310.KS,9.583519928347517,17.681949342738058,102.41727941176472,ok,KODEX Semiconductor Leverage,semiconductor
469150.KS,4.982935153583612,11.449275362318833,47.38859607091519,ok,ACE AI Semiconductor TOP3+,semiconductor
395270.KS,6.281925877621997,10.409845320085797,56.31393861892584,ok,HANARO K-Semiconductor,semiconductor
395160.KS,4.1254125412541365,7.1638104060521846,39.939516129032256,ok,KODEX AI Semiconductor,semiconductor
471990.KS,2.1663504111322007,8.29701642641636,40.45652173913044,ok,KODEX AI Semiconductor Core Equipment,semiconductor
381180.KS,3.6096088542321825,3.1426067359459076,36.752988047808756,ok,TIGER US Philadelphia Semiconductor Nasdaq,global_semiconductor
266370.KS,5.375083724045537,9.634146341463424,51.183183183183175,ok,KODEX IT,it
091170.KS,-0.8522727272727293,-1.7209011264080143,7.164790174002045,ok,KODEX Banks,banks
471460.KS,0.19264110961279002,-2.438566873006942,-1.570779712339132,ok,KODEX K-Defense Industry,defense
139230.KS,1.5242378810594648,3.1218274111675104,38.621630842715795,ok,TIGER 200 Heavy Industries,shipbuilding_industrials
139220.KS,-1.3111447302067591,-3.6435253569670145,29.602649006622507,ok,TIGER 200 Construction,construction
305720.KS,3.4032634032634013,5.568776772965256,31.048744460856724,ok,KODEX 2차전지산업,battery
364980.KS,3.502501786990697,7.8584729981378,36.346516007532955,ok,TIGER 2차전지TOP10,battery
364970.KS,0.37712130735385596,-3.737191078963231,-0.187499999999996,ok,TIGER BioTOP10,bio
266420.KS,0.37878787878788955,-3.5047792444242165,0.0,ok,KODEX Healthcare,healthcare
117680.KS,2.3008340523439808,5.174452986398581,24.89466292134832,ok,KODEX EnergyChemicals,energy_materials
005930.KS,4.53514739229024,5.011389521640086,29.20403587443947,ok,Samsung Electronics,bellwether
000660.KS,11.819595645412129,17.675941080196388,73.25301204819277,ok,SK hynix,bellwether
012450.KS,2.8934368383909614,-0.34176349965823194,2.8934368383909614,ok,Hanwha Aerospace,bellwether
042660.KS,0.6069802731411222,-1.7049666419570064,11.14836546521374,ok,Hanwha Ocean,bellwether
034020.KS,-0.07867820613689513,-0.07867820613689513,35.68376068376069,ok,Doosan Enerbility,bellwether
329180.KS,-1.3138686131386912,0.7451564828613977,53.98633257403189,ok,HD Hyundai Heavy Industries,bellwether
035420.KS,-1.1848341232227444,-2.5700934579439227,6.486210418794691,ok,NAVER,bellwether
015760.KS,2.296211251435132,-3.57142857142857,8.000000000000007,ok,KEPCO,bellwether
