ticker,status,last_close,sma50,sma200,avgvol50,last_vol,relvol_proxy,reasons,market_cap
000100.KS,fail,100850.0,108589.0,112942.25,393193.06,86762.0,0.22066004928978147,"relvol<min,below_sma50,below_sma200",
000250.KQ,fail,793000.0,455660.0,259646.0,374679.78,84665.0,0.22596629046808983,relvol<min,
000660.KS,fail,979000.0,822900.0,478496.5,4632649.82,1957247.0,0.4224897361225546,relvol<min,
000990.KS,fail,87300.0,87916.0,60960.0,491994.5,108730.0,0.22099840546997984,"relvol<min,below_sma50",
003230.KS,fail,1166000.0,1180080.0,1313420.0,65181.34,46972.0,0.7206356911349169,"avgvol50<min,relvol<min,below_sma50,below_sma200",
004370.KS,fail,403500.0,420540.0,420605.0,31962.52,12559.0,0.39292896805383304,"avgvol50<min,relvol<min,below_sma50,below_sma200",
005930.KS,fail,192900.0,160672.0,99354.75,32220645.58,11924480.0,0.37008817748213474,relvol<min,
009150.KS,fail,419500.0,318300.0,214346.0,774726.48,355479.0,0.45884452019763156,relvol<min,
042700.KS,fail,319000.0,202156.0,127887.5,2435910.08,552226.0,0.22670212851206722,relvol<min,
051900.KS,fail,251500.0,263820.0,292690.0,97995.86,28388.0,0.2896857071308931,"avgvol50<min,relvol<min,below_sma50,below_sma200",
051910.KS,fail,320500.0,333200.0,305376.5,403229.7,116765.0,0.28957440386955624,"relvol<min,below_sma50",
068270.KS,fail,212500.0,215080.0,183310.19234375,839573.28,185755.0,0.221249299406003,"relvol<min,below_sma50",
090430.KS,fail,134000.0,135032.0,129077.0,332430.94,99229.0,0.29849507991043195,"relvol<min,below_sma50",
091160.KS,fail,100815.0,81084.2,53146.15,4271518.96,2654206.0,0.6213728710687966,relvol<min,
091230.KS,fail,105680.0,85136.9,55615.7,594058.16,229466.0,0.38626857680062837,relvol<min,
097950.KS,fail,201500.0,211892.0,228708.0,73935.86,31118.0,0.42087831263476205,"avgvol50<min,relvol<min,below_sma50,below_sma200",
122630.KS,fail,87680.0,72499.3,40567.15,22957467.26,10589083.0,0.4612478754766609,relvol<min,
161890.KS,fail,71000.0,67654.0,77715.0,214783.62,76300.0,0.35524124232564847,"relvol<min,below_sma200",
192820.KS,fail,174900.0,184474.0,206768.5,88578.16,19234.0,0.21714156175743546,"avgvol50<min,relvol<min,below_sma50,below_sma200",
207940.KS,fail,1675000.0,1751880.0,1672233.585625,59654.58,21750.0,0.3645989964224038,"avgvol50<min,relvol<min,below_sma50",
233160.KS,fail,19780.0,17173.7,12355.8,2206974.06,1193289.0,0.540690088582192,relvol<min,
233740.KS,fail,17745.0,15444.9,11029.45,63982958.32,33801166.0,0.528283888202686,relvol<min,
251340.KS,fail,1997.0,2473.22,3121.505,56413134.74,49445375.0,0.8764869250376991,"relvol<min,below_sma50,below_sma200",
252670.KS,fail,259.0,407.2,988.715,2757289813.56,2242853778.0,0.8134269263136327,"price<min,relvol<min,below_sma50,below_sma200",
267770.KS,PASS,66935.0,55139.9,30966.225,677636.34,795472.0,1.1738921793952197,,
271560.KS,fail,132200.0,119266.0,111034.5,150704.56,28732.0,0.19065116543255228,"avgvol50<min,relvol<min",
278470.KS,fail,328500.0,264620.0,216544.0,555456.26,275161.0,0.49537833996145797,relvol<min,
282330.KS,fail,122000.0,118316.0,113848.0,62469.4,12883.0,0.20622896970356686,"avgvol50<min,relvol<min",
326030.KS,fail,100700.0,116374.0,109116.0,235311.46,84392.0,0.3586395664707533,"relvol<min,below_sma50,below_sma200",
329180.KS,fail,601000.0,575360.0,507962.5,266028.8,143339.0,0.5388100837202588,relvol<min,
381180.KS,fail,30585.0,29903.2,24334.375,1881848.1,647805.0,0.3442387300016404,relvol<min,
390390.KS,fail,40280.0,39262.6,31988.625,765023.66,234130.0,0.30604282225728807,relvol<min,
395160.KS,fail,27810.0,22943.5,15155.95,5582060.0,2686961.0,0.4813565242938987,relvol<min,
395270.KS,fail,34420.0,27651.4,17579.575,5573920.32,1245561.0,0.22346229018214597,relvol<min,
396500.KS,fail,33835.0,27067.9,17251.275,23558170.26,10081164.0,0.42792644287477016,relvol<min,
409820.KS,fail,15115.0,15550.0,14591.725,176998.04,50000.0,0.28248900383303677,"avgvol50<min,relvol<min,below_sma50",
469150.KS,fail,47470.0,36524.1,23119.05,1409225.74,784020.0,0.5563480553513024,relvol<min,
471760.KS,fail,19755.0,15373.1,11269.325,1649811.1,969776.0,0.5878103256791035,relvol<min,
471990.KS,fail,25450.0,19481.2,13824.2,1611937.94,1294643.0,0.8031593325484975,relvol<min,
475310.KS,fail,30070.0,22998.9,16025.45,297604.94,248307.0,0.8343510695756596,relvol<min,
488080.KS,fail,44640.0,31493.2,14980.325,6012124.48,3669370.0,0.6103283476924949,relvol<min,
494310.KS,fail,70550.0,50578.3,25073.475,4489442.16,3090996.0,0.6885033573970802,relvol<min,
