ticker,premarket,source
-3X,,auto
1X,,auto
2X,,auto
3X,,auto
AA,73.91,auto
AAL,11.4,auto
AAPL,261.62,auto
ABB,,auto
ABBV,211.62,auto
ABNB,127.0,auto
ABT,101.7,auto
ACM,84.32,auto
ADM,70.32,auto
ADP,192.91,auto
AEM,217.55,auto
AEROSPACE,,auto
AES,14.41,auto
AFL,111.41,auto
AG,20.78,auto
AGIG,1.08,auto
AGMH,0.94,auto
AGQ,122.35,auto
AI,8.58,auto
AIBD,8.69,auto
AIBU,40.89,auto
ALB,177.69,auto
ALK,39.99,auto
ALOT,11.43,auto
AMAT,402.28,auto
AMCI,6.24,auto
AMCR,42.04,auto
AMD,245.8,auto
AME,233.63,auto
AMKR,57.31,auto
AMZN,238.67,auto
ANET,146.96,auto
AOS,67.22,auto
APA,38.69,auto
APD,298.17,auto
APH,139.33,auto
APO,106.07,auto
AR,37.46,auto
ARRY,7.26,auto
ASML,1484.01,auto
ASTS,96.5,auto
ATO,191.46,auto
AUR,4.03,auto
AUTO-SKIP,,auto
AUTONOMOUS,,auto
AUX,,auto
AVGO,375.33,manual
AXIA,12.99,auto
BA,218.56,auto
BAC,52.47,auto
BATL,3.31,auto
BATT,15.97,auto
BBH,,auto
BDH,,auto
BDX,155.89,auto
BE,165.73,auto
BEAR,,auto
BEN,25.31,auto
BENCHMARK,,auto
BEP,34.53,auto
BEPC,42.59,auto
BERZ,53.03,auto
BESS,2.92,auto
BF.B,,auto
BGIN,3.19,auto
BHH,,auto
BIG,,auto
BIOTECH,,auto
BIX,,auto
BKNG,175.35,auto
BNO,47.83,auto
BNRG,0.59,auto
BOEU,36.5,auto
BOIL,13.57,auto
BRAI,19.76,auto
BRENT,,auto
BRK-B,484.27,auto
BRO,65.92,auto
BSX,61.7,auto
BTCT,1.13,auto
BULL,5.0,auto
BULZ,22.22,auto
BWXT,231.37,auto
BX,115.65,auto
BZ=F,,auto
CAH,214.47,auto
CAN,0.45,auto
CAT,791.93,auto
CB,328.52,auto
CCJ,118.31,auto
CCL,27.91,auto
CEG,287.08,auto
CENX,67.72,auto
CF,120.18,auto
CHD,96.42,auto
CHPT,5.15,auto
CHRD,133.39,auto
CHRW,168.55,auto
CINF,163.39,auto
CL,85.31,auto
CL=F,,auto
CLEAN,,auto
CLX,107.87,auto
CME,298.35,auto
CMG,34.19,auto
CNQ,46.21,auto
CNR,91.04,auto
COIN,164.37,auto
COM,33.03,auto
CONSUMER,,auto
COP,122.62,auto
COPX,83.63,auto
COST,1009.67,auto
CRAK,,auto
CRCT,4.3,auto
CREG,0.91,auto
CRSR,5.73,auto
CRUDE,,auto
CSTM,29.82,auto
CTAS,174.52,auto
CURE,94.95,auto
CVE,25.91,auto
CVX,188.22,auto
CWEN,41.1,auto
CWEN-A,40.93,auto
CWX,,auto
CZR,26.38,auto
DAILY,,auto
DAL,68.54,auto
DATA,,auto
DBC,28.58,auto
DD,47.56,auto
DDD,1.95,auto
DE,617.17,auto
DEC,16.57,auto
DEFENSE,,auto
DELL,179.54,auto
DFEN,71.76,auto
DHR,192.25,auto
DIG,57.33,auto
DIREXION,,auto
DISCRETIONARY,,auto
DOV,218.43,auto
DPRO,5.21,auto
DRIP,4.85,auto
DRLL,36.19,auto
DRN,9.86,auto
DRV,,auto
DUSL,87.69,auto
DUST,42.73,auto
DVN,47.42,auto
EBON,1.9,auto
ECL,273.89,auto
ED,114.81,auto
ELECTRIC,,auto
ELLO,24.9,auto
EME,803.98,auto
EMR,145.28,auto
ENERGY,,auto
ENERSYS,,auto
ENLT,75.29,auto
ENPH,31.42,auto
ENVX,5.93,auto
EOG,135.66,auto
EPD,37.63,auto
EQNR,38.74,auto
EQT,58.8,auto
ERIE,260.14,auto
ERO,31.42,auto
ERX,88.64,auto
ERY,11.85,auto
ES,70.72,auto
ES=F,,auto
ESS,252.64,auto
ET,19.22,auto
ETN,404.47,auto
EVAV,,auto
EXPD,145.84,auto
EXPE,227.33,auto
F,12.25,auto
FABRINET,,auto
FANG,187.55,auto
FAS,129.45,auto
FAST,49.52,auto
FAZ,46.15,auto
FBF,,auto
FCX,67.84,auto
FDS,215.01,auto
FLEX,76.145,manual
FLNC,14.37,auto
FLNG,28.98,auto
FLR,49.1,auto
FNGD,59.11,auto
FNGU,19.48,auto
FNV,260.23,auto
FPP,,auto
FRT,108.54,auto
FSLR,199.35,auto
GAS,,auto
GASOLINE,,auto
GAX,,auto
GC=F,,auto
GD,336.76,auto
GDX,99.28,auto
GDXJ,128.78,auto
GE,310.98,auto
GEV,992.17,manual
GIP,,auto
GLD,438.69,auto
GLDM,94.51,auto
GLL,19.31,auto
GLNG,52.72,auto
GLOBAL,,auto
GLW,170.91,auto
GM,77.04,auto
GOLD,,auto
GOOGL,319.44,auto
GPC,108.91,auto
GRANITESHARES,,auto
GS,900.57,auto
GSAT,75.72,auto
GSG,31.19,auto
GSM,,auto
GTE,7.52,auto
GUSH,37.11,auto
GWW,1172.19,auto
HAFN,8.05,auto
HAL,37.68,auto
HBM,24.15,auto
HCX,,auto
HD,339.37,auto
HEALTHCARE,,auto
HHH,63.67,auto
HII,397.66,auto
HIMS,19.27,auto
HL,19.47,auto
HLT,323.3,auto
HOOD,69.1,auto
HPQ,18.75,auto
HRL,21.11,auto
HSY,207.27,auto
HTOO,2.81,auto
HUBB,543.08,manual
HWM,252.9,auto
IAH,,auto
IAU,89.88,auto
IBM,235.18,auto
IDU,,auto
IDYA,30.75,auto
IE,13.9,auto
IF,,auto
IH,,auto
INACTIVE,,auto
INDUSTRIALS,,auto
INGM,,auto
IONQ,28.83,auto
IOT,25.72,auto
IR,86.82,auto
IRDM,34.4,auto
ISRG,451.56,auto
ITW,273.94,auto
IUX,,auto
IXF,,auto
IYD,,auto
IYE,,auto
IYG,,auto
IYH,,auto
IYM,,auto
IYR,,auto
IYV,,auto
IYW,,auto
IYZ,,auto
JBL,301.05,manual
JBLU,4.89,auto
JCI,142.41,auto
JNJ,239.72,auto
JNUG,228.3,auto
JPM,308.62,auto
KALU,143.8,auto
KKR,91.39,auto
KLAC,1748.49,auto
KLNE,,auto
KMB,98.54,auto
KMI,32.65,auto
KO,78.12,auto
KOLD,25.36,auto
KOS,2.52,auto
KTB,71.86,auto
KTCC,2.7,auto
KVUE,17.53,auto
LAAC,,auto
LABD,15.4,auto
LABU,175.27,auto
LEU,187.24,auto
LIN,503.27,auto
LIT,78.26,manual
LLY,945.0,auto
LMT,619.04,auto
LMTL,45.32,auto
LNG,264.24,auto
LOGI,93.27,auto
LONG,,auto
LOW,247.52,auto
LRCX,262.52,auto
LTHM,,auto
LULU,164.4,auto
LUNR,23.96,auto
LUV,40.15,auto
LVS,54.45,auto
LWLG,9.76,auto
LYB,73.18,auto
LYFT,13.37,auto
MA,502.02,auto
MAR,354.35,auto
MAY,,auto
MBLY,7.26,auto
MCD,307.61,auto
MCRP,2.46,auto
MDLZ,59.28,auto
MDT,87.95,auto
MEDICAL,,auto
META,632.39,auto
MGM,36.66,auto
MICROSECTORS,,auto
MKC,53.16,auto
MP,56.75,auto
MPC,219.71,auto
MRO,,auto
MRVL,126.734,manual
MS,175.66,auto
MSFT,373.7,auto
MSTR,129.48,auto
MTZ,361.3,auto
MU,418.42,auto
NASDAQ,22941.98,auto
NCLH,19.97,auto
NDSN,276.1,auto
NEE,94.71,auto
NEM,121.12,auto
NG=F,,auto
NKE,43.04,auto
NNDM,1.72,auto
NO,,auto
NOC,678.11,auto
NPT,,auto
NQ=F,,auto
NRG,164.6,auto
NRGV,3.35,auto
NUE,186.24,auto
