# saved_at_kr,2026-05-06 07:56:04 KST
# mode,last price (regular/extended)
# provider,yahoo(yfinance)
# group: finviz_manual
ticker,premarket
APA,41.48
CNQ,47.97
COP,122.96
EQNR,41.35
FANG,206.12
LNG,269.99
TTE,93.3
VG,12.92
CRAK,
MPC,260.43
VLO,250.0
PSX,179.03
USO,139.98
BNO,58.04
UCO,47.38
BATL,3.12
RCAT,10.42
TGT,128.4
ZD,45.82
NPT,
KTB,70.68
SEM,
SRRK,47.5
LWLG,16.4
TDW,84.83
GTE,9.87
IDYA,28.03
ASTS,63.7
CNR,88.91
DEC,16.31
INGM,
CF,127.7
CHRD,149.4
WDS,23.47
FLNG,33.13
SU,69.81
CVX,192.54
EOG,140.0
HAFN,9.5
KOS,3.12
FBF,
PARR,59.5
IYE,
XLE,59.21
XOP,180.06
FCX,57.8
GLNG,57.09
IOT,30.3
MRVL,171.43
PBR,21.84
PAA,
NVDA,197.11
AVGO,433.2
AMD,408.49
TSM,398.18
ASML,1452.97
MU,682.81
ANET,150.0
VRT,347.38
SMCI,33.0
AMAT,413.69
KLAC,1745.0
LRCX,278.1
TER,361.03
VST,161.3
CEG,321.45
NRG,159.6
GEV,1101.17
ETN,410.77
PWR,772.6
EME,935.55
HWM,242.99
PH,875.0
ROK,441.95
ABB,
IR,75.9
DE,576.0
CAT,906.65
SYM,58.29
RTX,172.41
LMT,508.88
NOC,557.0
GE,285.1
URI,937.3
LLY,986.0
ABBV,206.09
ISRG,451.11
BSX,56.1
VRTX,422.85
TMO,465.0
DHR,174.66
HIMS,26.32
COST,1014.25
WMT,130.6
PG,144.67
PM,168.0
KO,78.45
MDLZ,60.7
COIN,196.01
HOOD,77.02
MSTR,181.4
CME,289.89
QETH,23.63
LIN,499.89
APD,304.2
ECL,259.67
SHW,312.76
LYB,77.97
DD,49.5
NUE,233.93
FSLR,219.6
NXT,125.4
ENPH,35.97
AES,14.4
NEE,96.11
TSLA,388.08
UBER,73.28
LYFT,14.17
GM,76.03
MBLY,8.83
AUR,6.6
ON,103.7
NXPI,290.4
ARRY,8.14
LUNR,24.54
RDW,8.63
PL,36.6
SPIR,16.35
SATL,6.93
GSAT,82.0
VSAT,65.94
VIASAT,
BA,225.14
GLD,420.0
IAU,85.77
GLDM,90.53
SLV,66.38
SIVR,69.54
AAPL,283.14
MSFT,410.0
GOOGL,394.67
META,604.01
AMZN,272.5
BRK-B,465.7
JPM,309.41
V,322.93
MA,498.43
QCOM,190.65
TXN,277.33
RIVN,14.6
F,11.7
CHPT,6.43
BE,298.53
QS,7.21
SLDP,3.18
ENVX,6.85
ALB,195.52
SQM,92.64
LTHM,
GS,920.0
MS,188.59
BAC,53.22
WFC,79.84
SCHW,92.33
KKR,102.05
BX,123.0
APO,130.32
FLR,53.41
MTZ,440.5
ACM,85.0
IRDM,39.07
DAL,71.12
UAL,93.93
AAL,12.4
LUV,39.84
ALK,38.45
JBLU,4.86
ULCC,4.37
CCL,25.76
RCL,266.0
NCLH,17.03
VIK,81.71
BKNG,167.42
EXPE,248.0
ABNB,138.0
MAR,354.52
HLT,314.95
MGM,37.75
LVS,52.72
WYNN,106.24
CZR,28.13
HD,316.82
LOW,227.46
TJX,154.7
ROST,227.3
ULTA,532.32
NKE,43.02
LULU,130.17
CMG,32.33
MCD,286.74
SBUX,104.5
AMKR,77.44
JBL,343.05
FLEX,111.01
SANM,239.5
APH,137.34
TEL,207.0
GLW,163.91
SQ,
PYPL,46.36
UNG,10.68
BOIL,13.07
KOLD,25.82
# group: macro_watch_yahoo
ticker,premarket
CL=F,
WTI,
CRUDE,
OIL,
BZ=F,
BRENT,
RB=F,
GASOLINE,
RBOB,
NG=F,
GAS,
ES=F,
NQ=F,
NASDAQ,25326.12
^VIX,
VIX,
^TNX,4.42
GC=F,
GOLD,
# group: tickers_core
ticker,premarket
AEM,178.22
AUX,
BBH,
BDH,
BHH,
BIX,
BOIL,13.07
CCJ,115.5
CVE,30.99
CWX,
DIG,62.13
ERX,95.0
FCX,57.8
FPP,
GAX,
GIP,
GSM,
GUSH,42.67
HAL,41.66
HCX,
HHH,63.5
IAH,
IDU,
IH,
IUX,
IXF,
IYD,
IYE,
IYG,
IYH,
IYM,
IYR,
IYV,
IYW,
IYZ,
LNG,269.99
MPC,260.43
OIH,438.98
PPH,102.15
PSX,179.03
RLX,
RMS,
SP,
SCCO,170.65
SHEL,89.9
SLB,56.0
SMH,534.48
SOURCE,
TRX,1.12
TTH,
UCO,47.38
UTH,
UYM,
XLB,51.78
XLE,59.21
XLK,167.39
XLU,46.55
XOP,180.06
NVDA,197.11
AVGO,433.2
AMD,408.49
TSM,398.18
ASML,1452.97
MU,682.81
ANET,150.0
VRT,347.38
SMCI,33.0
MRVL,171.43
AMAT,413.69
KLAC,1745.0
LRCX,278.1
TER,361.03
QCOM,190.65
TXN,277.33
MSFT,410.0
GOOGL,394.67
META,604.01
AMZN,272.5
BRK-B,465.7
JPM,309.41
V,322.93
MA,498.43
COST,1014.25
WMT,130.6
VST,161.3
CEG,321.45
NRG,159.6
GEV,1101.17
ETN,410.77
PWR,772.6
HWM,242.99
PH,875.0
EME,935.55
CAT,906.65
DE,576.0
RTX,172.41
LMT,508.88
NOC,557.0
GE,285.1
ABB,
URI,937.3
ROK,441.95
IR,75.9
LLY,986.0
ABBV,206.09
JNJ,225.06
ISRG,451.11
ABT,87.25
BSX,56.1
SYK,296.0
TMO,465.0
DHR,174.66
VRTX,422.85
PG,144.67
KO,78.45
PM,168.0
PEP,154.64
CL,86.34
MDLZ,60.7
XOM,154.5
CVX,192.54
COP,122.96
LIN,499.89
NUE,233.93
COIN,196.01
HOOD,77.02
MSTR,181.4
CME,289.89
APD,304.2
ECL,259.67
SHW,312.76
LYB,77.97
DD,49.5
FSLR,219.6
NXT,125.4
ENPH,35.97
AES,14.4
NEE,96.11
SYM,58.29
TSLA,388.08
UBER,73.28
LYFT,14.17
GM,76.03
MBLY,8.83
AUR,6.6
ON,103.7
NXPI,290.4
ARRY,8.14
ASTS,63.7
LUNR,24.54
RDW,8.63
PL,36.6
SPIR,16.35
SATL,6.93
GSAT,82.0
VSAT,65.94
VIASAT,
BA,225.14
GLD,420.0
IAU,85.77
GLDM,90.53
SLV,66.38
SIVR,69.54
AAPL,283.14
RIVN,14.6
F,11.7
CHPT,6.43
BE,298.53
QS,7.21
SLDP,3.18
ENVX,6.85
ALB,195.52
SQM,92.64
LTHM,
GS,920.0
MS,188.59
BAC,53.22
WFC,79.84
SCHW,92.33
KKR,102.05
BX,123.0
APO,130.32
FLR,53.41
MTZ,440.5
ACM,85.0
IRDM,39.07
DAL,71.12
UAL,93.93
AAL,12.4
LUV,39.84
ALK,38.45
JBLU,4.86
ULCC,4.37
CCL,25.76
RCL,266.0
NCLH,17.03
VIK,81.71
BKNG,167.42
EXPE,248.0
ABNB,138.0
MAR,354.52
HLT,314.95
MGM,37.75
LVS,52.72
WYNN,106.24
CZR,28.13
HD,316.82
LOW,227.46
TJX,154.7
ROST,227.3
ULTA,532.32
NKE,43.02
LULU,130.17
CMG,32.33
MCD,286.74
SBUX,104.5
AMKR,77.44
JBL,343.05
FLEX,111.01
SANM,239.5
APH,137.34
TEL,207.0
GLW,163.91
QETH,23.63
SQ,
PYPL,46.36
UGL,57.84
AGQ,110.52
PALL,134.39
NUGT,161.59
JNUG,174.0
DBC,31.15
PDBC,18.58
GSG,34.46
COM,34.0
COPX,78.2
DRLL,38.23
PPLT,178.05
RIO,100.39
RKLB,78.62
HUBB,509.3
EMR,136.51
AME,234.8
DOV,223.47
JCI,146.02
LIT,88.5
BATT,16.97
MP,67.93
PLL,
LAAC,
GDX,85.93
GDXJ,113.16
NEM,109.01
GOLD,
FNV,225.75
WPM,125.79
PAAS,50.7
HL,16.8
AG,19.2
SIL,86.5
SILJ,28.6
OXY,58.71
EOG,140.0
FANG,206.12
DVN,50.05
APA,41.48
MRO,
EQT,58.67
AR,39.13
RRC,42.81
CNQ,47.97
SU,69.81
KMI,32.17
WMB,75.93
TRGP,259.72
ET,20.4
EPD,38.55
PAA,
VLO,250.0
PBF,46.4
HII,326.0
BWXT,207.8
OKLO,67.99
SMR,11.77
LEU,204.0
MMM,141.5
AOS,58.75
ACN,178.98
ADBE,253.69
AFL,114.46
A,117.54
AKAM,118.14
ARE,43.99
ALGN,171.5
ALLE,134.87
LNT,73.07
ALL,218.29
GOOG,390.6
MO,72.68
AMCR,37.8
AEE,110.5
AEP,137.84
AXP,316.13
AIG,78.47
AMT,178.4
AWK,126.25
AMP,474.66
AMGN,329.94
ADI,403.01
AON,314.55
APP,481.3
APTV,55.0
ACGL,94.14
ADM,79.07
ARES,122.28
AJG,203.84
AIZ,237.98
T,25.92
ATO,184.24
ADSK,249.53
ADP,210.01
AZO,3521.0
AVB,185.25
AVY,162.3
AXON,380.55
BKR,67.78
BALL,58.22
BAX,16.89
BDX,143.2
BBY,57.5
TECH,55.42
BIIB,188.76
BLK,1049.95
XYZ,71.38
BK,132.3
BMY,56.97
BR,152.11
BRO,58.03
BF-B,26.26
BLDR,74.7
BG,131.0
BXP,58.05
CHRW,168.54
CDNS,352.81
CPT,104.73
CPB,20.9
COF,189.7
CAH,198.1
CARR,64.54
CVNA,380.87
CASY,863.42
CBOE,344.64
CBRE,143.8
CDW,138.5
COR,307.0
CNC,52.9
CNP,43.0
CF,127.7
CRL,185.42
CHTR,158.65
CB,323.0
CHD,92.47
CIEN,543.0
CI,277.99
CINF,160.35
CTAS,169.1
CSCO,92.49
C,128.04
CFG,64.35
CLX,86.64
CMS,74.93
CTSH,51.84
COHR,334.95
CMCSA,26.49
FIX,1986.99
CAG,13.98
ED,111.1
STZ,150.24
COO,60.86
CPRT,33.4
CPAY,306.42
CTVA,84.25
CSGP,34.9
CTRA,35.27
CRH,112.5
CRWD,474.75
CCI,88.95
CSX,44.9
CMI,677.0
CVS,81.0
DRI,196.74
DDOG,147.13
DVA,164.8
DECK,98.54
DELL,219.99
DXCM,59.46
DLR,195.85
DG,117.37
DLTR,93.33
D,63.0
DPZ,335.0
DASH,166.65
DOW,40.5
DHI,145.54
DTE,144.0
DUK,127.63
EBAY,105.8
SATS,117.8
EIX,68.9
EW,81.84
EA,201.37
ELV,370.25
ETR,114.55
EPAM,109.17
EFX,170.02
EQIX,1080.05
EQR,66.25
ERIE,221.74
ESS,266.69
EL,82.24
EG,349.2
EVRG,81.26
ES,69.65
EXC,46.16
EXE,99.5
EXPD,154.99
EXR,140.07
FFIV,342.49
FDS,218.0
FICO,1070.0
FAST,44.1
FRT,115.45
FDX,362.56
FIS,47.25
FITB,49.96
FE,46.0
FISV,57.47
FTNT,89.93
FTV,60.69
FOXA,62.23
FOX,55.91
BEN,30.44
GRMN,234.44
IT,147.12
GEHC,60.91
GEN,19.89
GNRC,264.6
GD,349.18
GIS,34.6
GPC,106.37
GILD,132.5
GPN,70.4
GL,154.14
GDDY,87.89
HIG,134.15
HAS,93.54
HCA,433.05
DOC,16.69
HSIC,74.44
HSY,184.9
HPE,30.34
HON,209.99
HRL,21.02
HST,21.16
HPQ,21.3
HUM,240.5
HBAN,16.41
IBM,228.39
IEX,215.76
IDXX,561.42
ITW,254.5
INCY,95.88
PODD,167.0
INTC,114.1
IBKR,84.0
ICE,153.5
IFF,74.66
IP,31.8
INTU,398.0
IVZ,27.24
INVH,28.9
IQV,173.35
IRM,131.7
JBHT,243.04
JKHY,150.6
J,133.04
KVUE,17.3
KDP,28.92
KEY,21.87
KEYS,360.55
KMB,97.3
KIM,23.54
KHC,22.48
KR,66.88
LHX,300.14
LH,258.25
LDOS,138.39
LEN,86.31
LII,523.73
LYV,159.18
L,106.09
LITE,973.0
MTB,214.04
MRSH,167.28
MLM,607.4
MAS,70.5
MKC,48.49
MCK,800.1
MDT,77.82
MRK,113.54
MET,79.9
MTD,1302.42
MCHP,98.43
MAA,130.16
MRNA,46.4
TAP,42.11
MPWR,1584.0
MNST,77.19
MCO,454.54
MOS,23.24
MSI,438.0
MSCI,581.0
NDAQ,88.89
NTAP,114.0
NFLX,87.8
NWSA,25.44
NWS,29.38
NI,48.11
NDSN,282.69
NSC,313.57
NTRS,160.48
NVR,5969.75
ORLY,93.86
ODFL,193.65
OMC,77.64
OKE,89.9
ORCL,184.63
OTIS,75.8
PCAR,112.78
PKG,222.71
PLTR,135.65
