# saved_at_kr,2026-05-06 07:33:01 KST
# mode,last price (regular/extended)
# provider,yahoo(yfinance)
group,ticker,yahoo_symbol,premarket,src,yf_ts_et,interval,age_min,error
finviz_manual,APA,APA,41.48,yf_close(1m),2026-05-05T18:31:33-04:00,1m,1,
finviz_manual,CNQ,CNQ,47.64,yf_close(1m),2026-05-05T18:04:00-04:00,1m,29,
finviz_manual,COP,COP,123.17,yf_close(1m),2026-05-05T18:31:56-04:00,1m,1,
finviz_manual,EQNR,EQNR,41.4,yf_close(1m),2026-05-05T18:13:33-04:00,1m,19,
finviz_manual,FANG,FANG,205.97,yf_close(1m),2026-05-05T18:15:00-04:00,1m,18,
finviz_manual,LNG,LNG,269.99,yf_close(1m),2026-05-05T18:27:10-04:00,1m,5,
finviz_manual,TTE,TTE,93.3,yf_close(1m),2026-05-05T17:45:00-04:00,1m,48,
finviz_manual,VG,VG,13.03,yf_close(1m),2026-05-05T18:32:44-04:00,1m,0,
finviz_manual,CRAK,,,,,,,skipped(no_data_cached)
finviz_manual,MPC,MPC,260.51,yf_close(1m),2026-05-05T18:31:28-04:00,1m,1,
finviz_manual,VLO,VLO,252.0,yf_close(1m),2026-05-05T18:29:14-04:00,1m,3,
finviz_manual,PSX,PSX,179.99,yf_close(1m),2026-05-05T17:58:22-04:00,1m,34,
finviz_manual,USO,USO,143.82,yf_close(1m),2026-05-05T18:32:59-04:00,1m,0,
finviz_manual,BNO,BNO,58.25,yf_close(1m),2026-05-05T18:28:36-04:00,1m,4,
finviz_manual,UCO,UCO,48.8,yf_close(1m),2026-05-05T18:32:12-04:00,1m,0,
finviz_manual,BATL,BATL,3.33,yf_close(1m),2026-05-05T18:32:46-04:00,1m,0,
finviz_manual,RCAT,RCAT,10.44,yf_close(1m),2026-05-05T18:32:33-04:00,1m,0,
finviz_manual,TGT,TGT,128.4,yf_close(1m),2026-05-05T18:15:01-04:00,1m,18,
finviz_manual,ZD,ZD,45.82,yf_close(1m),2026-05-05T16:10:00-04:00,1m,143,
finviz_manual,NPT,,,,,,,skipped(no_data_cached)
finviz_manual,KTB,KTB,70.68,yf_close(1m),2026-05-05T17:05:00-04:00,1m,88,
finviz_manual,SEM,,,,,,,skipped(no_data_cached)
finviz_manual,SRRK,SRRK,47.5,yf_close(1m),2026-05-05T17:30:00-04:00,1m,63,
finviz_manual,LWLG,LWLG,16.5,yf_close(1m),2026-05-05T18:32:58-04:00,1m,0,
finviz_manual,TDW,TDW,84.83,yf_close(1m),2026-05-05T18:31:33-04:00,1m,1,
