# saved_at_kr,2026-05-04 16:40:29 KST
# provider,yahoo(yfinance)
# group: kr_foreign_naver_auto
ticker,premarket
042700.KS,378000.0
310970.KS,46230.0
009830.KS,49800.0
064350.KS,268500.0
489790.KS,88600.0
001440.KS,60700.0
042660.KS,132900.0
066570.KS,143200.0
007660.KS,148800.0
096770.KS,145600.0
000880.KS,139900.0
011070.KS,592000.0
322000.KS,221000.0
008770.KS,64700.0
105560.KS,157900.0
009150.KS,918000.0
252670.KS,153.0
028050.KS,55000.0
267270.KS,191100.0
360750.KS,26340.0
005930.KS,232500.0
006400.KS,704000.0
079550.KS,983000.0
010950.KS,128050.0
034020.KS,127200.0
086790.KS,126100.0
082740.KS,89400.0
036570.KS,267000.0
034730.KS,475500.0
051910.KS,429000.0
# group: kr_strong_stocks_auto
ticker,premarket
033100.KQ,91500.0
062040.KS,334000.0
199820.KQ,20700.0
000500.KS,288500.0
103590.KS,144300.0
060370.KQ,49550.0
425040.KQ,19790.0
016360.KS,137900.0
488080.KS,65495.0
494310.KS,111200.0
000660.KS,1449000.0
009150.KS,918000.0
267770.KS,97935.0
001440.KS,60700.0
034730.KS,475500.0
122630.KS,127765.0
009155.KS,375500.0
298040.KS,4228000.0
0167A0.KS,15615.0
005490.KS,502000.0
# group: kr_sector_rotation_auto
ticker,premarket
488080.KS,65495.0
494310.KS,111200.0
267770.KS,97935.0
122630.KS,127765.0
005930.KS,232500.0
000660.KS,1449000.0
009150.KS,918000.0
000990.KS,160200.0
278470.KS,428500.0
271560.KS,142500.0
090430.KS,134200.0
003230.KS,1316000.0
051910.KS,429000.0
329180.KS,680000.0
# group: kr_tactical_leverage
ticker,premarket
122630.KS,127765.0
233740.KS,17085.0
252670.KS,153.0
251340.KS,1964.0
# group: macro_watch_yahoo_korea
ticker,premarket
069500.KS,105295.0
102110.KS,105265.0
122630.KS,127765.0
252670.KS,153.0
233740.KS,17085.0
251340.KS,1964.0
494310.KS,111200.0
488080.KS,65495.0
395270.KS,49145.0
469150.KS,61925.0
266370.KS,63345.0
091160.KS,130460.0
396500.KS,42170.0
091230.KS,136155.0
005930.KS,232500.0
000660.KS,1449000.0
012450.KS,1464000.0
