ticker,premarket,yahoo_ts,status,age_min
CL=F,97.33000183105469,2026-03-16T11:25:00,ok,10.849766183333333
BZ=F,98.63999938964844,2026-03-16T11:25:00,ok,10.849766183333333
RB=F,2.9990999698638916,2026-03-16T11:25:00,ok,10.849766183333333
NG=F,3.0910000801086426,2026-03-16T11:25:00,ok,10.849766183333333
ES=F,6681.5,2026-03-16T11:25:00,ok,10.849766183333333
NQ=F,24596.5,2026-03-16T11:25:00,ok,10.849766183333333
^VIX,25.469999313354492,2026-03-16T11:20:00,ok,15.849766183333333
^TNX,4.284999847412109,2026-03-13T18:59:00,ok,3876.849766183333
GC=F,5025.5,2026-03-16T11:25:00,ok,10.849766183333333
UUP,27.77,2026-03-16T11:14:55,ok,20.93309951666667
JETS,24.36,2026-03-16T11:08:38,ok,27.21643285
^BTK,,,missing,
^DRG,,,missing,
^GHA,,,missing,
^GIN,,,missing,
^GOX,,,missing,
^GSO,,,missing,
^GSV,,,missing,
^INDS,,,missing,
^INX,,,missing,
^NWX,,,missing,
^OSX,,,missing,
^SOX,,,missing,
^TXX,,,missing,
^UTY,,,missing,
^XAL,,,missing,
^XAU,,,missing,
^XBD,,,missing,
^XCI,,,missing,
^XNG,,,missing,
^XOI,,,missing,
^XTC,,,missing,
01.,,,missing,
02.,,,missing,
03.,,,missing,
04.,,,missing,
05.,,,missing,
06.,,,missing,
07.,,,missing,
08.,,,missing,
09.,,,missing,
10.,,,missing,
11.,,,missing,
12.,,,missing,
13.,,,missing,
14.,,,missing,
15.,,,missing,
16.,,,missing,
17.,,,missing,
18.,,,missing,
19.,,,missing,
20.,,,missing,
21.,,,missing,
22.,,,missing,
23.,,,missing,
24.,,,missing,
25.,,,missing,
26.,,,missing,
27.,,,missing,
28.,,,missing,
29.,,,missing,
30.,,,missing,
31.,,,missing,
32.,,,missing,
33.,,,missing,
34.,,,missing,
35.,,,missing,
36.,,,missing,
37.,,,missing,
38.,,,missing,
39.,,,missing,
40.,,,missing,
41.,,,missing,
42.,,,missing,
43.,,,missing,
44.,,,missing,
45.,,,missing,
46.,,,missing,
47.,,,missing,
48.,,,missing,
49.,,,missing,
50.,,,missing,
51.,,,missing,
52.,,,missing,
53.,,,missing,
54.,,,missing,
55.,,,missing,
56.,,,missing,
57.,,,missing,
58.,,,missing,
59.,,,missing,
60.,,,missing,
61.,,,missing,
62.,,,missing,
63.,,,missing,
64.,,,missing,
65.,,,missing,
66.,,,missing,
67.,,,missing,
68.,,,missing,
69.,,,missing,
AEM,205.35,2026-03-16T11:32:49,ok,3.0330995166666668
AUX,,,missing,
BBH,,,missing,
BDH,,,missing,
BHH,,,missing,
BIX,,,missing,
BOIL,18.56,2026-03-16T11:34:52,ok,0.9830995166666666
CCJ,108.82,2026-03-16T11:26:17,ok,9.56643285
CVE,23.39,2026-03-16T11:16:35,ok,19.26643285
CWX,,,missing,
DIG,59.38,2026-03-16T11:11:50,ok,24.01643285
ERX,92.13,2026-03-16T11:09:00,ok,26.849766183333333
FCX,56.65,2026-03-16T11:33:54,ok,1.9497661833333335
FPP,,,missing,
GAX,,,missing,
GIP,,,missing,
GSM,,,missing,
GUSH,38.3,2026-03-16T11:33:17,ok,2.56643285
HAL,33.92,2026-03-16T11:19:32,ok,16.316432849999998
HCX,,,missing,
HHH,64.09,2026-03-16T11:03:01,ok,32.83309951666667
IAH,,,missing,
IDU,,,missing,
IH,1.8922,2026-03-16T08:17:00,ok,198.84976618333334
IUX,,,missing,
IXF,,,missing,
IYD,,,missing,
IYE,,,missing,
IYG,,,missing,
IYH,,,missing,
IYM,,,missing,
IYR,97.7,2026-03-16T11:11:54,ok,23.949766183333335
IYV,,,missing,
IYW,,,missing,
IYZ,,,missing,
LNG,253.21,2026-03-16T11:24:45,ok,11.099766183333333
MPC,228.28,2026-03-16T11:20:24,ok,15.449766183333333
OIH,374.6,2026-03-16T11:17:09,ok,18.699766183333335
PPH,104.8,2026-03-16T08:00:00,ok,215.84976618333334
PSX,174.36,2026-03-16T11:15:09,ok,20.699766183333335
RLX,2.26,2026-03-16T11:00:00,ok,35.84976618333334
RMS,,,missing,
SCCO,172.0,2026-03-16T11:15:00,ok,20.849766183333333
SHEL,90.23,2026-03-16T11:33:55,ok,1.9330995166666667
SLB,45.05,2026-03-16T11:27:25,ok,8.433099516666667
SMH,393.03,2026-03-16T11:35:23,ok,0.46643285
SOURCE,,,missing,
TRX,1.6,2026-03-16T11:20:22,ok,15.483099516666666
TTH,,,missing,
UCO,40.1,2026-03-16T11:30:50,ok,5.01643285
UTH,,,missing,
UYM,,,missing,
XLB,49.15,2026-03-16T11:16:37,ok,19.233099516666666
XLE,58.17,2026-03-16T11:34:46,ok,1.0830995166666668
XLK,138.23,2026-03-16T11:22:00,ok,13.849766183333333
XLU,47.21,2026-03-16T11:25:55,ok,9.933099516666665
XOP,169.16,2026-03-16T11:27:09,ok,8.699766183333333
APA,34.7,2026-03-16T11:26:01,ok,9.833099516666666
CNQ,48.7,2026-03-16T11:19:21,ok,16.499766183333332
COP,122.8,2026-03-16T11:20:30,ok,15.349766183333333
EQNR,35.86,2026-03-16T11:32:17,ok,3.56643285
FANG,183.02,2026-03-16T11:27:25,ok,8.433099516666667
TTE,83.2,2026-03-16T11:32:31,ok,3.3330995166666666
VG,13.25,2026-03-16T11:34:55,ok,0.9330995166666667
CRAK,,,missing,
VLO,232.45,2026-03-16T11:04:00,ok,31.849766183333333
USO,120.0,2026-03-16T11:34:46,ok,1.0830995166666668
BNO,49.22,2026-03-16T11:34:18,ok,1.5497661833333334
BATL,19.1,2026-03-16T11:23:55,ok,11.933099516666665
RCAT,16.07,2026-03-16T11:29:40,ok,6.183099516666667
TGT,117.74,2026-03-16T11:27:47,ok,8.06643285
