# saved_at_kr,2026-04-11 00:39:11 KST
# count_rows,10
# candidates_source,bulkowski_stdout
ticker,premarket,entered_at_kr,source
AVGO,375.33,2026-04-11 00:38:14,manual
FLEX,76.145,2026-04-11 00:38:32,manual
GEV,992.17,2026-04-11 00:38:46,manual
HUBB,543.08,2026-04-11 00:38:06,manual
JBL,301.05,2026-04-11 00:38:38,manual
LIT,78.26,2026-04-11 00:38:23,manual
MRVL,126.734,2026-04-11 00:39:11,manual
SMH,438.84,2026-04-11 00:38:53,manual
SPIR,94.48,2026-04-11 00:37:57,manual
VRT,295.41,2026-04-11 00:39:01,manual
