# saved_at_kr,2026-04-14 12:46:04 KST
# count_rows,10
# candidates_source,candidates_korea.txt
ticker,premarket,entered_at_kr,source
000660.KS,1116000.0,2026-04-14 12:45:09,manual
007810.KS,91300.0,2026-04-14 12:45:28,manual
009155.KS,226000.0,2026-04-14 12:44:48,manual
032640.KS,17570.0,2026-04-14 12:45:18,manual
062040.KS,178600.0,2026-04-14 12:46:04,manual
375500.KS,101400.0,2026-04-14 12:44:38,manual
381180.KS,35230.0,2026-04-14 12:44:59,manual
390390.KS,45105.0,2026-04-14 12:45:52,manual
395270.KS,38320.0,2026-04-14 12:44:29,manual
454320.KS,48010.0,2026-04-14 12:45:39,manual
