ticker,price,gap_pct,rsi14,sma10,sma40,sma50,sma200,px_vs_sma10,px_vs_sma40,px_vs_sma50,px_vs_sma200,sma10_slope,sma40_slope,weekly_up,weekly_r1,weekly_s1,room_to_weekly_r1_pct,daily_break_level,daily_breakout,daily_retest,in_daily_box_middle,grade,score
000145.KS,12140.0,0.0,66.67,12002.0,11626.0,11637.2,12143.05,1.15,4.42,4.32,-0.03,UP,UP,False,12700.0,10950.0,4.61,12270.0,False,True,False,A,5.0
033780.KS,177200.0,0.0,71.77,175860.0,163487.5,163614.0,147064.0,0.76,8.39,8.3,20.49,UP,UP,True,181500.0,148000.0,2.43,181800.0,False,True,False,A,3.0
089970.KQ,56800.0,0.0,73.12,55830.0,47231.25,45682.0,27348.05,1.74,20.26,24.34,107.69,UP,UP,True,58300.0,38000.0,2.64,58300.0,False,True,False,A,3.0
000880.KS,145900.0,0.0,77.5,133040.0,123427.5,124894.0,100647.0,9.67,18.21,16.82,44.96,UP,UP,True,148500.0,103400.0,1.78,148500.0,False,True,False,B,3.0
000050.KS,10100.0,0.0,62.87,10057.0,9550.75,9601.6,8333.45,0.43,5.75,5.19,21.2,UP,UP,True,15210.0,8810.0,50.59,15210.0,False,False,False,C,9.0
001120.KS,50100.0,0.0,53.54,53370.0,48865.0,47779.0,36438.75,-6.13,2.53,4.86,37.49,UP,UP,True,54500.0,37600.0,8.78,57700.0,False,False,False,C,9.0
001430.KS,69900.0,0.0,54.24,71810.0,68797.5,68164.0,46453.25,-2.66,1.6,2.55,50.47,UP,UP,True,74000.0,62000.0,5.87,92500.0,False,False,False,C,9.0
001450.KS,31350.0,0.0,60.64,30745.0,30492.5,31018.0,29169.25,1.97,2.81,1.07,7.48,UP,UP,True,32600.0,29450.0,3.99,44250.0,False,False,False,C,9.0
003620.KS,4380.0,0.0,64.05,4270.5,3788.12,3792.6,3594.32,2.56,15.62,15.49,21.86,UP,UP,True,4565.0,3300.0,4.22,4635.0,False,False,False,C,9.0
004020.KS,42200.0,0.0,59.3,42540.0,38082.5,38165.0,34184.0,-0.8,10.81,10.57,23.45,UP,UP,True,50400.0,33050.0,19.43,50400.0,False,False,False,C,9.0
005090.KS,56100.0,0.0,54.11,60700.0,57715.0,55506.0,31864.0,-7.58,-2.8,1.07,76.06,UP,UP,True,70700.0,49100.0,26.02,70700.0,False,False,False,C,9.0
