ticker,price,gap_pct,rsi14,px_vs_sma50,px_vs_sma200,weekly_up,weekly_r1,weekly_s1,room_to_weekly_r1_pct,daily_break_level,daily_breakout,daily_retest,in_daily_box_middle,grade,score
471990.KS,25985.0,-0.1,59.97,27.14,82.51,True,26550.0,16100.0,2.17,26550.0,False,True,False,A,9.0
390390.KS,40495.0,0.0,47.56,2.1,24.96,True,41480.0,37270.0,2.43,41480.0,False,True,False,A,6.0
000250.KQ,747000.0,0.0,61.29,46.98,171.74,True,860000.0,198500.0,15.13,860000.0,False,False,False,C,9.0
091160.KS,102847.0,0.0,54.71,20.97,87.55,True,107800.0,84900.0,4.82,107800.0,False,False,False,C,9.0
091230.KS,107690.0,0.0,54.65,20.56,87.58,True,112900.0,89950.0,4.84,112900.0,False,False,False,C,9.0
329180.KS,597000.0,0.0,50.62,2.48,16.52,True,630000.0,503000.0,5.53,652000.0,False,False,False,C,9.0
395160.KS,28360.0,0.0,54.32,18.57,81.56,True,30065.0,23750.0,6.01,30065.0,False,False,False,C,9.0
396500.KS,34220.0,0.0,54.72,20.37,91.89,True,36570.0,29075.0,6.87,36570.0,False,False,False,C,9.0
471760.KS,19840.0,0.0,60.17,22.79,71.73,True,21025.0,12655.0,5.97,21025.0,False,False,False,C,9.0
488080.KS,45660.0,0.0,52.85,34.03,186.71,True,54885.0,33935.0,20.2,54885.0,False,False,False,C,9.0
469150.KS,48330.0,0.08,57.52,25.41,101.78,True,51290.0,23670.0,6.12,51290.0,False,False,False,C,9.0
494310.KS,73200.0,0.1,52.82,34.12,175.56,True,84995.0,53795.0,16.11,84995.0,False,False,False,C,9.0
005930.KS,205500.0,0.24,50.53,22.17,100.06,True,223000.0,94500.0,8.52,223000.0,False,False,False,C,9.0
395270.KS,35585.0,0.31,52.54,22.73,95.7,True,37585.0,29665.0,5.62,37585.0,False,False,False,C,9.0
122630.KS,92440.0,-0.09,44.57,21.17,118.79,True,115010.0,37815.0,24.42,115010.0,False,False,False,C,6.0
009150.KS,453000.0,0.0,47.64,35.32,104.25,True,474000.0,266000.0,4.64,474000.0,False,False,False,C,6.0
090430.KS,137600.0,0.0,33.04,1.04,6.41,True,169000.0,122000.0,22.82,169000.0,False,False,False,C,6.0
233160.KS,19110.0,0.0,45.7,7.67,51.32,True,24165.0,14500.0,26.45,24165.0,False,False,False,C,6.0
233740.KS,17270.0,0.0,45.77,8.08,53.11,True,21750.0,13050.0,25.94,21750.0,False,False,False,C,6.0
267770.KS,70660.0,0.0,44.84,21.81,119.14,True,87215.0,28980.0,23.43,87215.0,False,False,False,C,6.0
271560.KS,133600.0,0.0,37.91,9.84,20.1,True,143400.0,102000.0,7.34,143400.0,False,False,False,C,6.0
282330.KS,122300.0,0.0,34.6,2.28,6.96,True,143400.0,110100.0,17.25,143400.0,False,False,True,C,6.0
381180.KS,30660.0,0.0,46.18,1.53,24.41,True,31620.0,28670.0,3.13,31620.0,False,False,False,C,6.0
000660.KS,1009000.0,0.1,49.37,17.73,102.91,True,1099000.0,525000.0,8.92,1099000.0,False,False,False,C,6.0
278470.KS,365000.0,0.69,64.58,32.61,64.25,True,306500.0,263000.0,-16.03,367000.0,False,True,False,C,6.0
000990.KS,86100.0,0.0,46.33,-4.03,38.59,True,98100.0,74800.0,13.94,113500.0,False,False,True,C,5.0
042700.KS,303500.0,0.0,63.4,38.13,127.6,True,201000.0,164700.0,-33.77,335500.0,False,False,False,C,5.0
068270.KS,211000.0,0.0,32.5,-2.96,14.22,True,251000.0,195900.0,18.96,251000.0,False,False,True,C,5.0
475310.KS,30390.0,0.0,60.77,25.69,84.07,True,26080.0,18740.0,-14.18,32480.0,False,False,False,C,5.0
051910.KS,316000.0,0.0,35.67,-4.1,2.59,False,424000.0,294000.0,34.18,424000.0,False,False,False,C,3.0
161890.KS,71200.0,0.0,49.46,3.91,-8.0,False,77900.0,64000.0,9.41,77900.0,False,False,True,C,3.0
409820.KS,14825.0,0.0,47.56,-3.74,1.09,False,16680.0,14125.0,12.51,16680.0,False,False,True,C,3.0
000100.KS,100800.0,0.0,34.59,-5.87,-10.6,False,114500.0,91600.0,13.59,117400.0,False,False,False,C,2.0
003230.KS,1119000.0,0.0,38.64,-3.69,-14.77,False,1305000.0,1009000.0,16.62,1307000.0,False,False,True,C,2.0
004370.KS,378000.0,0.0,24.55,-8.67,-9.8,False,459500.0,401000.0,21.56,459500.0,False,False,False,C,2.0
051900.KS,244000.0,0.0,37.23,-6.96,-16.12,False,279500.0,225000.0,14.55,279500.0,False,False,False,C,2.0
097950.KS,203500.0,0.0,36.89,-3.55,-10.74,False,235000.0,200000.0,15.48,235000.0,False,False,False,C,2.0
192820.KS,177300.0,0.0,39.82,-4.35,-13.9,False,209500.0,155500.0,18.16,209500.0,False,False,True,C,2.0
207940.KS,1633000.0,0.0,43.61,-6.23,-2.41,False,1778000.0,1501000.0,8.88,1987000.0,False,False,False,C,2.0
251340.KS,2025.0,0.0,45.25,-15.11,-34.11,False,2505.0,2060.0,23.7,3035.0,False,False,False,C,2.0
252670.KS,244.0,0.0,47.89,-34.04,-74.16,False,348.0,231.0,42.62,724.0,False,False,False,C,2.0
326030.KS,99800.0,0.0,32.89,-12.09,-8.69,False,119800.0,106100.0,20.04,136000.0,False,False,False,C,2.0
