ticker,price,gap_pct,rsi14,sma10,sma40,sma50,sma200,px_vs_sma10,px_vs_sma40,px_vs_sma50,px_vs_sma200,sma10_slope,sma40_slope,weekly_up,weekly_r1,weekly_s1,room_to_weekly_r1_pct,daily_break_level,daily_breakout,daily_retest,in_daily_box_middle,grade,score
IDU,118.26,0.0,53.09,116.35,117.08,115.64,111.0,1.64,1.01,2.26,6.54,UP,UP,True,120.82,112.03,2.16,120.82,False,True,False,A,9.0
ADM,72.39,0.93,52.61,72.41,69.82,69.29,61.84,-0.03,3.68,4.47,17.06,UP,UP,True,74.19,65.07,2.49,74.19,False,True,False,A,9.0
ALB,174.84,-1.47,59.5,177.26,171.64,171.71,119.33,-1.37,1.86,1.83,46.52,UP,UP,True,206.0,154.69,17.82,206.0,False,False,False,B,9.0
ATO,182.4,-3.83,63.06,185.83,183.67,180.71,170.22,-1.85,-0.69,0.94,7.16,UP,UP,True,190.13,179.32,4.24,190.13,False,False,False,B,8.0
CWEN,39.4,-2.88,56.88,39.56,39.01,38.64,33.69,-0.4,0.99,1.97,16.94,UP,UP,True,41.51,36.48,5.36,41.51,False,False,False,B,8.0
WMB,74.0,1.36,50.88,73.02,73.32,72.06,62.91,1.35,0.93,2.69,17.62,DN,UP,True,75.37,58.09,1.85,76.87,False,False,False,B,8.0
NXT,119.45,2.61,50.73,117.05,115.13,115.59,87.97,2.05,3.75,3.34,35.78,DN,DN,True,131.72,97.46,10.27,131.72,False,False,False,B,8.0
EPD,39.09,2.79,59.08,38.36,37.18,36.58,32.88,1.91,5.14,6.85,18.87,UP,UP,True,39.74,31.55,1.66,39.74,False,True,False,B,8.0
WDS,24.34,3.0,54.94,24.1,21.83,21.02,17.37,0.98,11.5,15.8,40.16,UP,UP,True,25.19,14.57,3.49,25.19,False,False,False,B,8.0
KMI,34.19,3.73,53.8,33.46,33.08,32.51,28.62,2.19,3.36,5.18,19.45,DN,UP,True,34.73,26.24,1.58,34.73,False,True,False,B,8.0
LUNR,19.0,-18.77,61.41,20.55,18.48,18.57,13.46,-7.53,2.79,2.34,41.19,UP,UP,True,23.32,14.54,22.71,25.0,False,False,False,B,7.0
VSAT,47.55,-15.59,60.15,49.51,47.54,46.77,34.4,-3.96,0.01,1.66,38.24,UP,UP,True,50.24,41.67,5.66,59.19,False,False,True,B,7.0
FLEX,65.62,-10.34,62.55,67.15,64.8,64.63,59.47,-2.28,1.27,1.53,10.34,UP,UP,True,67.71,58.53,3.19,74.78,False,False,True,B,7.0
JBL,263.0,-8.41,60.76,268.96,261.78,258.58,228.05,-2.21,0.47,1.71,15.33,UP,UP,True,281.37,234.96,6.98,291.44,False,False,True,B,7.0
GEV,868.0,-7.27,61.24,887.78,853.08,831.42,664.76,-2.23,1.75,4.4,30.57,UP,UP,True,894.93,777.0,3.1,962.72,False,False,False,B,7.0
SQM,77.43,-6.12,61.75,80.76,75.76,75.97,57.25,-4.12,2.2,1.92,35.24,UP,UP,True,81.67,65.65,5.48,86.13,False,False,True,B,7.0
