# saved_at_kr,2026-03-11 12:26:53 KST
# used_candidates_txt,True
# used_candidates_meta,False
# count_base,10
# count_premarket,0
# count_final_universe,10
# count_scored,10
# count_skipped,0
ticker_display,price,gap_pct,rsi14,px_vs_sma50,px_vs_sma200,weekly_up,weekly_r1,weekly_s1,room_to_weekly_r1_pct,daily_break_level,break_level_src,daily_breakout,daily_retest,in_daily_box_middle,breakout_confirmed_close,breakout_volume_confirmed,breakout_confirmed_intraday,grade,score
390390.KS,40265.0,0.0,50.21,2.55,25.87,True,41480.0,37270.0,3.02,41480.0,rolling60d_high,False,False,False,False,False,False,C,9.0
122630.KS,87710.0,0.0,51.38,20.98,116.21,True,115010.0,37815.0,31.13,115010.0,rolling60d_high,False,False,False,False,False,False,C,9.0
267770.KS,66895.0,0.0,51.5,21.32,116.03,True,87215.0,28980.0,30.38,87215.0,rolling60d_high,False,False,False,False,False,False,C,9.0
005930.KS,192800.0,0.0,54.16,20.0,94.05,True,223000.0,94500.0,15.66,223000.0,rolling60d_high,False,False,False,False,False,False,C,9.0
381180.KS,30570.0,0.0,49.12,2.23,25.63,True,31620.0,28670.0,3.43,31620.0,rolling60d_high,False,False,False,False,False,False,C,6.0
051910.KS,319500.0,0.0,49.1,-4.11,4.63,False,424000.0,294000.0,32.71,424000.0,rolling60d_high,False,False,False,False,False,False,C,3.0
042700.KS,319000.0,0.0,68.4,57.8,149.44,True,201000.0,164700.0,-36.99,335500.0,rolling60d_high,False,False,False,False,False,False,C,3.0
251340.KS,1996.0,0.0,39.48,-19.29,-36.06,False,2975.0,2060.0,49.05,3035.0,rolling60d_high,False,False,False,False,False,False,C,2.0
097950.KS,202000.0,0.0,32.95,-4.67,-11.68,False,235000.0,200000.0,16.34,235000.0,rolling60d_high,False,False,False,False,False,False,C,2.0
004370.KS,403500.0,0.0,32.06,-4.05,-4.07,False,459500.0,401000.0,13.88,459500.0,rolling60d_high,False,False,False,False,False,False,C,2.0
