BUY_NOW,BUY_NOW_REASON,PRIORITY_RANK,PRIORITY_SCORE,near_buy,chase_flag,ticker,price,daily_break_level,breakout_pct_vs_level,reason,grade,score,gap_pct,rsi14,daily_breakout,daily_retest,breakout_confirmed_close,breakout_volume_confirmed,breakout_confirmed_intraday,weekly_r1,room_to_weekly_r1_pct,px_vs_sma50,px_vs_sma200
N,RoomR1<1.0%,1,91.62,True,,TGT,120.4,118.98,1.1934778954446168,Grade=C | Score=9.0 | IntradayHold=Y | CloseBreak=Y | VolConfirm=Y | Retest=Y | RSI=64.3 | RoomR1=-7.1% | Gap=-0.33% | BreakLvl=118.98,C,9.0,-0.33,64.33,True,True,True,True,True,111.86,-7.09,11.5,22.15
N,Chase>2.0%;RoomR1<1.0%,2,79.91,True,CHASE,UCO,29.1,28.52,2.0336605890603154,Grade=C | Score=1.0 | IntradayHold=Y | CloseBreak=Y | VolConfirm=Y | Retest=Y | RSI=74.8 | RoomR1=-15.5% | Gap=1.43% | BreakLvl=28.52,C,1.0,1.43,74.78,True,True,True,True,True,24.6,-15.46,32.13,30.94
N,IntradayHold=N;RoomR1<1.0%,3,77.85,True,,VLO,217.8,216.18,0.7493755203996644,Grade=C | Score=3.0 | IntradayHold=N | CloseBreak=Y | VolConfirm=Y | Retest=Y | RSI=70.2 | RoomR1=-5.1% | Gap=0.04% | BreakLvl=216.18,C,3.0,0.04,70.2,True,True,True,True,False,206.77,-5.06,16.61,34.58
N,IntradayHold=N;RoomR1<1.0%;RSI>75,4,72.16,True,,HAFN,7.94,7.89,0.6337135614702172,Grade=C | Score=3.0 | IntradayHold=N | CloseBreak=Y | VolConfirm=Y | Retest=Y | RSI=89.0 | RoomR1=-16.4% | Gap=1.79% | BreakLvl=7.89,C,3.0,1.79,89.02,True,True,True,True,False,6.64,-16.37,29.1,35.73
N,Chase>2.0%;RoomR1<1.0%,5,68.74,True,CHASE,ZD,42.24,41.07,2.8487947406866443,Grade=C | Score=6.0 | IntradayHold=Y | CloseBreak=Y | VolConfirm=Y | Retest=N | RSI=66.0 | RoomR1=-2.8% | Gap=1.83% | BreakLvl=41.07,C,6.0,1.83,66.05,True,False,True,True,True,41.07,-2.77,22.58,23.0
N,Chase>2.0%;RoomR1<1.0%;RSI>75,6,64.24,True,CHASE,USO,91.24,88.64,2.933212996389889,Grade=C | Score=2.0 | IntradayHold=Y | CloseBreak=Y | VolConfirm=Y | Retest=N | RSI=78.3 | RoomR1=-11.9% | Gap=1.15% | BreakLvl=88.64,C,2.0,1.15,78.29,True,False,True,True,True,80.38,-11.9,21.82,24.33
N,Chase>2.0%;RoomR1<1.0%,7,61.8,True,CHASE,INGM,24.5,23.51,4.2109740535942075,Grade=C | Score=6.0 | IntradayHold=Y | CloseBreak=Y | VolConfirm=Y | Retest=N | RSI=66.4 | RoomR1=-9.1% | Gap=0.37% | BreakLvl=23.51,C,6.0,0.37,66.43,True,False,True,True,True,22.27,-9.1,14.38,17.4
N,Chase>2.0%;RoomR1<1.0%,8,60.4,True,CHASE,FLNG,29.42,28.27,4.067916519278403,Grade=C | Score=2.0 | IntradayHold=Y | CloseBreak=Y | VolConfirm=Y | Retest=N | RSI=72.8 | RoomR1=-6.7% | Gap=0.55% | BreakLvl=28.27,C,2.0,0.55,72.79,True,False,True,True,True,27.46,-6.66,12.01,16.5
N,IntradayHold=N;BelowBreakLvl;RoomR1<1.0%,9,59.07,True,,CVX,188.25,191.44,-1.666318428750524,Grade=C | Score=9.0 | IntradayHold=N | CloseBreak=Y | VolConfirm=Y | Retest=Y | RSI=62.8 | RoomR1=-15.4% | Gap=-0.28% | BreakLvl=191.44,C,9.0,-0.28,62.79,True,True,True,True,False,159.18,-15.44,10.76,20.71
N,IntradayHold=N;BelowBreakLvl,10,57.58,True,,GTE,6.2,6.83,-9.224011713030745,Grade=B | Score=10.0 | IntradayHold=N | CloseBreak=Y | VolConfirm=Y | Retest=N | RSI=60.5 | RoomR1=3.9% | Gap=-5.78% | BreakLvl=6.83,B,10.0,-5.78,60.47,True,False,True,True,False,6.44,3.87,20.2,34.98
N,IntradayHold=N;BelowBreakLvl;RoomR1<1.0%,11,57.52,True,,DIG,56.86,59.41,-4.292206699208878,Grade=C | Score=7.0 | IntradayHold=N | CloseBreak=Y | VolConfirm=Y | Retest=Y | RSI=67.5 | RoomR1=-31.2% | Gap=0.35% | BreakLvl=59.41,C,7.0,0.35,67.45,True,True,True,True,False,39.12,-31.2,26.64,51.78
N,IntradayHold=N;BelowBreakLvl;RoomR1<1.0%,12,57.38,True,,GUSH,33.73,34.8,-3.074712643678157,Grade=C | Score=7.0 | IntradayHold=N | CloseBreak=Y | VolConfirm=Y | Retest=Y | RSI=67.8 | RoomR1=-20.8% | Gap=-0.56% | BreakLvl=34.80,C,7.0,-0.56,67.85,True,True,True,True,False,26.71,-20.82,30.62,40.46
N,IntradayHold=N;BelowBreakLvl;RoomR1<1.0%,13,57.1,True,,CHRD,112.34,113.78,-1.2656002812445055,Grade=C | Score=5.0 | IntradayHold=N | CloseBreak=Y | VolConfirm=Y | Retest=Y | RSI=68.7 | RoomR1=-10.0% | Gap=0.00% | BreakLvl=113.78,C,5.0,0.0,68.7,True,True,True,True,False,101.13,-9.98,15.28,13.97
N,IntradayHold=N;BelowBreakLvl;RoomR1<1.0%,14,57.04,True,,XOP,158.62,160.99,-1.4721411267780593,Grade=C | Score=7.0 | IntradayHold=N | CloseBreak=Y | VolConfirm=Y | Retest=Y | RSI=68.9 | RoomR1=-12.1% | Gap=-0.23% | BreakLvl=160.99,C,7.0,-0.23,68.87,True,True,True,True,False,139.48,-12.06,15.4,21.13
N,IntradayHold=N;BelowBreakLvl;RoomR1<1.0%,15,56.75,True,,CF,105.01,107.8,-2.5881261595547267,Grade=C | Score=5.0 | IntradayHold=N | CloseBreak=Y | VolConfirm=Y | Retest=Y | RSI=69.8 | RoomR1=-11.4% | Gap=-1.21% | BreakLvl=107.80,C,5.0,-1.21,69.75,True,True,True,True,False,93.08,-11.36,18.05,19.4
N,IntradayHold=N;BelowBreakLvl;RoomR1<1.0%,16,56.49,True,,APA,31.88,32.75,-2.656488549618319,Grade=C | Score=3.0 | IntradayHold=N | CloseBreak=Y | VolConfirm=Y | Retest=Y | RSI=70.5 | RoomR1=-13.1% | Gap=0.09% | BreakLvl=32.75,C,3.0,0.09,70.52,True,True,True,True,False,27.72,-13.05,20.51,39.46
N,Chase>2.0%;RoomR1<1.0%;RSI>75,17,56.14,True,CHASE,BNO,39.47,37.87,4.224980195405337,Grade=C | Score=1.0 | IntradayHold=Y | CloseBreak=Y | VolConfirm=Y | Retest=N | RSI=83.2 | RoomR1=-19.6% | Gap=2.23% | BreakLvl=37.87,C,1.0,2.23,83.22,True,False,True,True,True,31.73,-19.61,26.75,31.86
N,Chase>2.0%;RoomR1<1.0%;RSI>75,18,55.01,True,CHASE,LWLG,5.3,5.08,4.330708661417315,Grade=C | Score=2.0 | IntradayHold=Y | CloseBreak=Y | VolConfirm=Y | Retest=N | RSI=85.0 | RoomR1=-6.6% | Gap=0.95% | BreakLvl=5.08,C,2.0,0.95,85.0,True,False,True,True,True,4.95,-6.6,41.03,64.43
N,IntradayHold=N;BelowBreakLvl;RoomR1<1.0%;RSI>75,19,54.85,True,,COP,118.5,119.3,-0.6705783738474413,Grade=C | Score=3.0 | IntradayHold=N | CloseBreak=Y | VolConfirm=Y | Retest=Y | RSI=75.4 | RoomR1=-13.1% | Gap=-0.02% | BreakLvl=119.30,C,3.0,-0.02,75.44,True,True,True,True,False,102.98,-13.1,15.94,25.41
N,IntradayHold=N;BelowBreakLvl;RoomR1<1.0%;RSI>75,20,54.46,True,,LNG,248.69,252.5,-1.5089108910891103,Grade=C | Score=1.0 | IntradayHold=N | CloseBreak=Y | VolConfirm=Y | Retest=Y | RSI=76.6 | RoomR1=-12.4% | Gap=1.06% | BreakLvl=252.50,C,1.0,1.06,76.63,True,True,True,True,False,217.81,-12.42,19.15,11.74
