ticker,premarket,ts
BATL,21.01,2026-03-04 11:19:51+00:00
BNO,39.2,2026-03-04 11:18:38+00:00
COP,117.65,2026-03-04 11:18:11+00:00
CVE,22.33,2026-03-04 11:03:25+00:00
EQNR,30.91,2026-03-04 11:00:00+00:00
FANG,176.48,2026-03-04 11:08:03+00:00
KTB,77.52,2026-03-04 10:15:00+00:00
LNG,246.98,2026-03-04 11:17:40+00:00
OIH,386.0,2026-03-04 10:36:00+00:00
RCAT,15.11,2026-03-04 11:19:00+00:00
SHEL,82.27,2026-03-04 11:19:29+00:00
TDW,87.68,2026-03-04 10:47:00+00:00
TGT,121.47,2026-03-04 11:16:27+00:00
TTE,78.25,2026-03-04 10:59:38+00:00
UCO,28.84,2026-03-04 11:19:17+00:00
USO,90.72,2026-03-04 11:20:26+00:00
XLE,56.41,2026-03-04 11:19:00+00:00
XOP,158.62,2026-03-04 11:14:37+00:00
ZD,41.68,2026-03-04 10:25:00+00:00
