BUY_NOW,BUY_NOW_REASON,PRIORITY_RANK,PRIORITY_SCORE,near_buy,chase_flag,ticker,price,daily_break_level,breakout_pct_vs_level,reason,grade,score,gap_pct,rsi14,daily_breakout,daily_retest,breakout_confirmed_close,breakout_volume_confirmed,breakout_confirmed_intraday,weekly_r1,room_to_weekly_r1_pct,px_vs_sma50,px_vs_sma200
N,RoomR1<1.0%;RSI>75,1,89.31,True,,CL=F,75.88,75.33,0.7301208018053895,Grade=C | Score=1.0 | IntradayHold=Y | CloseBreak=Y | VolConfirm=Y | Retest=Y | RSI=81.1 | RoomR1=-12.4% | Gap=0.18% | BreakLvl=75.33,C,1.0,0.18,81.13,True,True,True,True,True,66.48,-12.39,22.55,20.92
N,RoomR1<1.0%;RSI>75,2,88.82,True,,HAFN,7.91,7.89,0.25348542458809575,Grade=C | Score=3.0 | IntradayHold=Y | CloseBreak=Y | VolConfirm=Y | Retest=Y | RSI=89.7 | RoomR1=-16.1% | Gap=-0.06% | BreakLvl=7.89,C,3.0,-0.06,89.74,True,True,True,True,True,6.64,-16.06,28.56,35.2
N,RoomR1<1.0%;RSI>75,3,87.84,True,,BZ=F,82.8,82.11,0.8403361344537785,Grade=C | Score=1.0 | IntradayHold=Y | CloseBreak=Y | VolConfirm=Y | Retest=Y | RSI=83.9 | RoomR1=-13.2% | Gap=0.17% | BreakLvl=82.11,C,1.0,0.17,83.87,True,True,True,True,True,71.88,-13.19,24.45,24.73
N,VolConfirm=N;RoomR1<1.0%,4,75.11,False,,TGT,119.94,118.98,0.8068582955118364,Grade=C | Score=8.0 | IntradayHold=Y | CloseBreak=Y | VolConfirm=N | Retest=Y | RSI=62.6 | RoomR1=-6.7% | Gap=0.31% | BreakLvl=118.98,C,8.0,0.31,62.58,True,True,True,False,True,111.86,-6.74,11.1,21.69
N,VolConfirm=N;RoomR1<1.0%,5,74.6,False,,MPC,212.34,210.42,0.9124607927003314,Grade=C | Score=8.0 | IntradayHold=Y | CloseBreak=Y | VolConfirm=N | Retest=Y | RSI=57.5 | RoomR1=-0.9% | Gap=-0.17% | BreakLvl=210.42,C,8.0,-0.17,57.5,True,True,True,False,True,210.32,-0.95,15.94,18.14
N,VolConfirm=N;RoomR1<1.0%;RSI>75,6,73.93,False,,COP,119.43,119.3,0.10896898575021297,Grade=C | Score=2.0 | IntradayHold=Y | CloseBreak=Y | VolConfirm=N | Retest=Y | RSI=76.6 | RoomR1=-13.8% | Gap=-0.13% | BreakLvl=119.30,C,2.0,-0.13,76.59,True,True,True,False,True,102.98,-13.77,16.82,26.39
N,VolConfirm=N;RoomR1<1.0%,7,72.2,False,,VLO,218.04,216.18,0.860394116014418,Grade=C | Score=2.0 | IntradayHold=Y | CloseBreak=Y | VolConfirm=N | Retest=Y | RSI=70.5 | RoomR1=-5.2% | Gap=-0.05% | BreakLvl=216.18,C,2.0,-0.05,70.49,True,True,True,False,True,206.77,-5.17,16.73,34.72
N,Chase>2.0%;RoomR1<1.0%;RSI>75,8,72.15,True,CHASE,UCO,29.5,28.52,3.436185133239844,Grade=C | Score=1.0 | IntradayHold=Y | CloseBreak=Y | VolConfirm=Y | Retest=Y | RSI=77.0 | RoomR1=-16.6% | Gap=-0.62% | BreakLvl=28.52,C,1.0,-0.62,77.0,True,True,True,True,True,24.6,-16.6,33.81,32.69
N,VolConfirm=N;RoomR1<1.0%,9,71.34,False,,CF,108.77,107.8,0.8998144712430323,Grade=C | Score=0.0 | IntradayHold=Y | CloseBreak=Y | VolConfirm=N | Retest=Y | RSI=72.5 | RoomR1=-14.4% | Gap=-0.04% | BreakLvl=107.80,C,0.0,-0.04,72.49,True,True,True,False,True,93.08,-14.42,22.21,23.66
N,VolConfirm=N;RoomR1<1.0%;RSI>75,10,70.99,False,,LNG,253.27,252.5,0.3049504950495052,Grade=C | Score=0.0 | IntradayHold=Y | CloseBreak=Y | VolConfirm=N | Retest=Y | RSI=82.5 | RoomR1=-14.0% | Gap=0.21% | BreakLvl=252.50,C,0.0,0.21,82.46,True,True,True,False,True,217.81,-14.0,21.27,13.78
N,VolConfirm=N;RoomR1<1.0%;RSI>75,11,70.72,False,,WDS,21.7,21.58,0.5560704355885182,Grade=C | Score=2.0 | IntradayHold=Y | CloseBreak=Y | VolConfirm=N | Retest=Y | RSI=79.5 | RoomR1=-18.9% | Gap=-0.09% | BreakLvl=21.58,C,2.0,-0.09,79.51,True,True,True,False,True,17.61,-18.87,25.72,32.98
N,VolConfirm=N;RoomR1<1.0%,12,70.09,False,,CHRD,115.01,113.78,1.0810335735630172,Grade=C | Score=0.0 | IntradayHold=Y | CloseBreak=Y | VolConfirm=N | Retest=Y | RSI=72.3 | RoomR1=-12.1% | Gap=0.09% | BreakLvl=113.78,C,0.0,0.09,72.3,True,True,True,False,True,101.13,-12.07,17.96,16.66
N,Chase>2.0%;RoomR1<1.0%,13,67.06,True,CHASE,INGM,24.26,23.51,3.190131858783496,Grade=C | Score=6.0 | IntradayHold=Y | CloseBreak=Y | VolConfirm=Y | Retest=N | RSI=66.0 | RoomR1=-8.2% | Gap=-0.16% | BreakLvl=23.51,C,6.0,-0.16,65.98,True,False,True,True,True,22.27,-8.2,13.27,16.25
N,VolConfirm=N;RoomR1<1.0%,14,61.54,False,,FLNG,28.83,28.27,1.9808984789529527,Grade=C | Score=2.0 | IntradayHold=Y | CloseBreak=Y | VolConfirm=N | Retest=Y | RSI=70.6 | RoomR1=-4.7% | Gap=0.05% | BreakLvl=28.27,C,2.0,0.05,70.62,True,True,True,False,True,27.46,-4.74,9.78,14.16
N,Chase>2.0%;RoomR1<1.0%;RSI>75,15,59.93,True,CHASE,USO,91.89,88.64,3.6665162454873723,Grade=C | Score=2.0 | IntradayHold=Y | CloseBreak=Y | VolConfirm=Y | Retest=N | RSI=80.2 | RoomR1=-12.5% | Gap=-0.41% | BreakLvl=88.64,C,2.0,-0.41,80.2,True,False,True,True,True,80.38,-12.53,22.63,25.2
