# saved_at_kr,2026-03-04 14:39:15 KST
# used_candidates_txt,True
# used_candidates_meta,False
# count_base,10
# count_premarket,88
# count_final_universe,10
# count_scored,10
# count_skipped,0
ticker,price,gap_pct,rsi14,px_vs_sma50,px_vs_sma200,weekly_up,weekly_r1,weekly_s1,room_to_weekly_r1_pct,daily_break_level,break_level_src,daily_breakout,daily_retest,in_daily_box_middle,breakout_confirmed_close,breakout_volume_confirmed,breakout_confirmed_intraday,grade,score
CRAK,45.01,-1.55,64.26,8.61,21.58,True,45.57,37.26,1.24,46.33,rolling60d_high,False,False,False,False,False,False,C,7.0
CVX,188.02,-0.4,62.79,10.63,20.56,True,159.18,146.49,-15.34,191.44,rolling60d_high,False,False,False,False,False,False,C,5.0
FANG,176.3,-0.69,66.7,11.02,19.34,True,164.44,139.41,-6.73,183.36,rolling60d_high,False,False,False,False,False,False,C,3.0
EQNR,31.19,-0.19,68.81,19.81,25.18,True,24.9,22.26,-20.17,32.58,rolling60d_high,False,False,False,False,False,False,C,3.0
CHRD,113.0,0.59,68.7,15.96,14.64,False,101.13,87.35,-10.5,113.78,rolling60d_high,False,False,False,False,False,False,C,1.0
APA,31.69,-0.5,70.52,19.79,38.62,True,27.72,23.25,-12.53,32.75,rolling60d_high,False,False,False,False,False,False,C,-1.0
CNQ,44.24,0.25,84.52,20.08,33.89,True,35.12,30.13,-20.61,45.85,rolling60d_high,False,False,False,False,False,False,C,-1.0
EOG,127.94,-0.05,77.79,14.51,12.38,False,114.25,102.28,-10.7,128.83,rolling60d_high,False,False,False,False,False,False,C,-3.0
BZ=F,83.02,0.06,83.64,23.96,24.91,False,71.88,59.45,-13.42,85.05,rolling60d_high,False,False,False,False,False,False,C,-3.0
CL=F,75.83,0.12,80.44,21.75,20.73,False,66.48,55.76,-12.33,77.98,rolling60d_high,False,False,False,False,False,False,C,-3.0
