ticker,grade,score,price,gap_pct,rsi14,daily_break_level,daily_breakout,daily_retest,breakout_confirmed_close,breakout_volume_confirmed,breakout_confirmed_intraday,weekly_r1,room_to_weekly_r1_pct,px_vs_sma50,px_vs_sma200,reason,BUY_NOW,BUY_NOW_REASON
PSX,C,9.0,157.54,-0.12,50.65,163.79,False,False,False,False,False,163.79,3.97,9.05,18.68,Grade=C | Score=9.0 | IntradayHold=N | CloseBreak=N | VolConfirm=N | Retest=N | RSI=50.6 | RoomR1=4.0% | Gap=-0.12% | BreakLvl=163.79,N,CloseBreak=N;VolConfirm=N;IntradayHold=N;BelowBreakLvl
GC=F,C,9.0,5028.9,0.13,50.71,5586.2,False,False,False,False,False,5586.2,11.08,4.86,27.24,Grade=C | Score=9.0 | IntradayHold=N | CloseBreak=N | VolConfirm=N | Retest=N | RSI=50.7 | RoomR1=11.1% | Gap=0.13% | BreakLvl=5586.20,N,CloseBreak=N;VolConfirm=N;IntradayHold=N;BelowBreakLvl
HAL,C,8.0,34.94,-0.1,56.67,37.03,False,False,False,False,False,35.55,1.73,6.89,36.09,Grade=C | Score=8.0 | IntradayHold=N | CloseBreak=N | VolConfirm=N | Retest=N | RSI=56.7 | RoomR1=1.7% | Gap=-0.10% | BreakLvl=37.03,N,CloseBreak=N;VolConfirm=N;IntradayHold=N;BelowBreakLvl
ERX,C,8.0,87.12,-0.08,64.98,91.98,True,False,True,True,False,60.5,-30.56,25.37,50.43,Grade=C | Score=8.0 | IntradayHold=N | CloseBreak=Y | VolConfirm=Y | Retest=N | RSI=65.0 | RoomR1=-30.6% | Gap=-0.08% | BreakLvl=91.98,N,IntradayHold=N;BelowBreakLvl;RoomR1<1.0%
SHEL,C,8.0,82.16,0.07,61.99,84.55,True,False,True,True,False,75.56,-8.04,8.19,12.56,Grade=C | Score=8.0 | IntradayHold=N | CloseBreak=Y | VolConfirm=Y | Retest=N | RSI=62.0 | RoomR1=-8.0% | Gap=0.07% | BreakLvl=84.55,N,IntradayHold=N;BelowBreakLvl;RoomR1<1.0%
MPC,C,7.0,208.5,-0.09,54.11,210.42,False,False,False,False,False,210.32,0.87,13.89,16.02,Grade=C | Score=7.0 | IntradayHold=N | CloseBreak=N | VolConfirm=N | Retest=N | RSI=54.1 | RoomR1=0.9% | Gap=-0.09% | BreakLvl=210.42,N,CloseBreak=N;VolConfirm=N;IntradayHold=N;BelowBreakLvl;RoomR1<1.0%
GUSH,C,7.0,33.99,0.11,68.01,34.8,True,True,True,True,False,26.71,-21.42,31.61,41.54,Grade=C | Score=7.0 | IntradayHold=N | CloseBreak=Y | VolConfirm=Y | Retest=Y | RSI=68.0 | RoomR1=-21.4% | Gap=0.11% | BreakLvl=34.80,N,IntradayHold=N;BelowBreakLvl;RoomR1<1.0%
XOP,C,7.0,159.08,0.13,68.64,160.99,True,True,True,True,False,139.48,-12.32,15.73,21.49,Grade=C | Score=7.0 | IntradayHold=N | CloseBreak=Y | VolConfirm=Y | Retest=Y | RSI=68.6 | RoomR1=-12.3% | Gap=0.13% | BreakLvl=160.99,N,IntradayHold=N;BelowBreakLvl;RoomR1<1.0%
UYM,C,6.0,30.06,-0.39,33.62,34.54,False,False,False,False,False,34.54,14.91,2.67,18.95,Grade=C | Score=6.0 | IntradayHold=N | CloseBreak=N | VolConfirm=N | Retest=N | RSI=33.6 | RoomR1=14.9% | Gap=-0.39% | BreakLvl=34.54,N,CloseBreak=N;VolConfirm=N;IntradayHold=N;BelowBreakLvl;RSI<45
SCCO,C,6.0,193.86,-0.28,47.25,223.89,False,False,False,False,False,217.07,11.97,6.73,51.71,Grade=C | Score=6.0 | IntradayHold=N | CloseBreak=N | VolConfirm=N | Retest=N | RSI=47.2 | RoomR1=12.0% | Gap=-0.28% | BreakLvl=223.89,N,CloseBreak=N;VolConfirm=N;IntradayHold=N;BelowBreakLvl
SLB,C,6.0,48.71,-0.23,42.09,52.45,False,False,False,False,False,52.4,7.58,4.17,28.03,Grade=C | Score=6.0 | IntradayHold=N | CloseBreak=N | VolConfirm=N | Retest=N | RSI=42.1 | RoomR1=7.6% | Gap=-0.23% | BreakLvl=52.45,N,CloseBreak=N;VolConfirm=N;IntradayHold=N;BelowBreakLvl;RSI<45
