ticker,status,last_close,sma50,sma200,avgvol50,last_vol,relvol_proxy,reasons,market_cap
000100.KS,fail,98400.0,109896.0,113114.0,397577.5,289081.0,0.7271060359301017,"relvol<min,below_sma50,below_sma200",
000250.KQ,fail,803000.0,412150.0,247000.5,366771.46,230166.0,0.6275461018695402,relvol<min,
000660.KS,fail,953000.0,794200.0,464041.0,4456154.96,3907649.0,0.8769104833822925,relvol<min,
000990.KS,fail,89300.0,86100.0,59968.25,482958.52,215100.0,0.4453798640926761,relvol<min,
003230.KS,fail,1065000.0,1196200.0,1311370.0,65279.9,42030.0,0.6438428980436551,"avgvol50<min,relvol<min,below_sma50,below_sma200",
004370.KS,fail,397000.0,423600.0,421025.0,31641.46,20038.0,0.6332830406687935,"avgvol50<min,relvol<min,below_sma50,below_sma200",
005930.KS,PASS,192300.0,154482.0,96765.25,31345978.8,34749599.0,1.1085823550675022,,1281722135254200.0
009150.KS,PASS,411500.0,306740.0,208790.0,749399.0,753614.0,1.005624507105027,,31087693375000.0
042700.KS,fail,310000.0,186020.0,123054.5,2380851.02,2076618.0,0.8722166916601106,relvol<min,
051900.KS,fail,239000.0,265140.0,294260.0,95557.26,41145.0,0.4305795289651462,"avgvol50<min,relvol<min,below_sma50,below_sma200",
051910.KS,fail,327500.0,335730.0,303241.5,390670.78,290585.0,0.7438104277980554,"relvol<min,below_sma50",
068270.KS,fail,211000.0,213094.0,182130.288515625,825254.3,561890.0,0.6808689151937772,"relvol<min,below_sma50",
090430.KS,fail,132100.0,134296.0,128955.0,327611.04,137504.0,0.41971723541428885,"relvol<min,below_sma50",
091160.KS,PASS,100835.0,77678.5,51792.8,3839693.44,7003706.0,1.8240273890198901,,
091230.KS,PASS,105685.0,81534.1,54182.5,560865.22,721531.0,1.2864605867341892,,
097950.KS,fail,196300.0,213022.0,229700.5,72240.18,51690.0,0.715529778580286,"avgvol50<min,relvol<min,below_sma50,below_sma200",
122630.KS,fail,85205.0,69393.0,39263.25,22597270.88,18845344.0,0.8339654863667325,relvol<min,
161890.KS,fail,69300.0,67158.0,77973.0,210597.02,156093.0,0.7411928240959915,"relvol<min,below_sma200",
192820.KS,fail,168300.0,184438.0,207259.0,88504.76,54403.0,0.6146901025436372,"avgvol50<min,relvol<min,below_sma50,below_sma200",
207940.KS,fail,1639500.0,1760830.0,1671011.879375,58766.34,41882.0,0.7126868884466857,"avgvol50<min,relvol<min,below_sma50,below_sma200",
233160.KS,PASS,19240.0,16632.0,12125.525,1913776.76,2925791.0,1.5288047494107933,,
233740.KS,PASS,17290.0,14947.3,10820.175,57029381.34,90328047.0,1.5838861456602291,,
251340.KS,fail,2090.0,2548.7,3159.525,47407801.52,82253224.0,1.7350145200321028,"below_sma50,below_sma200",
252670.KS,fail,275.0,440.04,1024.35,2208616481.08,1490294654.0,0.6747638925845808,"price<min,relvol<min,below_sma50,below_sma200",
267770.KS,PASS,64905.0,52780.3,29971.925,638743.3,788428.0,1.2343424972128865,,
271560.KS,fail,123500.0,117464.0,110946.0,149258.46,106909.0,0.7162676072096684,"avgvol50<min,relvol<min",
278470.KS,fail,291000.0,259870.0,212485.0,552570.84,187586.0,0.3394786449462299,relvol<min,
282330.KS,fail,115200.0,117756.0,113569.5,59337.92,36152.0,0.6092562732229239,"avgvol50<min,relvol<min,below_sma50",
326030.KS,fail,106200.0,118692.0,108950.0,231332.84,147645.0,0.6382362313971506,"relvol<min,below_sma50,below_sma200",
329180.KS,fail,556000.0,570180.0,504620.0,259996.82,137664.0,0.5294833990661886,"relvol<min,below_sma50",
381180.KS,fail,30440.0,29671.0,24083.375,1848543.2,1374486.0,0.7435509216122188,relvol<min,
390390.KS,fail,39940.0,38946.5,31652.45,741097.36,532177.0,0.7180932340657643,relvol<min,
395160.KS,PASS,27900.0,22072.7,14779.0,5278253.08,6435579.0,1.219263059663672,,
395270.KS,fail,34380.0,26502.3,17098.55,5285851.5,4488682.0,0.8491880636449964,relvol<min,
396500.KS,PASS,33840.0,25859.8,16779.125,21167812.16,35298542.0,1.6675574090128358,,
409820.KS,fail,15090.0,15608.9,14515.025,168492.96,130777.0,0.7761570572444095,"avgvol50<min,relvol<min,below_sma50",
469150.KS,PASS,47020.0,34758.5,22445.125,1232649.06,2753789.0,2.234041374274037,,
471760.KS,PASS,20165.0,14634.4,11024.125,1440173.7,3056950.0,2.122625902694932,,
471990.KS,PASS,25560.0,18651.3,13484.65,1416048.2,2730431.0,1.92820484500457,,
475310.KS,PASS,30810.0,21911.9,15615.4,260697.74,533345.0,2.045836684276588,,
488080.KS,PASS,45430.0,29189.0,14201.75,5267756.14,12645554.0,2.4005579726779076,,
494310.KS,PASS,72440.0,47102.7,23871.05,4158820.12,6986163.0,1.6798425511127901,,
