ticker,premarket,ts
005930.KS,192300.0,2026-03-05 03:22:00+00:00
009150.KS,411500.0,2026-03-05 03:22:00+00:00
091160.KS,100815.0,2026-03-05 03:22:00+00:00
091230.KS,105685.0,2026-03-05 03:22:00+00:00
233160.KS,19240.0,2026-03-05 03:22:00+00:00
233740.KS,17285.0,2026-03-05 03:22:00+00:00
267770.KS,64905.0,2026-03-05 03:22:00+00:00
395160.KS,27920.0,2026-03-05 03:22:00+00:00
396500.KS,33840.0,2026-03-05 03:22:00+00:00
469150.KS,47020.0,2026-03-05 03:22:00+00:00
471760.KS,20170.0,2026-03-05 03:22:00+00:00
471990.KS,25560.0,2026-03-05 03:22:00+00:00
475310.KS,30810.0,2026-03-05 03:22:00+00:00
488080.KS,45435.0,2026-03-05 03:22:00+00:00
494310.KS,72430.0,2026-03-05 03:22:00+00:00
