ticker,premarket,source,ts,entered_at_kr
005930.KS,192300.0,auto,2026-03-05 03:22:00+00:00,
494310.KS,72430.0,auto,2026-03-05 03:22:00+00:00,
396500.KS,33840.0,auto,2026-03-05 03:22:00+00:00,
475310.KS,30810.0,auto,2026-03-05 03:22:00+00:00,
267770.KS,64905.0,auto,2026-03-05 03:22:00+00:00,
233740.KS,17285.0,auto,2026-03-05 03:22:00+00:00,
233160.KS,19240.0,auto,2026-03-05 03:22:00+00:00,
091230.KS,105685.0,auto,2026-03-05 03:22:00+00:00,
091160.KS,100815.0,auto,2026-03-05 03:22:00+00:00,
009150.KS,411500.0,auto,2026-03-05 03:22:00+00:00,
395160.KS,27920.0,auto,2026-03-05 03:22:00+00:00,
471760.KS,19800.0,manual,,2026-03-05 12:54:19
469150.KS,46200.0,manual,,2026-03-05 12:53:54
390390.KS,39860.0,manual,,2026-03-05 12:53:13
161890.KS,68700.0,manual,,2026-03-05 12:53:31
004370.KS,396500.0,manual,,2026-03-05 12:54:43
051910.KS,322000.0,manual,,2026-03-05 12:53:21
000100.KS,97800.0,manual,,2026-03-05 12:54:52
471990.KS,25015.0,manual,,2026-03-05 12:53:44
097950.KS,196000.0,manual,,2026-03-05 12:54:30
488080.KS,44085.0,manual,,2026-03-05 12:54:08
