ticker,is_2x,status,status_rank,pattern,pattern_score,break_level,break_level_src,breakout_date,vol_confirmed,hold_confirmed,last_close,breakout_strength,diag_db_l1,diag_db_l2,diag_db_peak,diag_db_diff_pct
390390.KS,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,6.79,41110.0,pattern:DOUBLE_BOTTOM_neckline,2026-02-26,True,False,39940.0,-0.02846,457.0,471.0,470.0,2.14
051910.KS,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,3.41,369000.0,pattern:DOUBLE_BOTTOM_neckline,2026-02-27,True,False,327500.0,-0.112466,448.0,464.0,458.0,4.39
161890.KS,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,1.08,75200.0,pattern:DOUBLE_BOTTOM_neckline,2026-02-27,True,False,69100.0,-0.081117,468.0,478.0,473.0,5.95
471990.KS,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,0.0,21560.0,pattern:DOUBLE_BOTTOM_neckline,2026-03-05,True,False,25525.0,0.183905,454.0,466.0,461.0,13.42
469150.KS,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,0.0,40265.0,pattern:DOUBLE_BOTTOM_neckline,2026-03-05,True,False,46985.0,0.166894,454.0,466.0,461.0,9.15
488080.KS,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,0.0,39860.0,pattern:DOUBLE_BOTTOM_neckline,2026-03-05,True,False,45405.0,0.139112,359.0,371.0,366.0,21.02
471760.KS,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,0.0,17710.0,pattern:DOUBLE_BOTTOM_neckline,2026-03-05,True,False,20170.0,0.138905,454.0,475.0,461.0,20.56
097950.KS,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,10.0,214000.0,pattern:DOUBLE_BOTTOM_neckline,2026-02-26,False,True,196300.0,-0.08271,435.0,454.0,451.0,0.0
004370.KS,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,9.81,419500.0,pattern:DOUBLE_BOTTOM_neckline,2026-02-27,False,False,397000.0,-0.053635,447.0,464.0,451.0,0.12
000100.KS,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,9.26,111700.0,pattern:DOUBLE_BOTTOM_neckline,2026-02-25,False,False,98500.0,-0.118174,456.0,468.0,462.0,0.49
