# saved_at_kr,2026-03-05 13:12:33 KST
# used_candidates_txt,True
# used_candidates_meta,True
# count_base,10
# count_premarket,0
# count_final_universe,10
# count_scored,10
# count_skipped,0
ticker,price,gap_pct,rsi14,px_vs_sma50,px_vs_sma200,weekly_up,weekly_r1,weekly_s1,room_to_weekly_r1_pct,daily_break_level,break_level_src,daily_breakout,daily_retest,in_daily_box_middle,breakout_confirmed_close,breakout_volume_confirmed,breakout_confirmed_intraday,grade,score
051910.KS,322500.0,0.0,52.26,-3.91,6.36,False,369000.0,294000.0,14.42,369000.0,pattern:DOUBLE_BOTTOM,True,False,False,True,True,False,A,9.0
471990.KS,25020.0,0.0,63.81,34.22,85.58,True,21560.0,16100.0,-13.83,21560.0,pattern:DOUBLE_BOTTOM,True,False,False,True,True,True,C,8.0
469150.KS,46050.0,0.0,63.16,32.56,105.21,True,40265.0,23670.0,-12.56,40265.0,pattern:DOUBLE_BOTTOM,True,False,False,True,True,True,C,8.0
488080.KS,43855.0,0.0,58.17,50.41,208.97,True,39860.0,13605.0,-9.11,39860.0,pattern:DOUBLE_BOTTOM,True,False,False,True,True,True,C,8.0
471760.KS,19750.0,0.0,61.99,35.03,79.19,True,17710.0,12655.0,-10.33,17710.0,pattern:DOUBLE_BOTTOM,True,False,False,True,True,True,C,8.0
161890.KS,69000.0,0.0,43.32,2.75,-11.51,False,78700.0,60600.0,14.06,75200.0,pattern:DOUBLE_BOTTOM,True,False,True,True,True,False,C,6.0
390390.KS,39870.0,0.0,49.19,2.37,25.96,True,37285.0,37270.0,-6.48,41110.0,pattern:DOUBLE_BOTTOM,True,False,False,True,True,False,C,5.0
097950.KS,196200.0,0.0,30.87,-7.9,-14.58,False,235000.0,200000.0,19.78,214000.0,pattern:DOUBLE_BOTTOM,False,False,False,True,False,False,C,2.0
004370.KS,396000.0,0.0,38.02,-6.51,-5.94,False,454000.0,401000.0,14.65,419500.0,pattern:DOUBLE_BOTTOM,False,False,False,True,False,False,C,2.0
000100.KS,97700.0,0.0,36.74,-11.09,-13.62,False,129200.0,101500.0,32.24,111700.0,pattern:DOUBLE_BOTTOM,False,False,False,True,False,False,C,2.0
