ticker,grade,score,price,gap_pct,rsi14,daily_break_level,daily_breakout,daily_retest,weekly_r1,room_to_weekly_r1_pct,px_vs_sma50,px_vs_sma200
FCX,C,9.0,67.33,-1.41,63.6,69.75,False,False,69.44,3.13,13.47,44.69
PSX,C,9.0,158.2,-1.24,54.48,163.79,False,False,163.79,3.53,9.9,19.32
CCJ,C,8.0,122.35,-2.7,57.49,135.24,False,False,135.24,10.54,9.8,40.71
XLB,C,8.0,52.71,-1.01,60.11,54.14,False,False,54.14,2.71,6.36,15.36
SLB,C,8.0,51.61,0.66,55.03,52.4,False,False,52.4,1.53,10.86,35.88
SCCO,C,7.0,203.03,-7.23,59.4,223.89,False,False,217.07,6.92,12.45,59.54
FANG,C,7.0,180.5,0.86,67.34,177.25,True,True,164.44,-8.9,14.0,22.31
ERX,C,7.0,90.41,1.2,69.54,86.58,True,True,60.5,-33.08,31.3,56.59
XOP,C,6.0,161.54,1.24,68.29,154.0,True,False,139.48,-13.66,18.06,23.52
APA,C,6.0,32.09,1.26,69.81,30.42,True,False,27.72,-13.62,21.97,40.8
OIH,C,5.0,398.22,0.71,63.8,403.73,False,False,311.49,-21.78,17.24,43.95
HAL,C,5.0,36.33,1.0,57.55,36.19,False,False,35.55,-2.15,11.62,41.86
MPC,C,5.0,212.94,1.49,55.13,210.32,False,False,210.32,-1.23,16.75,18.64
CVE,C,4.0,23.48,2.62,64.68,23.39,False,False,18.75,-20.14,22.47,40.5
SHEL,C,2.0,82.45,-2.1,70.71,83.67,True,True,75.56,-8.36,8.87,13.07
