ticker,is_2x,status,status_rank,pattern,pattern_score,break_level,breakout_date,vol_confirmed,hold_confirmed,last_close,diag_db_lo1,diag_db_lo2,diag_db_diff_pct,diag_db_depth_pct,diag_db_neck,diag_tri_res,diag_tri_flat_pct,diag_tri_slope,diag_fallback_res
ZD,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,16.61,41.07,2026-03-03,True,False,41.48,28.93,29.3,1.28,41.96,41.07,,,,
GUSH,True,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,16.56,26.71,2026-03-03,True,False,33.92,21.09,21.13,0.19,26.65,26.71,,,,
RCAT,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,16.25,8.85,2026-03-03,True,False,14.7,6.785,6.865,1.18,30.43,8.85,,,,
BATL,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,15.41,1.29,2026-03-03,True,False,27.68,1.08,1.08,0.0,19.44,1.29,,,,
LWLG,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,15.27,3.9,2026-03-03,True,False,5.25,3.3,3.29,0.3,18.54,3.9,,,,
^VIX,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,14.86,20.99,2026-03-03,True,False,23.57,14.85,15.27,2.83,41.35,20.99,,,,
APA,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,14.8,27.72,2026-03-03,True,False,31.85,23.06,23.25,0.82,20.21,27.72,,,,
CHRD,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,14.31,101.13,2026-03-03,True,False,112.34,87.72,87.35,0.42,15.78,101.13,,,,
VG,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,14.26,10.43,2026-03-03,True,False,11.46,8.94,9.03,1.01,16.67,10.43,,,,
XOP,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,14.03,139.48,2026-03-03,True,False,158.99,123.4,123.16,0.19,13.25,139.48,,,,
