ticker,grade,score,price,gap_pct,rsi14,daily_break_level,daily_breakout,daily_retest,breakout_confirmed_close,breakout_volume_confirmed,breakout_confirmed_intraday,weekly_r1,room_to_weekly_r1_pct,px_vs_sma50,px_vs_sma200,reason
PSX,C,9.0,158.73,-0.34,53.19,163.79,False,False,False,False,False,163.79,3.19,9.85,19.57,Grade=C | Score=9.0 | IntradayHold=N | CloseBreak=N | VolConfirm=N | Retest=N | RSI=53.2 | RoomR1=3.2% | Gap=-0.34% | BreakLvl=163.79
GC=F,C,9.0,5095.3,-0.1,53.91,5586.2,False,False,False,False,False,5586.2,9.63,6.2,28.91,Grade=C | Score=9.0 | IntradayHold=N | CloseBreak=N | VolConfirm=N | Retest=N | RSI=53.9 | RoomR1=9.6% | Gap=-0.10% | BreakLvl=5586.20
SCCO,C,9.0,203.88,0.14,53.22,223.89,False,False,False,False,False,217.07,6.47,12.13,59.49,Grade=C | Score=9.0 | IntradayHold=N | CloseBreak=N | VolConfirm=N | Retest=N | RSI=53.2 | RoomR1=6.5% | Gap=0.14% | BreakLvl=223.89
MPC,C,8.0,211.56,-0.47,57.4,210.42,True,True,True,False,True,210.32,-0.59,15.52,17.71,Grade=C | Score=8.0 | IntradayHold=Y | CloseBreak=Y | VolConfirm=N | Retest=Y | RSI=57.4 | RoomR1=-0.6% | Gap=-0.47% | BreakLvl=210.42
HAL,C,7.0,35.28,-0.24,59.87,37.03,False,False,False,False,False,35.55,0.77,7.89,37.38,Grade=C | Score=7.0 | IntradayHold=N | CloseBreak=N | VolConfirm=N | Retest=N | RSI=59.9 | RoomR1=0.8% | Gap=-0.24% | BreakLvl=37.03
SHEL,C,7.0,83.14,-0.01,65.94,84.55,True,True,True,True,False,75.56,-9.12,9.45,13.89,Grade=C | Score=7.0 | IntradayHold=N | CloseBreak=Y | VolConfirm=Y | Retest=Y | RSI=65.9 | RoomR1=-9.1% | Gap=-0.01% | BreakLvl=84.55
UYM,C,6.0,30.51,-1.21,36.64,34.54,False,False,False,False,False,34.54,13.21,4.17,20.72,Grade=C | Score=6.0 | IntradayHold=N | CloseBreak=N | VolConfirm=N | Retest=N | RSI=36.6 | RoomR1=13.2% | Gap=-1.21% | BreakLvl=34.54
SLB,C,6.0,49.39,-0.21,45.32,52.45,False,False,False,False,False,52.4,6.09,5.59,29.81,Grade=C | Score=6.0 | IntradayHold=N | CloseBreak=N | VolConfirm=N | Retest=N | RSI=45.3 | RoomR1=6.1% | Gap=-0.21% | BreakLvl=52.45
CCJ,C,6.0,116.07,0.0,47.53,135.24,False,False,False,False,False,135.24,16.52,3.58,33.01,Grade=C | Score=6.0 | IntradayHold=N | CloseBreak=N | VolConfirm=N | Retest=N | RSI=47.5 | RoomR1=16.5% | Gap=0.00% | BreakLvl=135.24
XLB,C,6.0,51.36,0.0,37.98,54.14,False,False,False,False,False,54.14,5.41,3.37,12.3,Grade=C | Score=6.0 | IntradayHold=N | CloseBreak=N | VolConfirm=N | Retest=N | RSI=38.0 | RoomR1=5.4% | Gap=0.00% | BreakLvl=54.14
TTE,C,6.0,79.72,0.01,69.96,82.21,True,False,True,True,False,66.92,-16.06,12.27,24.34,Grade=C | Score=6.0 | IntradayHold=N | CloseBreak=Y | VolConfirm=Y | Retest=N | RSI=70.0 | RoomR1=-16.1% | Gap=0.01% | BreakLvl=82.21
FCX,C,6.0,63.35,0.27,49.82,69.75,False,False,False,False,False,69.44,9.6,6.22,35.79,Grade=C | Score=6.0 | IntradayHold=N | CloseBreak=N | VolConfirm=N | Retest=N | RSI=49.8 | RoomR1=9.6% | Gap=0.27% | BreakLvl=69.75
CVE,C,5.0,22.62,-0.61,62.31,23.56,False,False,True,False,False,18.75,-17.13,17.3,35.02,Grade=C | Score=5.0 | IntradayHold=N | CloseBreak=Y | VolConfirm=N | Retest=N | RSI=62.3 | RoomR1=-17.1% | Gap=-0.61% | BreakLvl=23.56
NG=F,C,5.0,3.1,-0.39,50.0,7.83,False,False,False,False,False,7.83,152.24,-17.52,-13.29,Grade=C | Score=5.0 | IntradayHold=N | CloseBreak=N | VolConfirm=N | Retest=N | RSI=50.0 | RoomR1=152.2% | Gap=-0.39% | BreakLvl=7.83
BOIL,C,5.0,19.44,-0.28,55.87,46.85,False,False,False,False,False,41.25,112.14,-10.0,-41.78,Grade=C | Score=5.0 | IntradayHold=N | CloseBreak=N | VolConfirm=N | Retest=N | RSI=55.9 | RoomR1=112.1% | Gap=-0.28% | BreakLvl=46.85
