ticker,grade,score,price,gap_pct,rsi14,daily_break_level,daily_breakout,daily_retest,breakout_confirmed_close,breakout_volume_confirmed,breakout_confirmed_intraday,weekly_r1,room_to_weekly_r1_pct,px_vs_sma50,px_vs_sma200,reason
SHEL,C,9.0,82.57,-0.04,63.81,84.55,True,True,True,True,False,75.56,-8.5,8.71,13.12,Grade=C | Score=9.0 | IntradayHold=N | CloseBreak=Y | VolConfirm=Y | Retest=Y | RSI=63.8 | RoomR1=-8.5% | Gap=-0.04% | BreakLvl=84.55
SLB,C,9.0,50.41,0.06,50.38,52.45,False,False,False,False,False,52.4,3.95,7.73,32.47,Grade=C | Score=9.0 | IntradayHold=N | CloseBreak=N | VolConfirm=N | Retest=N | RSI=50.4 | RoomR1=4.0% | Gap=0.06% | BreakLvl=52.45
SCCO,C,9.0,200.87,0.18,51.06,223.89,False,False,False,False,False,217.07,8.07,10.51,57.16,Grade=C | Score=9.0 | IntradayHold=N | CloseBreak=N | VolConfirm=N | Retest=N | RSI=51.1 | RoomR1=8.1% | Gap=0.18% | BreakLvl=223.89
GC=F,C,9.0,5149.4,0.21,55.63,5586.2,False,False,False,False,False,5586.2,8.48,7.32,30.27,Grade=C | Score=9.0 | IntradayHold=N | CloseBreak=N | VolConfirm=N | Retest=N | RSI=55.6 | RoomR1=8.5% | Gap=0.21% | BreakLvl=5586.20
PSX,C,9.0,158.46,0.35,50.94,163.79,False,False,False,False,False,163.79,3.36,9.69,19.37,Grade=C | Score=9.0 | IntradayHold=N | CloseBreak=N | VolConfirm=N | Retest=N | RSI=50.9 | RoomR1=3.4% | Gap=0.35% | BreakLvl=163.79
GUSH,C,7.0,34.03,-0.31,68.9,34.8,True,True,True,True,False,26.71,-21.52,31.77,41.72,Grade=C | Score=7.0 | IntradayHold=N | CloseBreak=Y | VolConfirm=Y | Retest=Y | RSI=68.9 | RoomR1=-21.5% | Gap=-0.31% | BreakLvl=34.80
XOP,C,7.0,159.39,-0.03,69.75,160.99,True,True,True,True,False,139.48,-12.49,15.95,21.72,Grade=C | Score=7.0 | IntradayHold=N | CloseBreak=Y | VolConfirm=Y | Retest=Y | RSI=69.8 | RoomR1=-12.5% | Gap=-0.03% | BreakLvl=160.99
FANG,C,7.0,179.59,0.12,69.66,183.36,True,True,True,True,False,164.44,-8.44,13.06,21.56,Grade=C | Score=7.0 | IntradayHold=N | CloseBreak=Y | VolConfirm=Y | Retest=Y | RSI=69.7 | RoomR1=-8.4% | Gap=0.12% | BreakLvl=183.36
TTE,C,6.0,79.34,-0.12,68.46,82.21,True,False,True,True,False,66.92,-15.66,11.74,23.75,Grade=C | Score=6.0 | IntradayHold=N | CloseBreak=Y | VolConfirm=Y | Retest=N | RSI=68.5 | RoomR1=-15.7% | Gap=-0.12% | BreakLvl=82.21
UYM,C,6.0,31.15,0.0,37.91,34.54,False,False,False,False,False,34.54,10.88,6.33,23.25,Grade=C | Score=6.0 | IntradayHold=N | CloseBreak=N | VolConfirm=N | Retest=N | RSI=37.9 | RoomR1=10.9% | Gap=0.00% | BreakLvl=34.54
XLB,C,6.0,51.44,0.14,38.04,54.14,False,False,False,False,False,54.14,5.25,3.54,12.47,Grade=C | Score=6.0 | IntradayHold=N | CloseBreak=N | VolConfirm=N | Retest=N | RSI=38.0 | RoomR1=5.2% | Gap=0.14% | BreakLvl=54.14
CCJ,C,6.0,116.2,0.23,47.37,135.24,False,False,False,False,False,135.24,16.39,3.7,33.16,Grade=C | Score=6.0 | IntradayHold=N | CloseBreak=N | VolConfirm=N | Retest=N | RSI=47.4 | RoomR1=16.4% | Gap=0.23% | BreakLvl=135.24
FCX,C,6.0,63.28,0.58,49.23,69.75,False,False,False,False,False,69.44,9.73,6.12,35.65,Grade=C | Score=6.0 | IntradayHold=N | CloseBreak=N | VolConfirm=N | Retest=N | RSI=49.2 | RoomR1=9.7% | Gap=0.58% | BreakLvl=69.75
AEM,C,5.0,234.49,-0.61,62.66,255.24,False,False,True,False,False,225.0,-4.05,15.06,47.32,Grade=C | Score=5.0 | IntradayHold=N | CloseBreak=Y | VolConfirm=N | Retest=N | RSI=62.7 | RoomR1=-4.0% | Gap=-0.61% | BreakLvl=255.24
NG=F,C,5.0,3.17,-0.28,52.98,7.83,False,False,False,False,False,7.83,146.75,-15.72,-11.37,Grade=C | Score=5.0 | IntradayHold=N | CloseBreak=N | VolConfirm=N | Retest=N | RSI=53.0 | RoomR1=146.8% | Gap=-0.28% | BreakLvl=7.83
