ticker,is_2x,status,status_rank,pattern,pattern_score,break_level,break_level_src,breakout_date,vol_confirmed,hold_confirmed,last_close,breakout_strength,diag_db_l1,diag_db_l2,diag_db_peak,diag_db_diff_pct
LWLG,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,8.64,3.71,pattern:DOUBLE_BOTTOM_neckline,2026-03-05,True,False,4.65,0.253396,474.0,491.0,480.0,0.91
HAL,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,1.1,35.39,pattern:DOUBLE_BOTTOM_neckline,2026-03-02,True,False,34.24,-0.032495,479.0,496.0,487.0,5.93
GC=F,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,0.0,5111.3,pattern:DOUBLE_BOTTOM_neckline,2026-03-04,True,False,5110.2,-0.000215,481.0,491.0,488.0,9.24
TGT,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,8.99,118.98,pattern:DOUBLE_BOTTOM_neckline,2026-03-05,False,False,120.46,0.012439,487.0,497.0,492.0,0.67
FCX,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,8.63,65.98,pattern:DOUBLE_BOTTOM_neckline,2026-03-02,False,False,63.81,-0.032889,478.0,489.0,487.0,0.91
VG,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,8.5,10.43,pattern:DOUBLE_BOTTOM_neckline,2026-03-05,False,False,11.94,0.144775,257.0,271.0,263.0,1.0
FANG,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,8.44,177.25,pattern:DOUBLE_BOTTOM_neckline,2026-03-05,False,False,177.84,0.003329,485.0,496.0,493.0,1.04
IYH,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,8.2,66.29,pattern:DOUBLE_BOTTOM_neckline,2026-02-27,False,False,64.65,-0.02474,478.0,492.0,489.0,1.2
IYR,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,8.19,98.46,pattern:DOUBLE_BOTTOM_neckline,2026-03-05,False,False,100.065,0.016301,463.0,480.0,469.0,1.21
UUP,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,8.15,27.09,pattern:DOUBLE_BOTTOM_neckline,2026-03-05,False,False,27.48,0.014393,475.0,485.0,482.0,1.23
