BUY_NOW,BUY_NOW_REASON,PRIORITY_RANK,PRIORITY_SCORE,near_buy,chase_flag,ticker,price,daily_break_level,breakout_pct_vs_level,reason,grade,score,gap_pct,rsi14,daily_breakout,daily_retest,breakout_confirmed_close,breakout_volume_confirmed,breakout_confirmed_intraday,weekly_r1,room_to_weekly_r1_pct,px_vs_sma50,px_vs_sma200
N,VolConfirm=N;RoomR1<1.0%,1,76.11,False,,MPC,211.62,210.42,0.5702879954377016,Grade=C | Score=8.0 | IntradayHold=Y | CloseBreak=Y | VolConfirm=N | Retest=Y | RSI=56.9 | RoomR1=-0.6% | Gap=-0.12% | BreakLvl=210.42,C,8.0,-0.12,56.88,True,True,True,False,True,210.32,-0.61,15.56,17.75
N,IntradayHold=N;RoomR1<1.0%;RSI>75,2,75.82,True,,BZ=F,82.37,82.11,0.3166483984898383,Grade=C | Score=1.0 | IntradayHold=N | CloseBreak=Y | VolConfirm=Y | Retest=Y | RSI=82.8 | RoomR1=-12.7% | Gap=1.20% | BreakLvl=82.11,C,1.0,1.2,82.8,True,True,True,True,False,71.88,-12.74,23.85,24.1
N,Chase>2.0%;RoomR1<1.0%;RSI>75,3,75.06,True,CHASE,UCO,29.34,28.52,2.8751753155680237,Grade=C | Score=1.0 | IntradayHold=Y | CloseBreak=Y | VolConfirm=Y | Retest=Y | RSI=76.7 | RoomR1=-16.1% | Gap=-0.65% | BreakLvl=28.52,C,1.0,-0.65,76.69,True,True,True,True,True,24.6,-16.15,33.12,32.0
N,VolConfirm=N;RoomR1<1.0%,4,74.97,False,,VLO,216.89,216.18,0.3284300120270034,Grade=C | Score=2.0 | IntradayHold=Y | CloseBreak=Y | VolConfirm=N | Retest=Y | RSI=70.2 | RoomR1=-4.7% | Gap=-0.35% | BreakLvl=216.18,C,2.0,-0.35,70.16,True,True,True,False,True,206.77,-4.67,16.12,34.02
N,VolConfirm=N;RoomR1<1.0%;RSI>75,5,70.19,False,,LNG,253.62,252.5,0.44356435643564396,Grade=C | Score=0.0 | IntradayHold=Y | CloseBreak=Y | VolConfirm=N | Retest=Y | RSI=82.8 | RoomR1=-14.1% | Gap=-0.05% | BreakLvl=252.50,C,0.0,-0.05,82.78,True,True,True,False,True,217.81,-14.12,21.42,13.93
N,IntradayHold=N;BelowBreakLvl,6,62.03,True,,CRAK,31.12,46.33,-32.829699978415704,Grade=A | Score=8.0 | IntradayHold=N | CloseBreak=Y | VolConfirm=Y | Retest=N | RSI=61.4 | RoomR1=46.4% | Gap=-31.52% | BreakLvl=46.33,A,8.0,-31.52,61.41,True,False,True,True,False,45.57,46.41,-24.89,-15.92
N,Chase>2.0%;RoomR1<1.0%;RSI>75,7,59.3,True,CHASE,USO,92.0,88.64,3.790613718411562,Grade=C | Score=2.0 | IntradayHold=Y | CloseBreak=Y | VolConfirm=Y | Retest=N | RSI=80.2 | RoomR1=-12.6% | Gap=-0.34% | BreakLvl=88.64,C,2.0,-0.34,80.23,True,False,True,True,True,80.38,-12.63,22.77,25.35
N,Chase>2.0%;RoomR1<1.0%;RSI>75,8,58.99,True,CHASE,BNO,39.22,37.87,3.564827039873264,Grade=C | Score=2.0 | IntradayHold=Y | CloseBreak=Y | VolConfirm=Y | Retest=N | RSI=84.6 | RoomR1=-19.1% | Gap=-0.44% | BreakLvl=37.87,C,2.0,-0.44,84.57,True,False,True,True,True,31.73,-19.11,25.9,31.02
N,IntradayHold=N;BelowBreakLvl;RoomR1<1.0%,9,57.92,True,,SHEL,82.85,84.55,-2.0106445890005986,Grade=C | Score=9.0 | IntradayHold=N | CloseBreak=Y | VolConfirm=Y | Retest=Y | RSI=64.9 | RoomR1=-8.8% | Gap=-0.03% | BreakLvl=84.55,C,9.0,-0.03,64.86,True,True,True,True,False,75.56,-8.81,9.08,13.5
N,IntradayHold=N;BelowBreakLvl;RoomR1<1.0%,10,57.16,True,,ERX,88.4,91.98,-3.8921504674929275,Grade=C | Score=7.0 | IntradayHold=N | CloseBreak=Y | VolConfirm=Y | Retest=Y | RSI=68.5 | RoomR1=-31.6% | Gap=-0.20% | BreakLvl=91.98,C,7.0,-0.2,68.53,True,True,True,True,False,60.5,-31.56,27.16,52.62
N,IntradayHold=N;BelowBreakLvl;RoomR1<1.0%,11,56.81,True,,FANG,178.89,183.36,-2.4378272251309063,Grade=C | Score=7.0 | IntradayHold=N | CloseBreak=Y | VolConfirm=Y | Retest=Y | RSI=69.6 | RoomR1=-8.1% | Gap=-0.21% | BreakLvl=183.36,C,7.0,-0.21,69.57,True,True,True,True,False,164.44,-8.08,12.62,21.08
N,IntradayHold=N;BelowBreakLvl;RoomR1<1.0%,12,56.56,True,,GUSH,34.6,34.8,-0.5747126436781436,Grade=C | Score=3.0 | IntradayHold=N | CloseBreak=Y | VolConfirm=Y | Retest=Y | RSI=70.3 | RoomR1=-22.8% | Gap=-0.30% | BreakLvl=34.80,C,3.0,-0.3,70.32,True,True,True,True,False,26.71,-22.81,33.92,44.08
N,IntradayHold=N;BelowBreakLvl;RoomR1<1.0%,13,56.33,True,,XOP,160.51,160.99,-0.29815516491709104,Grade=C | Score=3.0 | IntradayHold=N | CloseBreak=Y | VolConfirm=Y | Retest=Y | RSI=71.0 | RoomR1=-13.1% | Gap=-0.17% | BreakLvl=160.99,C,3.0,-0.17,71.02,True,True,True,True,False,139.48,-13.1,16.74,22.57
