ticker,status,error
CL=F,ok,
BZ=F,ok,
RB=F,ok,
NG=F,ok,
ES=F,ok,
NQ=F,ok,
^VIX,ok,
^TNX,ok,
GC=F,ok,
UUP,ok,
JETS,ok,
PSX,ok,
MPC,ok,
SLB,ok,
HAL,ok,
CVE,ok,
SHEL,ok,
LNG,ok,
XLE,ok,
IYE,ok,
XOP,ok,
OIH,ok,
XLB,ok,
IYM,ok,
FCX,ok,
SCCO,ok,
AEM,ok,
CCJ,ok,
TRX,ok,
ERX,ok,
DIG,ok,
GUSH,ok,
UYM,ok,
BOIL,ok,
UCO,ok,
IYH,ok,
HHH,ok,
PPH,ok,
IYR,ok,
SMH,ok,
XLK,ok,
IYW,ok,
XLU,ok,
IDU,ok,
APA,ok,
CNQ,ok,
COP,ok,
EQNR,ok,
FANG,ok,
TTE,ok,
VG,ok,
CRAK,ok,
VLO,ok,
USO,ok,
BNO,ok,
BATL,ok,
RCAT,ok,
TGT,ok,
ZD,ok,
NPT,ok,
KTB,ok,
SEM,ok,
SRRK,ok,
LWLG,ok,
TDW,ok,
GTE,ok,
IDYA,ok,
ASTS,ok,
CNR,ok,
DEC,ok,
INGM,ok,
CF,ok,
CHRD,ok,
WDS,ok,
FLNG,ok,
SU,ok,
CVX,ok,
EOG,ok,
HAFN,ok,
KOS,ok,
PARR,ok,
GLNG,ok,
