# saved_at_kr,2026-03-09 18:51:38 KST
# count_rows,10
# note,overwrites each run; candidates.txt mode asks price only
ticker,premarket,entered_at_kr,source
BATL,24.36,2026-03-09 18:50:42,manual
CRAK,46.82,2026-03-09 18:51:01,manual
DIG,58.0,2026-03-09 18:51:29,manual
ERX,89.4,2026-03-09 18:51:17,manual
HAFN,7.15,2026-03-09 18:51:12,manual
IYE,59.75,2026-03-09 18:51:07,manual
LNG,265.03,2026-03-09 18:51:38,manual
LWLG,4.09,2026-03-09 18:51:23,manual
VG,13.03,2026-03-09 18:50:53,manual
ZD,42.32,2026-03-09 18:50:36,manual
